ID,Comment,Type,SubType,Title,Content,UnlockCondition,Bonus,PreviewPath,LocalizationArea
ID,策划备注,类型,子类型,标题,包含内容,解锁条件,积分,预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,主线日记第一章,1,1,黑夜红莲,1=83,1,20,PlotIcon\UI_PlotIcon_Image_18.png,
2,主线日记第二章,1,1,灵魂碎片,101=158,2,20,PlotIcon\UI_PlotIcon_Image_05.png,
3,主线日记第三章,1,1,唱歌的孩子,301=365,3,20,PlotIcon\UI_PlotIcon_Image_06.png,
4,主线日记第四章,1,1,建国神话,401=446,4,20,PlotIcon\UI_PlotIcon_IS_1.png,
5,主线日记第五章,1,1,王室诅咒,500=599,5,20,PlotIcon\UI_PlotIcon_Image_01.png,
6,主线日记第六章,1,1,追踪白女巫,601=657,6,20,PlotIcon\UI_PlotIcon_Image_11.png,
7,主线日记第七章,1,1,白女巫之影,701=744,7,20,PlotIcon\UI_PlotIcon_Image_07.png,
8,主线日记第八章,1,1,昏暗的普隆德拉,801=885,8,20,PlotIcon\UI_PlotIcon_Image_13.png,
9,主线日记第九章,1,1,光与暗的起点,901=969,9,20,PlotIcon\UI_PlotIcon_Image_09.png,
10,主线日记第十章,1,1,地狱彼岸,1001=1079,10,20,PlotIcon\UI_PlotIcon_Image_23.png,
11,主线日记第十一章,1,1,厄夜的前奏,1101=1156,11,20,PlotIcon\UI_PlotIcon_IS_32.png,
12,主线日记第十二章,1,1,最终仪式,1201=1299|200=206,12,20,PlotIcon\UI_PlotIcon_IS_37.png,
13,主线日记第十三章,1,1,双生的黑白,1300=1399,13,20,PlotIcon\UI_PlotIcon_Image_17.png,
14,主线日记第十四章,1,1,神秘来客,1400=1455,14,20,PlotIcon\UI_PlotIcon_IS_39.png,
15,主线日记第十五章,1,1,领主的秘密,1501=1550,15,20,Themearround\UI_ThemeArround_Img_Fuben_pulongdelaxiashuidao.png,
16,主线日记第十六章,1,1,希望之歌,1600=1667,16,20,PlotIcon\UI_PlotIcon_IS_45.png,
17,主线日记第十七章,1,1,破晓,1701=1773,17,20,Themearround\UI_ThemeArround_Img_Fuben_mayidiyu.png,9
18,主线日记第十八章,1,1,最后的机会,1801=1887,18,20,Themearround\UI_ThemeArround_Img_Fuben_jifendixiaanyin.png,9
19,主线日记第十九章,1,1,英灵的预言,1901=1958,19,20,Themearround\UI_ThemeArround_Img_Fuben_danatuosizhizhan.png,9
20,主线日记第二十章,1,1,骑士的救赎,2001=2069,20,20,Themearround\UI_ThemeArround_Img_Fuben_jinzita.png,9
21,主线日记第二十一章,1,1,最后的圣餐,2101=2199|210=249,21,20,Themearround\UI_ThemeArround_Img_Fuben_deruikeyoulingchuan.png,9
22,主线日记第二十二章,1,1,时间的囚徒,2201=2293,22,20,Themearround\UI_ThemeArround_Img_Fuben_danatuosizhizhan.png,9
23,主线日记第二十三章,1,1,隐秘者的决意,2301=2385,23,20,Themearround\UI_ThemeArround_Img_Fuben_fengyinmengluoke.png,9
24,主线日记第二十四章,1,1,命运的乌鸦Ⅰ,2601=2673,24,20,PlotIcon\UI_PlotIcon_Plot_78.png,9
25,主线日记第二十五章,1,1,命运的乌鸦Ⅱ,2701=2773,25,20,PlotIcon\UI_PlotIcon_Plot_75.png,9
