ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
ID,类型,内容对应ID,文本,文本预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
300001,4,,,Jiefeng\Jiefeng_dajiaotang.png,
300002,1,,在普隆德拉的东北角坐落着一座金碧辉煌的大教堂，标志是美丽的彩窗和精致的雕塑，同时也是服事们修行和转职的场所。\r\n这神圣庄严的大教堂地下似乎有一间可怕的密室，埋藏着有关皇室诅咒的秘密……,,
300101,4,,,Jiefeng\Jiefeng_pulongdela.png,
300102,1,,普隆德拉的中央喷泉地处最为繁华的市中心，普隆德拉的居民们常常来到喷泉附近的商店里购物，或换上最美的衣服在这里举办大型舞会。\r\n喷泉上方巨大的雕塑正是卢恩王国的权力执行机关卢恩骑士团的象征，沉默地守护着矗立在身后的卢恩皇宫。,,
300201,4,,,Jiefeng\Jiefeng_xianzhezhijian.png,
300202,1,,贤者之间的主人是共和国国宝级学者巴雷蒙德。\r\n他致力于古代遗迹研究和科学研究，尤其对于“伊米尔之心”的钻研，更是达到了前所未有的高度，震惊了学术界。站在仿佛图书馆一般的贤者之间，是否也感受到了知识的熏陶呢？,,
320001,4,,,Jiefeng\Jiefeng_jifenta.png,
320002,1,,吉芬，是卢恩七皇室中的海涅家掌管的魔法之都，米德加兹大陆上所有法师们学习、修行的地点，城市中心建有一座恢弘的吉芬中央塔。据当地的居民说，曾在这里见过皇室驱魔师宝妮，可是宝妮为什么会出现在这里呢……？,,
360001,4,,,Jiefeng\Jiefeng_tiaozhanchang.png,
360002,1,,在伊斯鲁德这座平静的海滨小镇里，却建有一座令人闻风丧胆的挑战场，因为在这里，只有真正的强者才能笑到最后。如果想要证明自己的实力，就来挑战场试试——只要进入挑战场接受挑战，可就没有反悔的余地咯。,,
330001,4,,,Jiefeng\Jiefeng_heidian.png,
330002,1,,梦罗克这间毫不起眼的地下小酒馆，不仅能给路过的冒险者们提供上乘的美酒，同时也是探听各路消息最好的所在。这里鱼龙混杂，喝酒的时候可要小心些，说不定刺客工会那些神龙见首不见尾的家伙们正坐在你身边。,,
330101,4,,,Jiefeng\Jiefeng_mengluokeall.png,
