ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
ID,类型,内容对应ID,文本,文本预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
20000,3,100006,,,
20001,3,20,,,
20002,3,100028,,,
20003,3,100034,,,
20004,3,100035,,,
20005,3,100036,,,
20006,3,100037,,,
20007,3,100053,,,
20008,3,100059,,,
20009,3,100060,,,
20010,3,100062,,,
20011,3,100067,,,
20012,3,100068,,,
20013,3,100070,,,
20014,3,100080,,,
20015,3,100085,,,
20016,3,100027,,,
20017,3,100147,,,9
20018,3,100148,,,9
20019,3,100149,,,9
20020,3,100150,,,9
