ID,type,MonsterDrop,CollectDrop,备注（策划用）
ID,类型（类型为1时，id为任务id；类型为2时，id为目标id）,怪物id=掉落道具=掉落数量=百分底掉率|怪物id=掉落道具=掉落数量=百分底掉率（接了这个任务之后，对应怪物会掉落指定道具，并且，如果任务目标是搜集该道具的话，目标达成的时候就不掉了。）,采集物id=掉落道具=掉落数量=百分底掉率|采集物id=掉落道具=掉落数量=百分底掉率（接了这个任务之后，采集成功之后，对应采集物会掉落指定道具。）,注意：这里的掉落道具都只能配任务道具，普通道具不能配，否则就是篡改掉率，后果很严重！
900130,1,1001=3060003=1=100,,
12002510,1,1099=3060027=1=100,,开朗的人鱼
12002630,1,1105=3060317=1=100,,莫名之毒
12002650,1,1210=3060310=1=100|1186=3060311=1=100,,Z团的爪牙
12002610,1,1035=3060318=1=100|1189=3060319=1=100,,骑士赛伊连
12001620,1,1038=3060321=1=100,,魔法师绣恩
12203010,1,1096=3060071=1=100,,魔法师2转
12203020,1,1134=3060072=1=100,,魔法师2转
12203030,1,1098=3060073=1=100,,魔法师2转
12212010,1,1130=3060080=1=100|1131=3060080=1=100|1134=3060080=1=100,,刺客2转
12200010,1,1096=3060068=1=100,,骑士2转
12200011,1,1130=3060069=1=100|1131=3060069=1=100|1134=3060069=1=100,,骑士2转
12200012,1,1178=3060070=1=100,,骑士2转
12209010,1,1034=3060077=1=100,,弓手2转
12002050,1,1124=3060326=1=100,,
12206010,1,1139=3060148=1=100,,服事2转
12206020,1,1179=3060149=1=100,,服事2转
12206030,1,1094=3060150=1=100,,服事2转
12003040,1,1052=3060331=1=100,,高档小提琴任务
12003010,1,1024=3060333=1=100,,神秘的信件
6002110,1,1122=3060419=1=100,,英灵勋章任务
12001440,1,1176=3060205=1=100,,搜集灵气制作符文碎片
12000030,1,,200000=3060013=1=100,小野猪采集曼特疗伤药
12000060,1,,200022=3060051=1=100,小野猪采集小野猪
1004660,1,,200069=3060208=1=100|200070=3060209=1=100,刺客信条采集搜集验毒药水道具
1004670,1,1111=3060210=1=100|1110=3060211=1=100,,刺客信条打怪搜集验毒药水道具
12002020,1,1101=3060212=2=100,,
12002030,1,,200073=3060214=1=100,
12002040,1,,200074=3060215=1=100,
12002640,1,,200084=3060219=1=100,
12002660,1,,200085=3060223=1=100|200086=3060224=1=100|200087=3060225=1=100,
12002680,1,,200092=3060220=1=100,
1004840,1,1175=3060601=1=100,,追踪白女巫
1005041,1,1108=3060602=1=100|1109=3060603=1=100,200949=3060604=1=100,白女巫之影
1005280,1,30701=3060303=1=100,,主线—昏暗的普隆德拉长老树精
1005300,1,1096=3060305=1=100,,主线—昏暗的普隆德拉螃蟹
12005250,1,1054=4010008=1=15,,冒险线25级伊斯鲁得挑战线
12004640,1,1028=3060227=1=100,,妙勒尼线花蜜
12004030,1,1222=3060228=1=100,,斯芬克斯线
12004050,1,1115=3060229=1=100,,斯芬克斯线
12003850,1,1031=3060424=1=100|1048=3060423=1=100,,65级伊登的苹果掉落
19005120,1,1018=3060230=1=100|1014=3060231=1=100,,探索任务—密林营救
19005210,1,1185=3060232=1=100,,探索任务—哀唱草
19005300,1,1097=3060235=1=100,,探索—55级填充
19006200,1,1028=3060233=1=100|1048=3060234=1=100,,探索—60级填充
19006400,1,1189=3060236=1=100,,探索—60级填充
19009010,1,1198=3060513=1=100|1199=3060514=1=100,,探索—75级洞窟危机
19001910,1,1091=3060515=1=100,,35级填充，海葵肉收集
19004210,1,170004=3060518=1=100,,深海之心
19003010,1,1130=3060520=1=100|1131=3060520=1=100,,暗杀之刃
19008010,1,1019=3060521=1=100|1037=3060522=1=100,,诗人的战歌
19004000,1,1105=3060523=1=100,,猎人的请求
19001920,1,1051=3060524=1=100,,炼毒材料
1006430,1,1031=3060613=1=100|1037=3060615=1=100,201040=3060614=1=100,主线十三章：收集仪式材料
12003210,1,,200978=3060616=1=100,僵尸妖道
12003260,1,,200984=3060617=1=100|200985=3060618=1=100|200986=3060619=1=100,僵尸妖道
2000230,1,1040=3060525=1=100,,追踪神之心
2000320,1,1179=3060526=1=100|1105=3060527=1=100|1140=3060528=1=100,,诅咒的梦境
2000410,1,1007=3060529=1=100|1028=3060530=1=100,200583=3060531=1=100,贤者回忆录
2000430,1,1180=3060532=1=100,,贤者回忆录
1006230,1,1102=3060533=1=100,,主线12章
1006250,1,1222=3060534=1=100,,主线12章
1005830,1,1185=3060620=1=100|1137=3060621=1=100,200551=3060622=1=100,主线第10章
19001500,1,1023=3060623=1=100,,探索任务：研究材料
12007220,1,150082=3060624=1=100,,冒险任务：深渊之国
12007260,1,180029=3060625=1=100,201070=3060626=1=100,冒险任务：深渊之国
2000730,1,1190=3150137=1=100|1136=3150147=1=100,,彼女的身份
2000820,1,1102=3060535=1=100,200588=3060536=1=100,光与暗的终点
2000840,1,1222=3060537=1=100|1115=3060538=1=100,,光与暗的终点
19007210,1,1192=3060539=1=100,,将军魔碑
19009150,1,1248=3060540=1=100,,最后的驱魔
12007420,1,1142=3060701=1=100,,冒险任务：斯芬克斯2f
12007430,1,1236=3060702=1=100,,冒险任务：斯芬克斯2f
12007460,1,1223=3060703=1=100,,冒险任务：斯芬克斯2f
12007470,1,1235=3060704=1=100,,冒险任务：斯芬克斯2f
12007860,1,1035=3060709=1=100,,斐杨任务：斐杨树林深处
3012030,1,1175=3060710=1=100,,转职任务：打怪收集
19009220,1,1227=3060801=1=100,201341=3060802=1=100,逝者荣光
2000560,1,1108=3060543=1=100|1101=3060542=1=100,200597=3060544=1=100,追踪Z团
2000910,1,1173=3060541=1=100,,项链
2001010,1,1115=3060545=1=100,,魔神之塔
2001030,1,140092=3060546=1=100,,魔神之塔
19004300,1,1137=3060805=1=100,,魔锅蛋之灵
19005310,1,1182=3060808=1=100,,斜杠青年
19007220,1,32101=3060901=1=100,,将军魔碑
12007670,1,1220=3060809=1=100,,吉芬危机Ⅱ
3007010,1,1094=3060238=1=100,,武僧转职：武僧修道院
22002250,1,1018=3060810=1=100,,gvg攻城战
22002260,1,170033=3060811=1=100,,gvg攻城战
3008010,1,1020=3060239=1=100|1091=3060240=1=100,,十字军转职
2001430,1,1303=3060426=1=100|1321=3060427=1=100|1306=3060428=1=100,,骑士的镇魂歌
2001540,1,1302=3060429=1=100|1307=3060430=1=100|1313=3060431=1=100,,慈悲圣约
