ID,TheLastTask,IsSync,Relationship,DeleteWhenLeave,DateTimeLimit,DailyTimeLimit,TimeFailType,DeadlineNoticeType,Circulate,LocalizationArea,ShowProgress,NoIsAllAbandon
章节ID,章节最后一个任务,任务是否同步,同步社交关系依据,离队是否清除任务,任务起止日期时间限制,任务每日时间限制,超时任务判断处理,限时任务客户端提示,章节循环周期,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),是否显示任务进度,放弃任务是否整章删除，1是，0不是，不配默认为1
2000000,2000000,,,,,,,,,0,,
1028,1008050,,,,2020-12-02T05:00:00=2020-12-16T05:00:00,,1,2,,9,,
1031,1008260,,,,2021-02-24T05:00:00=2021-03-03T05:00:00,,1,2,,9,,
1034,1008880,,,,2021-05-14T05:00:00=2021-05-21T05:00:00,,1,2,,9,,
2210,22002030,1,2,,,,,,,9,,
2220,22002060,1,2,,,,,,,9,,
2230,22002080,1,2,,,,,,,9,,
2240,22002110,1,2,,,,,,,9,,
2250,22002140,1,2,,,,,,,9,,
2260,22002170,1,2,,,,,,,9,,
2270,22002200,1,2,,,,,,,9,,
2280,22002240,1,2,,,,,,,9,,
190108,19010740,,,,2021-10-28T05:00:00=2021-11-04T05:00:00,,1,2,,11,,
190109,19010810,,,,2021-10-28T05:00:00=2021-11-04T05:00:00,,1,2,,11,,
190110,19010910,,,,2021-10-28T05:00:00=2021-11-04T05:00:00,,1,2,,11,,
190111,19011010,,,,2021-10-28T05:00:00=2021-11-04T05:00:00,,1,2,,11,,
190112,19011110,,,,2021-10-28T05:00:00=2021-11-04T05:00:00,,1,2,,11,,
190113,19012040,,,,2021-10-28T05:00:00=2021-11-04T05:00:00,,1,2,,11,,
190114,19013010,,,,2021-10-28T05:00:00=2021-11-04T05:00:00,,1,2,,11,,
190116,19011350,,,,2021-12-23T05:00:00=2021-12-30T05:00:00,,1,2,,27,,
190117,19011410,,,,2021-12-23T05:00:00=2021-12-30T05:00:00,,1,2,,27,,
190118,19011510,,,,2021-12-23T05:00:00=2021-12-30T05:00:00,,1,2,,27,,
190119,19011630,,,,2021-12-23T05:00:00=2021-12-30T05:00:00,,1,2,,27,,
190120,19011730,,,,2021-02-03T05:00:00=2021-02-06T05:00:00,,1,2,,9,,
190121,19011810,,,,2021-02-03T05:00:00=2021-02-06T05:00:00,,1,2,,9,,
190122,19011910,,,,2021-02-03T05:00:00=2021-02-06T05:00:00,,1,2,,9,,
190123,19012610,,,,2021-09-17T22:00:00=2021-10-03T22:00:00,,1,2,,9,,
190126,19012350,,,,2021-02-03T05:00:00=2021-02-06T05:00:00,,1,2,,9,,
6302,6003840,,,,2021-03-10T05:00:00=2021-03-28T05:00:00,,1,2,,9,,
6043,6004310,,,,2021-06-29T05:00:00=2021-07-29T05:00:00,11:00:00=12:59:59|16:00:00=17:59:59|22:00:00=23:59:59,1,2,,9,,
6044,6004420,,,,2022-11-01T00:00:00=2022-11-07T23:59:59,,1,2,,9,,
60080,6008010,,,,2021-09-21T05:00:00=2021-09-28T04:59:59,,1,2,,2,,
