TaskId,Type,StoryBoardId,PostcardName,Text
任务ID（必须与任务表的统一）,飞鸽传书类型（1.通用信封2.打开UI调用资源）,打开UI样式（对应StoryBoard表中的ID）,明信片资源名（如果是文本则不需要配）,文本内容
1003520,1,,,要提取的货品：编号为#3F33364和#9I75122货物，分别放在总部的1A和2C货柜处。XXX注意XXX，货柜处年久失修，可能有魔物出没，请注意安全！！
12002690,1,,,    你的事情葛劳吾提都和我说了，恭喜你找到了两块石板！现在去吉芬找绣恩吧，我手里的那块已经交给他了，他手里还有一块，他可以帮助我们复原石板。
12002510,1,,,克莱尔说她很冷，我向她保证过，这一世绝对给她最好的一切，可是我却没有做到……不，我一定要做到！你不要再来找我了，就让我这样沉沦下去吧…拜托了…
12002410,1,,,你好！我的朋友！我和拉比丝准备在近日完婚。记得来参加我们的婚礼哦！
12002480,1,,,关于下水道的事，我们已经调查出了一些眉目。速来找我，切勿走漏风声！  
1004210,1,,,普隆德拉地底集市的火场里，我们抓到了‘面具人’，不知道算不算因祸得福……来找我吧，给你准备了一个小惊喜。
1004481,1,,,吉芬图书馆的修缮工作已经完毕，随时恭候您来图书馆查阅资料。对于修缮造成的不便还请见谅。
1004610,1,,,诚挚的道歉，冒险者。\r\n不欢而散后，我反思许久，决定把真相告诉你（我掌握的真相）。\r\n  请来教堂找我，事关重大，切勿声张。
1004810,1,,,普隆德拉城内的贤者之间最近出现了一桩神秘案件，有风声说和白女巫有点关系，冒险者，你如果有空的话不妨去调查一番。这是我的手信，届时主人有疑问的话向他出示这封信物。
1005010,1,,,冒险者，最新消息，古娜此刻正在吉芬西活动，我这是一次核实古娜身份的绝好机会，你如果有空请来吉芬西和我碰面。希望古娜在这场事件中和我们是同一阵营。
1005210,1,,,救出巴雷蒙德的办法我想好了……只有那个人可以帮上忙，去梦罗克酒吧找我的帮手接头吧，暗号是：跟着白兔走。
1005410,1,,,拉乐西斯的葬礼将于公墓举办。\r\n他的死多少与你也是有关系的，不去吊唁一下吗？\r\n恐怕你的良心会不安宁。
1005610,1,,,古娜现在已经被严密控制，目前关押在梦罗克的监狱里面。我现在就在那里审问白女巫，来找我吧。对了，到了监狱门口的时候，把这份书信出示给狱卒，他们就会让你进来了。                     
1005810,1,,,距离我们上一次揭示死海古卷仪式已经过去一阵子了，我的力量已经恢复，准备开始解开第二部分的封印了，来贤者之间找我吧。\r\n
1006010,1,,,梦罗克城内出现了一些新的离奇事件，刺客公会分析以后觉得可能与巴雷蒙德的魔化事件有关联。来地下酒吧找我商量下对策吧 \r\n                                         
1006210,1,,,我发现的一份手稿提到了关于解除圣痕诅咒的内容，不过可能需要花上一番功夫，你如果有空的话尽快来贤者之间和我碰头吧\r\n
1006410,1,,,冒险者，贤者之间最近来了一帮不速之客。说是要找巴雷蒙德，身份很奇怪，你如果有空的话还是来这里看看吧。\r\n
1006610,1,,,冒险者，梦罗克领主终于返回城里了。他邀请我们前往城堡，但他又好像有什么事情在瞒着我们。这次我叫上了宝妮，你也一起来吧！我们需要强有力的帮手。\r\n
1006810,1,,,冒险者，瑞安.摩尔的位置我们已经确定了，这位学者竟然独自隐居在偏僻的沙漠之桥地区。我已经拜访过他了，他有点难打交道。总之咱们先在那儿碰头吧。\r\n
