NPCid,Des,NpcDate,LocalizationArea
引导NPCID（必须唯一，且需要在NPC表里面有）,备注，策划用,引导NPC数据：该NPC在不同的阶段调用不同的剧本，如果中途下线，上下线之后会刷到预备目的地（格式：任务ID=状态=状态参数=该状态下具体执行的剧本ID=具体执行的tag名=掉线预备刷出场景ID=掉线预备刷出X=掉线预备刷出Y=掉线预备刷出Z=掉线预备刷出朝向）————注意：任务状态和触发器的不一致，这里要这么用：0=0：可接取；1=X:已接取（1=0，已接取；1=1，完成目标1；1=2，完成目标2，以此类推……）3=0:已交付；5=0：已完成，可交付,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
10391,起名后引导员带着你去领背包这一段,1000011=1=0=10391=Chushengdian_YDY_lingqubeibao=31=73.02=8.24=63.89=196.22|1000011=1=1=10391=Chushengdian_YDY_lingqubeibao_tingzhi=31=73.02=8.24=63.89=196.22|1000011=5=0=10391=Chushengdian_YDY_lingqubeibao_tingzhi=31=73.02=8.24=63.89=196.22|1000020=0=0=10391=Chushengdian_YDY_lingqubeibao_tingzhi=31=73.02=8.24=63.89=196.22,
10411,领完背包后引导员带着你去小花园这一段,1000020=1=0=10391=Chushengdian_YDY_jinruhuayuan=31=141.52=8.24=88.41=56.76,
10393,进入学院后引导员带着你去参观照片墙这一段,1000030=1=0=10393=Dating_YDY_zhaopian=32=41.17=30.17=44.89=206.75|1000030=5=0=10393=Dating_YDY_zhaopian_tingzhi=32=41.17=30.17=44.89=206.75|1000040=0=0=10393=Dating_YDY_zhaopian_tingzhi=32=41.17=30.17=44.89=206.75,
10402,基础教学后刷出，带你去前面打疯兔试炼,1000090=1=0=10402=Xunlianchang_JG_shizhan=33=84.11=10.64=75.98=337.33|1000090=5=0=10402=Xunlianchang_JG_shizhan_tingzhi=33=84.11=10.64=75.98=337.33|1000100=0=0=10402=Xunlianchang_JG_shizhan_tingzhi=33=84.11=10.64=75.98=337.33,11
10403,实战训练后带你去致敬,1000100=1=0=10402=Xunlianchang_JG_zhijing=33=155.47=10.04=95.38=175.66|1000100=1=1=10402=Xunlianchang_JG_zhijing_tingzhi=33=155.47=10.04=95.38=175.66|1000100=1=2=10402=Xunlianchang_JG_zhijing_tingzhi=33=155.47=10.04=95.38=175.66|1000100=1=3=10402=Xunlianchang_JG_zhijing_tingzhi=33=155.47=10.04=95.38=175.66,
12242,班波走到密室门口,1004610=1=1=1004610=banboqumenkou=41=70.10=12.12=68.13=180|1004610=1=2=1004610=banboqumenkou1=41=70.10=12.12=68.13=180|1004610=1=3=1004610=banboqumenkou1=41=70.10=12.12=68.13=180,
14771,雷引导主角跑两个任务,12007470=1=0=14771=Sifenkesi2_YDL_diyici=517=128.1526=32.55802=99.69592=-143|12007470=1=2=14771=Sifenkesi2_YDL_dierci=517=132.5372=32.55802=89.88508=173.32|12007470=5=0=14771=Sifenkesi2_YDL_disanci=517=126.3=32.55802=96.89=0,
13462,奇遇艾德文引导,19003320=1=0=13455=ADW_YD_wa=505=87.69=12.45=63.97=9|19003320=1=1=13455=ADW_YD_base=505=87.69=12.45=63.97=9|19003320=1=2=13455=ADW_YD_px=505=122.48=12.45=64.16=98|19003320=1=3=13455=ADW_YD_base=505=122.48=12.45=64.16=98,
13463,奇遇艾德文引导,19003330=0=0=13455=ADW_YD_zd=505=157.78=12.45=42.55=317|19003330=1=0=13455=ADW_YD_base_zd=505=157.78=12.45=42.55=317|19003330=1=1=13455=ADW_YD_base_zd=505=157.78=12.45=42.55=317|19003330=1=2=13455=ADW_YD_base_zd=505=157.78=12.45=42.55=317|19003330=1=3=13455=ADW_YD_base_zd=505=157.78=12.45=42.55=317|19003330=5=0=13455=ADW_YD_base_zd=505=157.78=12.45=42.55=317,
13224,奇遇情报商人引导,19001110=1=2=13221=npcmove=7=129.18=10.8=101.94=235.59,
13636,奇遇欧文,19005130=1=2=13636=npcmove=8=135.60=1.58=120.53=302.00|19005130=1=3=13636=npcstop=8=135.60=1.58=120.53=302.00|19005130=1=4=13636=npcsstilltop=8=135.60=1.58=120.53=302.00|19005130=1=5=13636=npcsstilltop1=8=135.60=1.58=120.53=302.00,
13474,奇遇封藏的记忆,19003510=1=0=19003510=npcmove=35=76.06=3.96=199.44=224|19003510=1=1=19003510=npcstay=35=76.06=3.96=199.44=224|19003510=1=2=19003510=npcstay=35=76.06=3.96=199.44=224|19003510=1=3=19003510=npcstay=35=76.06=3.96=199.44=224|19003510=5=0=19003510=npcstay=35=76.06=3.96=199.44=224,
50281,莉莉拉前往秘密基地,20000530=1=0=20000530=npcmove=7=35.78=10.00=139.50=285.28|20000530=1=1=20000530=npcstay=7=35.78=10.00=139.50=285.28|20000530=1=2=20000530=npcstay=7=35.78=10.00=139.50=285.28|20000530=1=3=20000530=npcstay=7=35.78=10.00=139.50=285.28,
50282,莉莉拉前往市场道歉,20000530=1=4=20000531=npcmove=7=47.22=10.00=41.09=222.27|20000530=5=0=20000531=npcstay=7=47.22=10.00=41.09=222.27,
50266,乔诺找老铁匠,20000430=1=2=20000430=npcmove=26=163.53=9.91=62.95=184.64|20000430=1=3=20000430=npcstay=26=163.53=9.91=62.95=184.64|20000430=5=0=20000430=npcstay=26=163.53=9.91=62.95=184.64,
13822,塔姬乌丝吉芬地底1引导,19007110=1=2=19007110=npcmove=504=57.25=15.2=107.8=290.66|19007110=1=3=19007110=npcstay=504=57.25=15.2=107.8=290.66|19007110=1=4=19007110=npcstay=504=57.25=15.2=107.8=290.66|19007110=5=0=19007111=npcstay=504=57.25=15.2=107.8=290.66,
14354,支线恶魔法则塔姬乌斯引导,2001230=1=0=2001230=npcmove=520=193.94=29.82=81.98=151.29,
14704,冒险线引导精灵,12007630=1=1=12007610=npcmove=520=67.26=29.64=208.27=33.73|12007630=1=2=12007610=npcstay=520=67.26=29.64=208.27=33.73|12007630=1=3=12007610=npcstay=520=67.26=29.64=208.27=33.73,
13426,奇遇引导善司,19001999=1=0=19001999=npcmove=16=127.31=17.03=143.10=248.00|19001999=1=1=19001999=npcstay=16=108.28=17.03=42.21=171,
15232,双人契约引导,22002160=1=1=22002160=npcmove=50=155.63=19.39=84.81=145.00|22002160=1=2=22002160=npcstay=50=155.63=19.39=84.81=145.00|22002160=1=3=22002160=npcstay=50=155.63=19.39=84.81=145.00|22002160=1=4=22002160=npcstay=50=155.63=19.39=84.81=145.00|22002160=5=0=22002160=npcstay=50=155.63=19.39=84.81=145.00,
15974,古城开门引导,1008030=1=1=1008031=npcmove=54=183.04=25.07=134.27=316.00|1008030=1=2=1008031=npcstay=54=183.04=25.07=134.27=316.00|1008030=1=3=1008031=npcstay=54=183.04=25.07=134.27=316.00|1008030=1=4=1008031=npcstay=54=183.04=25.07=134.27=316.00|1008030=1=5=1008031=npcstay=54=183.04=25.07=134.27=316.00,
15978,古城开门宝妮移动,1008050=0=0=1008050=npcmove=77=237.54=50.91=244.62=204.00|1008050=1=1=1008050=npcstay=77=237.54=50.91=244.62=204.00|1008050=1=2=1008050=npcstay=77=237.54=50.91=244.62=204.00|1008050=1=3=1008050=npcmove2=77=235.83=50.91=219.49=204.0,
