Id,Level,Name,Skill_Text,SkillID,SkillEffectNum,SkillScriptPrefix,SkillScriptPostfix,DamageScript,AttackCount,CreateBuff,PVEDamageRadio,PVEStaticDam,PVEFloatSingingTime,PVEFixSingingTime,PVECoolTime,PVEGroupCoolTimeType,PVEGroupCoolTime,PVPDamageRadio,PVPStaticDam,PVPFloatSingingTime,PVPFixSingingTime,PVPCoolTime,PVPGroupCoolTimeType,PVPGroupCoolTime,LowRange,FarRange,HatredToTarget,HatredPercentToTarget,HatredToMe,HatredPercentToMe,SkillCost,SkillElementEnergy,BattleVehicle,EffectShape,EffectRange,BreakHiding,AshByLua,ConfirmScript,CostScript,CostDesc,SkillDescRep,CreateGroupBuff,Hatredcoefficient,SkillTriggerID,PVEConfigData,PVPConfigData,ServerUUIDData,CostSpiritSpheres,,,,,,
编号,等级,技能名字,技能备注,对应skilltable\r\n的技能id,技能效果编号（策划用），同一个技能的多个效果,技能脚本前缀,技能脚本后缀\r\n（武器类型）,技能伤害计算脚本,每个result\r\n目标数量上限【真子弹的result这里必须填为1】,产生Buff\r\n(ID=lv=概率)加buff在技能伤害结束后,PVE伤害系数,PVE\r\n固定伤害,PVE\r\n可变吟唱时间,PVE\r\n固定吟唱时间,PVE\r\n冷却时间,PVE\r\n公共冷却时间组,PVE技能产生\r\n公共冷却时间,PVP\r\n伤害系数,PVP\r\n固定伤害,PVP\r\n可变吟唱时间,PVP\r\n固定吟唱时间,PVP\r\n冷却时间,PVP\r\n公共冷却时间组,PVP技能产生\r\n公共冷却时间,最小\r\n施法范围,最大\r\n施法范围,对目标造成的仇恨值,对目标造成的仇恨百分比,目标对我的仇恨值,目标对我的仇恨值百分比,基础消耗\r\n(属性ID=Value，不填只走CD),技能释放所需能量\r\n（字段值ElementAttr|Value）,载具战斗判断\r\n（0为只有马下技能，1为只有马上技能，2为2者都有）,作用范围形状\r\n（0.无，1.圆形，2. 矩形，3.扇形，4.箭头，5箭头带宽度）,作用范围参数\r\n（圆形为半径，矩形为长宽，扇形为角度|半径，新箭头为长宽）,是否打破隐匿\r\n（0不打破，1打破，默认1）,检查lua置灰按钮\r\n（0为不需要，1为需要）,技能施放判定\r\n（Lua）,特殊消耗（LUA）,特殊消耗描述,技能描述替换,链接型特效\r\n填buffID,仇恨系数\r\n(默认为1）,技能时机触发调用lua,配置格式为key1=value1=key2=value2=....=keyn=valuen=.....,配置格式为key1=value1=key2=value2=....=keyn=valuen=.....,程序用，不用填值，保持在最后一列,消耗气弹个数（浮动时填0）,,,,,,
1,1,普通攻击,普攻配置示例,1,1,Player_Novice_GongJi_1,0=3|1=3,CommonSkillCritCalc,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,100,,,,,,Player_Novice|Player_Novice_GongJi_1|0|0|0,,,,,,,
2,1,以自身为中心释放技能,以自身为中心释放技能,2,1,Player_Swordman_NuBao,,PhysicalSkillCalc,10,,12000,0,0,0,0,1,2,12000,0,0,0,0,1,2,0,2.5,150,,,,7=20,,0,0,0,,0,,,,120,,,,,,Player_Swordman|Player_Swordman_NuBao|0|0|0,,,,,,,
3,1,自身加BUFF技能,自身加BUFF技能,3,1,Player_Swordman_BaTi,,DamageNil,1,10201=10000,0,0,0,0,5,1,1,0,0,0,0,10,1,1,0,1,0,,,,7=15,,0,0,0,,0,,,,2|10,,,,,,Player_Swordman|Player_Swordman_BaTi|0|0|0,,,,,,,
4,1,单体物理技能,单体物理技能,4,1,Player_Swordman_KuangJi,,PhysicalSkillCalc,1,,12000,0,0,0,0,1,1,12000,0,0,0,0,1,1,0,1.5,200,,,,7=8,,0,0,0,,0,,,,5|120,,,,,,Player_Swordman|Player_Swordman_KuangJi|0|0|0,,,,,,,
5,1,单体法术技能,单体法术技能,5,1,Player_Magician_BingJianShu_01,,MagicSkillCalc,1,,10000,0,0.64,0.16,0,1,0.7,10000,0,0.64,0.16,0,1,0.7,0,7,100,,,,7=15,,0,0,0,,0,,,,100,,,,,,Player_Magician|Player_Magician_BingJianShu_01|0|0|0,,,,,,,
6,1,扇形AOE技能,扇形AOE技能,6,1,Player_Swordman_GuaiWuHuJi,,PhysicalSkillCalc,10,,14000,,0.32,0.38,0,1,1,14000,,0.32,0.38,0,1,1,0,5,100,,,,7=13,,0,3,150,,0,,,,140,,,,,,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0,,,,,,,
7,1,圆形AOE技能,圆形AOE技能,7,1,Player_Magician_BaoFengXue,,Blizzard,10|10|10|10|10|10|10|10|10,200601=5400,14000,0,3.84,0.96,0,1,3,14000,0,3.84,0.96,0,1,3,0,7,100,,,,7=132,,0,1,3.9,,0,,,,140|60|3,,,,,,Player_Magician|Player_Magician_BaoFengXue|0|0|0,,,,,,,
8,1,箭头AOE技能,箭头AOE技能,8,1,Player_Hunter_ChuanYunJianZhuangBei,,PhysicalSkillCalc,10,,25000,,0,0,10,1,2,25000,,0,0,15,1,2,0,7,1,,,,7=15,,0,4,2,,0,,,,250,,,,,,Player_Hunter|Player_Hunter_ChuanYunJianZhuangBei|0|0|0,,,,,,,
9,1,矩形AOE技能,矩形AOE技能,9,1,Player_Magician_HuoYanZhiBi_01,,MagicSkillCalc,1,,5000,,1.6,0.4,0,1,1,5000,,1.6,0.4,0,1,1,0,5,100,,,,7=68,,0,2,1.5|2.9,,0,,,,5|5,,,,,,Player_Magician|Player_Magician_HuoYanZhiBi_01|0|0|0,,,,,,,
10,1,友方buff技能,友方buff技能,10,1,Player_Acolyte_TianShiZhiCiFu,,DamageNil,999|999,100101=10000|102401=10000,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,7,100,,,,7=20,,0,0,0,,0,,,,1|1|1|60,,,,,,Player_Acolyte|Player_Acolyte_TianShiZhiCiFu|0|0|0,,,,,,,
11,1,队内buff技能,队内buff技能,11,1,Player_Priest_SaShuiQiFu,,DamageNil,1,105801=10000,0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,7,100,,,,7=12,,0,0,0,,0,,,,60,,,,,,Player_Priest|Player_Priest_SaShuiQiFu|0|0|0,,,,,,,
12,1,对死亡目标释放技能,对死亡目标释放技能,12,1,Player_Acolyte_FuHuoShu,,DamageNil,1,100801=10000,0,,0,7,1,1,0,0,,7,1,1,0,0,0,7,100,,,,7=50,,0,0,0,,1,,,,10,,,,,,Player_Acolyte|Player_Acolyte_FuHuoShu|0|0|0,,,,,,,
500101,1,天使怒火Lv1,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500601=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,30|6,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
