Id,Name,IsIP,InGameName,Description,BuffId,Level,IsDebuff,Type,ReplaceRule,AddCondition,BuffEffect,EffectGroup,DestroyTiming,DestroyLua,BeHitLua,Fx,FxWarningTime,ScaleFac,FxPoint,FxPointHightPercent,BeginFx,BeginFxPoint,BeginFxPointHightPercent,DestroyFx,DestroyFxPoint,DestroyFxPointHightPercent,BeginAudio,Audio,DestroyAudio,IsDeathClear,IsOffLineClear,IsChangeMapClear,TimePass,ConfigData,TipsForEquip,IsVisible,TransfigureDeleteType,IconAtlas,Icon,ReplaceBuffId,CouldCancel,IsChangeByNumber,MobCanInherit,IsRelateBuff,RelateBuffId,BuffPriority,IsRemovableGain,LocalizationArea
唯一id,名字,是否沿用端游翻译（0否 1是）,游戏内名字,buff描述\r\n（游戏中描述）,buffid\r\n（程序用）,等级\r\n(程序用),是否减益BUFF\r\n（0.增益  1.减益）,类型（2. 眩晕、石化、冰冻类型buff 3. 黑暗、沉默、诅咒类型buff 4. 加移速类型判断 5. 中毒类型 101. BUFF给坐骑类    102. 召唤NPC类型 103. 宴会buff类型 104. 变身类型 105.武器属性 106.黑暗迷宫火种 107.圣母之祈福 108.英灵殿元素灌注 109.突击炮增强buff 110.攻击塔强化削弱状态 111.毕尤护盾 112.秋夕节检测buff 113.万圣节淘汰通告buff 114.万圣节选择答案buff  115.万圣节抉择游戏buff 201.药水     202.料理     203.甜品 204.新料理，205新药剂，206手推车 207 泡点buff 208 魔法信笺buff 209.gvg牧师机甲 210.gvg抗性祝福 300，坏血病 301，狩猎场奖励翻倍307，冒险任务阵营转换）,替换规则（1.同源同ID替换  2.不同源同ID替换   3.同源同类别替换  4.不同源同类别替换  5.堆叠 6.特殊状态属性替换 7.特殊状态替换并且自身可以叠加 8.同源同ID堆叠（同等级叠加，高等级替换低等级） 9.不同源同ID堆叠（同等级堆叠，高等级替换低等级） 10.同源同ID时间叠加规则（同等级时间累加，高等级替换低等级，-1为时间无限叠加））,添加条件（lua）,状态效果(枚举在sheet2中）,buff效果组,销毁时机（1.时间到 2.不吸收溢出伤害的hp 3.生效次数 4.吸收溢出伤害的hp 5=skill ID.按skilltime销毁）,销毁lua（lua1|type1=value1;lua2|type2=value2  value必须整数）,被击lua（lua1|type1=value1;lua2|type2=value2  value必须整数）,特效（根据层数改变时，第1层特效①=第1层特效②| 第2层特效①=第2层特效②|=第3…不根据层数改变时，多特效之间用=即可）,流光特效预警时间（单位秒，默认0）,预警特效参数（x=y=z）,特效挂点,包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,开始特效,开始特效挂点,开始包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,销毁特效,销毁特效挂点,销毁包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,开始音效,持续音效,结束音效,死亡是否删除（0，删除，1. 不删除）,"下线是否删除(0 删除, 1. 不删除)", 切换场景是否删除(0：不删除 1 删除),"时间流逝 ( 0.下线不流逝 1.死亡不流逝 2.切副本不流逝, 没有不填 )",传值到lua（配制方法：key1=value1=key2=value2=....=keyn=valuen=.....）,词条描述,是否可见（0为不可见，1为可见）,变身删除类型（0.变身后直接删除该buff 1.变身时删除该buff，变身后还原，变身过程中时间流逝。变身状态时，上该BUFF不会生效 2.变身状态保留该buff ）,图标Atlas,图标,替换buffid，线上更新用,可以被主动取消（0不可以，1可以，默认不可以）,是否根据层数改变特效（0.否；1.是；不填默认为0）,召唤兽是否可继承（1可以继承 0不可继承 默认不可继承【未生效】）,是否为关联Buff,关联BuffID,护盾生效优先级（生效晚于未配置该字段的护盾类型，例如霸邪，配置方式为(类型=值)，同配置情况下值越小越优先，type1=护盾）,可以解除的增益标记,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1000101,物理破防,,,,10001,1,0,,1=0,,,200001,,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1000201,魔法破防,,,,10002,1,0,,1=0,,,200002,,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1000301,暗物质腐蚀,,暗物质腐蚀,魔法防御和物理防御降低,10003,1,1,,1=0,,,200004,1=5,,,500024,,,,,,,,,,,,,,0,0,1,,,,1,0,Skill_pet,PetSkill_anwuzhigongji.png,,1,,,,,,,
1000401,开关,,献祭光环,进入战斗后会开启献祭,10004,1,1,,1=0,,,200005|200008|200078,,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1000501,献祭圈,,献祭,进入献祭圈范围会受到伤害,10005,1,0,,1=0,,,200006|200009,,,,3315,,,,,,,,,,,,,,0,0,1,,,,0,0,Skill_pet,PetSkill_xianjiguanghuan.png,,,,,,,,,
1000601,进献祭圈就流血,,献祭,受到献祭效果影响持续受到伤害,10006,1,1,,2=0,,,200007,,,,,,,,,,,,,,,,,,0,0,1,,,,1,0,Skill_pet,PetSkill_xianjiguanghuan.png,,,,,,,,,
1008201,开关宁静光环,,宁静光环,进入战斗后会开启宁静光环,10082,1,1,,1=0,,,200089|200090,,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1000701,宁静光环,,宁静光环,范围内敌人获得暴击下降,10007,1,0,,1=0,,,200010|200142|200191,,,,3316,,,,,,,,,,,,,,0,0,1,,,,0,0,Skill_pet,PetSkill_baojijiangdi.png,,,,,,,,,
1000801,进光环就降低暴击,,宁静光环,暴击率下降10%,10008,1,1,,2=0,,,200011,,,,,,,,,,,,,,,,,,0,0,1,,,,1,0,Skill_pet,PetSkill_baojijiangdi.png,,,,,,,,,
1008301,开关治疗光环,,治疗光环,进入战斗后会开启治疗光环,10083,1,1,,1=0,,,200091|200092|200079,,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1000901,治疗光环,,治疗光环,范围内友方获得治愈,10009,1,1,,1=0,,,200012|200009,,,,3313,,,,,,,,,,,,,,0,0,1,,,,0,0,Skill_pet,PetSkill_zhiliaoguanghuan.png,,,,,,,,,
1001001,进光环就加血,,治疗光环,每秒恢复100点生命值,10010,1,1,,2=0,,,200013,,,,,,,,,,,,,,,,,,0,0,1,,,,1,0,Skill_pet,PetSkill_zhiliaoguanghuan.png,,,,,,,,,
1001101,魔法光环,,魔法光环,范围内友方获得回蓝,10011,1,0,,1=0,,,200014,,,,1016,,,,,,,,,,,,,,0,0,1,,,,0,0,Buffbox,UI_Icon_Buff_Swordman_BaTi.png,,,,,,,,,
1001201,进光环就加蓝,,魔法光环,每秒恢复10点魔法值,10012,1,1,,2=0,,,200015,,,,,,,,,,,,,,,,,,0,0,1,,,,1,0,Buffbox,UI_Icon_Buff_Swordman_BaTi.png,,,,,,,,,
1001301,生命吸取,,生命吸取,使用伤害类主动技能时，有10%几率恢复自身生命值，恢复量为对敌人造成伤害的15%,10013,1,0,,1=0,,,200016,,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1001401,魔法吸取,,魔法吸取,使用伤害类主动技能时，有10%几率恢复自身魔法值，恢复量为对敌人造成伤害的15%,10014,1,0,,1=0,,,200017,,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1001501,战斗祝福,,战斗祝福,战斗祝福判断,10015,1,0,,1=0,,,200018,1=3,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1001601,战斗祝福,,战斗祝福,战斗祝福判断,10016,1,0,,1=0,,,200019,1=3,,,27,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1001701,防御祝福,,防御祝福,防御祝福判断,10017,1,0,,1=0,,,200020,1=3,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1001801,防御祝福,,防御祝福,防御祝福判断,10018,1,0,,1=0,,,200021,1=3,,,27,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
1001901,战斗祝福:神速,,战斗祝福:神速,增加攻击速度,10019,1,0,,1=0,,,200022,1=3,,,,,,,,,,,,,,,,,0,0,1,,,,1,0,Skill_pet,PetSkill_zhandongzhufu.png,,1,,,,,,,
1002001,战斗祝福:战神,,战斗祝福:战神,增加物理和魔法攻击力,10020,1,0,,1=0,,,200023,1=3,,,,,,,,,,,,,,,,,0,0,1,,,,1,0,Skill_pet,PetSkill_zhandongzhufu.png,,1,,,,,,,
