ID,Comment,Node
旗子的NPC ID,注释,旗子图标节点
50112,普隆德拉城池1旗子,Item_gvg_qizi_002b
50113,普隆德拉城池2旗子,Item_gvg_qizi_001b
50114,普隆德拉城池3旗子,Item_gvg_qizi_001b
50115,普隆德拉城池4旗子,Item_gvg_qizi_001b
50116,普隆德拉城池5旗子,Item_gvg_qizi_001b
50117,吉芬1旗子,Item_gvg_qizi_002b
50118,吉芬2旗子,Item_gvg_qizi_001b
50119,吉芬3旗子,Item_gvg_qizi_001b
50120,吉芬4旗子,Item_gvg_qizi_001b
50121,吉芬5旗子,Item_gvg_qizi_001b
50122,斐扬1旗子,Item_gvg_qizi_002b
50123,斐扬2旗子,Item_gvg_qizi_001b
50124,斐扬3旗子,Item_gvg_qizi_001b
50125,斐扬4旗子,Item_gvg_qizi_001b
50126,斐扬5旗子,Item_gvg_qizi_001b
