ID,Index1,Index2,LevelIndex,ItemID,,GiftType,FriendDegree,ServerLevelLimit,Enable,DelaySellTime,ChooseNumberRange,ChooseStack,InventoryUpperLimit,BasePrice,SingleFloatRange,PriceFloatRange,PriceLimit,PriceFixPara,FunctionName,LocalizationArea
排序ID,一级索引,二级索引,二级索引对应的等级索引,道具ID,道具名称(策划自己看),礼物类型(0默认分类1头饰材料2委托纹章),好友度限制,服务器等级限制,是否有效(1有效0无效)\r\n注：无效道具前端所有地方均不显示，后端不允许上架,延迟出售时间范围，单位：分钟\r\n(主要是错开上架时间，防止点对点交易),随机选择的道具数量范围，超出上限时前端会显示成xxxx+\r\n(极限情况堆满1页，1×8×堆叠上限),随机选择的组数(防止极限情况下道具组数太多，前端卡死，默认最多10页80组),全服库存上限，达到上限后不允许上架(临时定一个堆叠上限×1000)\r\n注：需要动态变化,基础价格,单次浮动百分比,价格浮动范围(单位：百分比),价格限制范围,价格修正参数\r\n注：需要动态变化,动态计算修正参数的函数名\r\n(脚本路径：config\LuaGame\calc_stall_price.lua),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,200101,200101,0=999,3040012,煤炭,0,0,0,1,0=2,2000=2500,80,50000,1250,5,-10=10,1000=1500,200000,calc1,
2,200102,200102,0=999,3040005,火灵原石,0,0,0,1,0=2,2000=2500,80,50000,8000,5,-25=25,6000=10000,200000,calc1,
3,200103,200103,0=999,3040006,水灵原石,0,0,0,1,0=2,2000=2500,80,50000,8000,5,-25=25,6000=10000,200000,calc1,
4,200104,200104,0=999,3040007,土灵原石,0,0,0,1,0=2,2000=2500,80,50000,8000,5,-25=25,6000=10000,200000,calc1,
5,200105,200105,0=999,3040008,风灵原石,0,0,0,1,0=2,2000=2500,80,50000,8000,5,-25=25,6000=10000,200000,calc1,
6,200106,200106,0=999,2025007,速效修复药剂,0,0,0,1,0=2,2000=2500,80,50000,1300,5,-25=25,700=1900,200000,calc1,9
7,200107,200107,0=999,2025008,强效修复药剂,0,0,0,1,0=2,2000=2500,80,50000,5000,5,-25=25,3000=7000,200000,calc1,9
8,300101,300101,0=999,1290004,空瓶,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
9,300102,300102,0=999,1290014,杰勒比结晶,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
10,300103,300103,0=999,1290015,三叶幸运草,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
11,300104,300104,0=999,1290008,昆虫外壳,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
12,300105,300105,0=999,1290018,粘稠液体,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
13,300106,300106,0=999,1290011,坚硬外皮,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
14,300107,300107,0=999,1290013,苹果汁,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
15,300108,300108,0=999,1290017,动物外皮,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
16,300109,300109,0=999,1290016,柔毛,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
17,300110,300110,0=999,1290003,玛哪树枝,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
18,300111,300111,0=999,1290007,加勒结晶,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
19,300112,300112,0=999,1290010,死人遗骨,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
20,300113,300113,0=999,1290009,雪勒结晶,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
21,300114,300114,0=999,1290012,剎勒空结晶,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
22,300115,300115,0=999,1290054,珊瑚,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
23,300116,300116,0=999,1290001,腐烂绷带,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
24,300117,300117,0=999,1290005,亡者遗物,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,
25,300118,300118,0=999,1290069,葡萄,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,11
26,300119,300119,0=999,1290070,苹果,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,11
27,300120,300120,0=999,1290083,红色领巾,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,11
28,300121,300121,0=999,1290084,圆形外皮,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,11
29,300122,300122,0=999,1290085,红色蜡烛,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,11
30,300123,300123,0=999,1290095,冰块一角,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
31,300124,300124,0=999,1290096,青苹果,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
32,300125,300125,0=999,1290097,柠檬,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
33,300126,300126,0=999,1290101,触须,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
34,300127,300127,0=999,1290102,菠萝,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
35,300128,300128,0=999,1290103,甜瓜,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
36,300129,300129,0=999,1290115,昆虫的尾巴,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
37,300130,300130,0=999,1290116,昆虫的长腿 ,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
38,300131,300131,0=999,1290117,粉尘,1,5,0,1,0=2,2000=2500,80,50000,500,10,-50=50,200=800,200000,calc1,9
39,300201,300201,0=999,1290042,酒精,1,5,0,0,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
40,300202,300202,0=999,1280004,玻璃珠,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
41,300203,300203,0=999,1280007,光粒,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
42,300204,300204,0=999,1280011,慧眼,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
43,300205,300205,0=999,1280002,布里刊,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
44,300206,300206,0=999,1290002,黄玉碎片,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
45,300207,300207,0=999,1290006,赛依伐,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
46,300208,300208,0=999,1290043,蜂蜜,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
47,300209,300209,0=999,1280008,巨大杰勒比结晶,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
48,300210,300210,0=999,1290053,透明之布,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
49,300211,300211,0=999,1290058,羽毛,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
50,300212,300212,0=999,1290062,破旧书页,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
51,300213,300213,0=999,1290057,植物梗,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
52,300214,300214,0=999,1290059,硬角,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
53,300215,300215,0=999,1290061,锐利鳞片,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
54,300216,300216,0=999,1290056,巨大雪勒结晶,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
55,300217,300217,0=999,1290060,石心,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,
56,300218,300218,0=999,1290063,冰碎块,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
57,300219,300219,0=999,1290064,冰结晶,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
58,300220,300220,0=999,1290065,熊掌,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
59,300221,300221,0=999,1290066,螳螂臂,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
60,300222,300222,0=999,1290067,人鱼鳞片,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
