MainSonId,ID,Chapter,TaskId,End,Atlas,Icon
子活动主键,"编号,唯一",对应章节,任务id,是否本章结尾任务0否1是,任务图图集,图标名
13007001,1,22004010,22004010,0,,
13007001,2,22004010,22004020,0,,
13007001,3,22004010,22004030,0,,
13007001,4,22004010,22004040,0,,
13007001,5,22004010,22004050,1,,
13007001,6,22004110,22004110,0,,
13007001,7,22004110,22004120,0,,
13007001,8,22004110,22004130,0,,
13007001,9,22004110,22004140,0,,
13007001,10,22004110,22004150,1,,
13007001,11,22004210,22004210,0,,
13007001,12,22004210,22004220,0,,
13007001,13,22004210,22004230,0,,
13007001,14,22004210,22004240,0,,
13007001,15,22004210,22004250,1,,
13007001,16,22004310,22004310,0,,
13007001,17,22004310,22004320,0,,
13007001,18,22004310,22004330,0,,
13007001,19,22004310,22004340,1,,
13007001,20,22004410,22004410,0,,
13007001,21,22004410,22004420,0,,
13007001,22,22004410,22004430,0,,
13007001,23,22004410,22004440,1,,
