Id,Desc,Type,AffixNum,RandomProb
ID,备注描述\r\n（策划用）,0随机怪物 1随机怪物词缀 2随机场景词缀 3随机掉落Buff,数量,ID和权重
1,1-5小怪,0,,0=10007=100|0=10008=100|0=10009=100|0=10010=100|0=10011=100|0=10012=100|0=10013=100|0=10014=100|0=10015=100|0=10016=100|0=10017=100|0=10018=100|0=10019=100|0=10020=100|0=10021=100|0=10022=100
2,1-5精英50%,0,,0=10007=100|0=10008=100|0=10009=100|0=10010=100|0=10011=100|0=10012=100|0=10013=100|0=10014=100|0=10015=100|0=10016=100|0=10017=100|0=10018=100|0=10019=100|0=10020=100|0=10021=100|0=10022=100|1=20007=100|1=20008=100|1=20009=100|1=20010=100|1=20011=100|1=20012=100|1=20013=100|1=20014=100|1=20015=100|1=20016=100|1=20017=100|1=20018=100|1=20019=100|1=20020=100|1=20021=100|1=20022=100
3,6-10小怪,0,,0=10008=100|0=10009=100|0=10010=100|0=10011=100|0=10012=100|0=10013=100|0=10014=100|0=10015=100|0=10016=100|0=10017=100|0=10018=100|0=10019=100|0=10020=100|0=10021=100|0=10022=100|0=10023=100|0=10024=100|0=10025=100|0=10026=100|0=10027=100|0=10028=100|0=10029=100|0=10030=100|0=10031=100
4,6-10精英50%,0,,0=10008=100|0=10009=100|0=10010=100|0=10011=100|0=10012=100|0=10013=100|0=10014=100|0=10015=100|0=10016=100|0=10017=100|0=10018=100|0=10019=100|0=10020=100|0=10021=100|0=10022=100|0=10023=100|0=10024=100|0=10025=100|0=10026=100|0=10027=100|0=10028=100|0=10029=100|0=10030=100|0=10031=100|1=20008=100|1=20009=100|1=20010=100|1=20011=100|1=20012=100|1=20013=100|1=20014=100|1=20015=100|1=20016=100|1=20017=100|1=20018=100|1=20019=100|1=20020=100|1=20021=100|1=20022=100|1=20023=100|1=20024=100|1=20025=100|1=20026=100|1=20027=100|1=20028=100|1=20029=100|1=20030=100|1=20031=100
5,11-15小怪,0,,0=10023=100|0=10024=100|0=10025=100|0=10026=100|0=10027=100|0=10028=100|0=10029=100|0=10030=100|0=10031=100|0=10032=100|0=10033=100|0=10034=100|0=10035=100|0=10036=100|0=10037=100|0=10038=100|0=10039=100|0=10040=100|0=10041=100|0=10042=100|0=10043=100|0=10044=100|0=10045=100|0=10046=100|0=10047=100|0=10048=100
6,11-15精英50%,0,,0=10023=100|0=10024=100|0=10025=100|0=10026=100|0=10027=100|0=10028=100|0=10029=100|0=10030=100|0=10031=100|0=10032=100|0=10033=100|0=10034=100|0=10035=100|0=10036=100|0=10037=100|0=10038=100|0=10039=100|0=10040=100|0=10041=100|0=10042=100|0=10043=100|0=10044=100|0=10045=100|0=10046=100|0=10047=100|0=10048=100|1=20023=100|1=20024=100|1=20025=100|1=20026=100|1=20027=100|1=20028=100|1=20029=100|1=20030=100|1=20031=100|1=20032=100|1=20033=100|1=20034=100|1=20035=100|1=20036=100|1=20037=100|1=20038=100|1=20039=100|1=20040=100|1=20041=100|1=20042=100|1=20043=100|1=20044=100|1=20045=100|1=20046=100|1=20047=100|1=20048=100
7,16-20小怪,0,,0=10023=100|0=10024=100|0=10025=100|0=10026=100|0=10027=100|0=10028=100|0=10029=100|0=10030=100|0=10031=100|0=10032=100|0=10033=100|0=10034=100|0=10035=100|0=10036=100|0=10037=100|0=10038=100|0=10039=100|0=10040=100|0=10041=100|0=10042=100|0=10043=100|0=10044=100|0=10045=100|0=10046=100|0=10047=100|0=10048=100
8,16-20精英50%,0,,0=10023=100|0=10024=100|0=10025=100|0=10026=100|0=10027=100|0=10028=100|0=10029=100|0=10030=100|0=10031=100|0=10032=100|0=10033=100|0=10034=100|0=10035=100|0=10036=100|0=10037=100|0=10038=100|0=10039=100|0=10040=100|0=10041=100|0=10042=100|0=10043=100|0=10044=100|0=10045=100|0=10046=100|0=10047=100|0=10048=100|1=20023=100|1=20024=100|1=20025=100|1=20026=100|1=20027=100|1=20028=100|1=20029=100|1=20030=100|1=20031=100|1=20032=100|1=20033=100|1=20034=100|1=20035=100|1=20036=100|1=20037=100|1=20038=100|1=20039=100|1=20040=100|1=20041=100|1=20042=100|1=20043=100|1=20044=100|1=20045=100|1=20046=100|1=20047=100|1=20048=100
9,21-25小怪,0,,0=10042=100|0=10043=100|0=10044=100|0=10045=100|0=10046=100|0=10047=100|0=10048=100|0=10049=100|0=10050=100|0=10051=100|0=10052=100|0=10053=100|0=10054=100|0=10055=100|0=10056=100|0=10057=100|0=10058=100|0=10059=100|0=10060=100|0=10061=100|0=10062=100|0=10063=100|0=10064=100
