Id,ProfessionId,SkillLibId,Type,SkillName,SkillQuality,BuffId,Attrdec,ClassId,ClassLevel,Weight,TimesLimit,profession,comment
Id,职业Id,库id,类型：1初级：2高级,技能名称,技能品质,属性Id,属性描述(无需维护),互斥Id,技能等级,权重,门槛次数,职业字段，多个用竖线隔开,技能名称字段注释
1,2000,2000101,1,力量Lv.1,1,7100101,力量+1,71001,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
2,3000,3000101,1,力量Lv.1,1,7100101,力量+1,71001,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
3,4000,4000101,1,力量Lv.1,1,7100101,力量+1,71001,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
4,5000,5000101,1,力量Lv.1,1,7100101,力量+1,71001,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
5,6000,6000101,1,力量Lv.1,1,7100101,力量+1,71001,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
6,7000,7000101,1,力量Lv.1,1,7100101,力量+1,71001,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
7,2000,2000101,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
8,3000,3000101,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
9,4000,4000101,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
10,5000,5000101,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
11,6000,6000101,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
12,7000,7000101,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
13,2000,2000201,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
14,3000,3000201,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
15,4000,4000201,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
16,5000,5000201,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
17,6000,6000201,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
18,7000,7000201,1,力量Lv.2,1,7100102,力量+2,71001,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
19,2000,2000201,1,力量Lv.3,2,7100103,力量+3,71001,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
20,3000,3000201,1,力量Lv.3,2,7100103,力量+3,71001,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
21,4000,4000201,1,力量Lv.3,2,7100103,力量+3,71001,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
22,5000,5000201,1,力量Lv.3,2,7100103,力量+3,71001,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
23,6000,6000201,1,力量Lv.3,2,7100103,力量+3,71001,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
24,7000,7000201,1,力量Lv.3,2,7100103,力量+3,71001,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
25,2000,2000201,1,力量Lv.4,2,7100104,力量+4,71001,4,0,0,2000|3000|4000|5000|6000|7000,已废弃
26,3000,3000201,1,力量Lv.4,2,7100104,力量+4,71001,4,0,0,2000|3000|4000|5000|6000|7000,已废弃
27,4000,4000201,1,力量Lv.4,2,7100104,力量+4,71001,4,0,0,2000|3000|4000|5000|6000|7000,已废弃
28,5000,5000201,1,力量Lv.4,2,7100104,力量+4,71001,4,0,0,2000|3000|4000|5000|6000|7000,已废弃
29,6000,6000201,1,力量Lv.4,2,7100104,力量+4,71001,4,0,0,2000|3000|4000|5000|6000|7000,已废弃
30,7000,7000201,1,力量Lv.4,2,7100104,力量+4,71001,4,0,0,2000|3000|4000|5000|6000|7000,已废弃
31,2000,2000101,1,体质Lv.1,1,7100201,体质+1,71002,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
32,3000,3000101,1,体质Lv.1,1,7100201,体质+1,71002,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
33,4000,4000101,1,体质Lv.1,1,7100201,体质+1,71002,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
34,5000,5000101,1,体质Lv.1,1,7100201,体质+1,71002,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
35,6000,6000101,1,体质Lv.1,1,7100201,体质+1,71002,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
36,7000,7000101,1,体质Lv.1,1,7100201,体质+1,71002,1,0,0,2000|3000|4000|5000|6000|7000,已废弃
37,2000,2000101,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
38,3000,3000101,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
39,4000,4000101,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
40,5000,5000101,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
41,6000,6000101,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
42,7000,7000101,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
43,2000,2000201,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
44,3000,3000201,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
45,4000,4000201,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
46,5000,5000201,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
47,6000,6000201,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
48,7000,7000201,1,体质Lv.2,1,7100202,体质+2,71002,2,0,0,2000|3000|4000|5000|6000|7000,已废弃
49,2000,2000201,1,体质Lv.3,2,7100203,体质+3,71002,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
50,3000,3000201,1,体质Lv.3,2,7100203,体质+3,71002,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
51,4000,4000201,1,体质Lv.3,2,7100203,体质+3,71002,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
52,5000,5000201,1,体质Lv.3,2,7100203,体质+3,71002,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
53,6000,6000201,1,体质Lv.3,2,7100203,体质+3,71002,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
54,7000,7000201,1,体质Lv.3,2,7100203,体质+3,71002,3,0,0,2000|3000|4000|5000|6000|7000,已废弃
55,2000,2000201,1,体质Lv.4,2,7100204,体质+4,71002,4,0,0,2000|3000|4000|5000|6000|7000,已废弃
56,3000,3000201,1,体质Lv.4,2,7100204,体质+4,71002,4,0,0,2000|3000|4000|5000|6000|7000,已废弃
