EntityId,UsingName,LuaPath,LuaScriptName
怪物ID,对应boss名,路径（从config\LuaGame\time\开始）,脚本名称
5006,巨大毒蘑菇H,time/,Dungeon_XiaShuiDaoZhiMi_JuDaDuMoGu_H
5201,海盗之王H,time/,Dungeon_HaiDaoChuan_HaiDaoZhiWang_H
5257,死灵H,time/,Dungeon_JiFenDiXia_SiLing_H
5401,蚁后,time/,Dungeon_MaYiDong_YiHou
5439,蚁后,time/,Dungeon_MaYiDong_YiHou
7701,海盗之王EZ,time/,Dungeon_HaiDaoChuan_HaiDaoZhiWang_EZ
7726,海盗之王S,time/,Dungeon_HaiDaoChuan_HaiDaoZhiWang_S
7757,死灵EZ,time/,Dungeon_JiFenDiXia_SiLing_EZ
7209,骑士,time/,Dungeon_ShiLiLaoYin_Knight
7151,法师导师,time/,Perform_FaShiDaoShi
7161,服事导师,time/,Perform_FuShiDaoShi
7141,剑士导师,time/,Perform_JianShiDaoShi
7181,弓手导师,time/,Perform_GongShouDaoShi
7186,小男孩,time/,Perform_LuGuoDeNanHai
6981,修女,time/,Dungeon_ShengZhiQiFu_XiuNv
6982,祭祀,time/,Dungeon_ShengZhiQiFu_JiSi
7172,盗贼小男孩,time/,Perform_LuGuoDeNanHai_DaoZei
7171,盗贼导师,time/,Perform_DaoZeiDaoShi
7191,商人导师,time/,Perform_ShangRenDaoShi
7856,巨大毒蘑菇,time/,Dungeon_XiaShuiDaoZhiMi_JuDaDuMoGu_EZ
8406,巨大毒蘑菇单人,time/,Dungeon_XiaShuiDaoZhiMi_JuDaDuMoGu_S
8457,死灵S,time/,Dungeon_JiFenDiXia_SiLing_S
8471,俄塞里斯,time/,Dungeon_JinZiTa_ESaiLiSi_S
8306,赛依连,time/,Dungeon_KuShuZhi_SaiYiLian
30529,布莱伊德,time/,Perform_XinShouPaiZhao
30530,安德森,time/,Perform_XinShouPaiZhao
30531,助教,time/,Perform_XinShouPaiZhao
30532,斯普拉琪,time/,Perform_XinShouPaiZhao
30533,剑士导师,time/,Perform_XinShouPaiZhao
30534,魔法师导师,time/,Perform_XinShouPaiZhao
30535,服事导师,time/,Perform_XinShouPaiZhao
30536,盗贼导师,time/,Perform_XinShouPaiZhao
6805,瓦尔基里,time/,Dungeon_YingLingDian_Valkyrie
5649,高阶巫师兰德里,time/,Perform_JiFenMoFaShiEasy__Magician
6827,瓦尔基里,time/,Dungeon_YingLingDian_Bader
6912,贝贝,time/,Perform_WeiXing_BeiBei
6913,老板娘,time/,Perform_WeiXing_LaoBanNiang
6901,马拉,time/,Perform_WeiXing_MaLa
8901,梦罗克幼体,time/,Dungeon_DiErCiFengYin_MengLuoKeYouTi_EZ
8902,梦罗克,time/,Dungeon_DiErCiFengYin_MengLuoKe_EZ
8951,梦罗克幼体,time/,Dungeon_DiErCiFengYin_MengLuoKeYouTi_H
8952,梦罗克,time/,Dungeon_DiErCiFengYin_MengLuoKe_H
8971,梦罗克幼体,time/,Dungeon_DiErCiFengYin_MengLuoKeYouTi_S
8972,梦罗克,time/,Dungeon_DiErCiFengYin_MengLuoKe_S
9111,俄塞里斯,time/,Dungeon_JinZiTa_ESaiLiSi_EZ
9161,俄塞里斯_H,time/,Dungeon_JinZiTa_ESaiLiSi_H
9352,卡努,time/,Perform_HuSongKaNu_KaNu
9451,旅人妈妈,time/,Perform_AiErBeiTa_LvRenMaMa
