EquipId,策划用,PositionX,PositionY,PositionZ,RotateX,RotateY,RotateZ
装备Id,模型,位置X,位置Y,位置Z,旋转X,旋转Y,旋转Z
12110101,Sword_023_Weapon,0.3,0.9,-0.3,326.3,261.7,279.5999
1111901,Hammer_001_Weapon,0.15,1.06,-0.61,326.8499,244.8,3.999908
6112801,Bow_011_Weapon,0.1,1.25,-0.3,317.9,242.9201,286.2
2113901,Dagger_017_Weapon,0.15,1.15,-0.5,322.62,257.4999,89.1
4115801,Stick_002_Weapon,0.05,1.04,-0.4,321.2,250.5,67.19999
4115901,Stick_014_Weapon,0.1,1.05,-0.3,323,247.4,73.4
5117201,Axe_001_Weapon,0.54,0.93,-0.6,-40.1,-113.42,82.59998
12333305,Sword_023_Weapon,0.3,0.9,-0.3,326.3,261.7,279.5999
12333307,Sword_023_Weapon,0.3,0.9,-0.3,326.3,261.7,279.5999
12333308,Sword_023_Weapon,0.3,0.9,-0.3,326.3,261.7,279.5999
12333405,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12333407,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12333408,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12333507,Sword_030_Weapon,0.42,0.86,0.19,-37,-98.26,95.6
12333508,Sword_030_Weapon,0.42,0.86,0.19,-37,-98.26,95.6
12333607,Sword_031_Weapon,0.41,0.98,-0.4,-37,-93,105
12333608,Sword_031_Weapon,0.41,0.98,-0.4,-37,-93,105
12333708,Blade_029_Weapon,0.29,1.1,-0.4,-26.07,-93,62
12333807,SwordEx_005_Weapon,0.1,0.9,0,-49.2,-92.89,101.7
12333808,SwordEx_005_Weapon,0.1,0.9,0,-49.2,-92.89,101.7
12333907,SwordEx_004_Weapon,0.2,0.9,0,-45,-99,85
12333908,SwordEx_004_Weapon,0.2,0.9,0,-45,-99,85
13334005,Lance_014_Weapon,0.1,0.9,0.28,-45.6,-99,85
13334007,Lance_014_Weapon,0.1,0.9,0.28,-45.6,-99,85
13334008,Lance_014_Weapon,0.1,0.9,0.28,-45.6,-99,85
13334105,Lance_006_Weapon,0.1,0.9,0.28,-45.6,-99,85
13334107,Lance_006_Weapon,0.1,0.9,0.28,-45.6,-99,85
13334108,Lance_006_Weapon,0.1,0.9,0.28,-45.6,-99,85
13334207,Lance_002_Weapon,0.3,0.75,0,-50.7,-109.3,74.10001
13334208,Lance_002_Weapon,0.3,0.75,0,-50.7,-109.3,74.10001
13334307,LanceEx_006_Weapon,0.59,0.7,0,-44,-88.7,147
13334308,LanceEx_006_Weapon,0.59,0.7,0,-44,-88.7,147
13334408,LanceEx_010_Weapon,0.4,1,0,-37,-93,61
4334505,Stick_003_Weapon,0,1.1,0.19,323,280,56.2
4334507,Stick_003_Weapon,0,1.1,0.19,323,280,56.2
4334508,Stick_003_Weapon,0,1.1,0.19,323,280,56.2
4334605,Stick_004_Weapon,0.07,1.1,0.2,323.2,280.6,318
4334607,Stick_004_Weapon,0.07,1.1,0.2,323.2,280.6,318
4334608,Stick_004_Weapon,0.07,1.1,0.2,323.2,280.6,318
4334705,Stick_007_Weapon,0.05,1,0.2,323,280,274.5
4334707,Stick_007_Weapon,0.05,1,0.2,323,280,274.5
4334708,Stick_007_Weapon,0.05,1,0.2,323,280,274.5
4334805,Stick_021_Weapon,0,1,0,-45.6,-99,75
4334807,Stick_021_Weapon,0,1,0,-45.6,-99,75
4334808,Stick_021_Weapon,0,1,0,-45.6,-99,75
4334905,StickEx_001_Weapon,-0.02,1.1,0.15,321.8,261.2,253.9
4334907,StickEx_001_Weapon,-0.02,1.1,0.15,321.8,261.2,253.9
4334908,StickEx_001_Weapon,-0.02,1.1,0.15,321.8,261.2,253.9
4335005,Stick_014_Weapon,0.1,1.05,-0.3,323,247.4,73.4
4335105,StickEx_002_Weapon,0.05,1,0.1,323,267.7,73.7
4335107,StickEx_002_Weapon,0.05,1,0.1,323,267.7,73.7
4335108,StickEx_002_Weapon,0.05,1,0.1,323,267.7,73.7
4335207,Stick_014_Weapon,0.1,1.05,-0.3,323,247.4,73.4
4335208,Stick_014_Weapon,0.1,1.05,-0.3,323,247.4,73.4
4335307,Stick_013_Weapon,0.2,1.1,-0.3,-37,-112.6,73.4
4335308,Stick_013_Weapon,0.2,1.1,-0.3,-37,-112.6,73.4
4335407,Stick_020_Weapon,0,1.2,0,-45,-99,85
4335408,Stick_020_Weapon,0,1.2,0,-45,-99,85
4335507,StickEx_003_Weapon,0,1,0.8,-45.6,-80.5,84.53
4335508,StickEx_003_Weapon,0,1,0.8,-45.6,-80.5,84.53
4335607,Stick_011_Weapon,0.1,1.04,0,322.9,266.9999,61.00001
4335608,Stick_011_Weapon,0.1,1.04,0,322.9,266.9999,61.00001
4335708,Stick_016_Weapon,0.02,1.1,0.1,323.5,280,236.7
9335805,Blade_010_Weapon,0.007,0.8,0,274,-1.39146E-18,-2.918087E-12
9335807,Blade_010_Weapon,0.007,0.8,0,274,-1.39146E-18,-2.918087E-12
9335808,Blade_010_Weapon,0.007,0.8,0,274,-1.39146E-18,-2.918087E-12
9335905,Blade_012_Weapon,0.3,0.9,0,-45.6,-99,85
9335907,Blade_012_Weapon,0.3,0.9,0,-45.6,-99,85
9335908,Blade_012_Weapon,0.3,0.9,0,-45.6,-99,85
9336007,Blade_011_Weapon,0.2,0.9,0,-45,-99,85
9336008,Blade_011_Weapon,0.2,0.9,0,-45,-99,85
9336107,Blade_009_Weapon,0,0.8,0,274,180,-2.918087E-12
9336108,Blade_009_Weapon,0,0.8,0,274,180,-2.918087E-12
9336208,Blade_002_Weapon,0.01,0.8,0,273.9998,-5.836364E-12,-1.147492E-05
2336305,Dagger_004_Weapon,0.14,1.05,-0.5,322.9,259.6,76.80002
2336307,Dagger_004_Weapon,0.14,1.05,-0.5,322.9,259.6,76.80002
2336308,Dagger_004_Weapon,0.14,1.05,-0.5,322.9,259.6,76.80002
2336405,Dagger_019_Weapon,0.16,1.1,-0.6,321.4,263.8,80.90003
