EventID,EventType,Weight,Level,MonsterConfig,BuffConfig,AIEventName,TimeAndWeather,TurnTableAngle,Award,Text,EventDes,Prompt,EventRecord,IsPraise
事件ID,事件类型（1.刷新特殊怪物 2.刷新BOSS3.BUFF出现 4.特定属性怪物 5.NPC来袭 6.随机事件7.特殊变身 8.元素领域）,权重,事件等级段,怪物配置（编辑器WaveID）,Buff配置（BUFFID=0给玩家加=1给怪物加）,发送AI名称,昼夜和天气,转盘角度,额外奖励,显示文字,事件描述,事件提示,事件记录,是否点赞
1,1,20,1=200,24,,special,2=0,150|330,3120070,{0} X{1} 特殊怪物出现,出现特殊魔物【额外的铜币】,一只奇怪的波利出现在其他怪物身边,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现了<color=$$Blue$$>{1}只魔物</color> 同时1只奇怪的波利也出现在场中 ，击杀后似乎能有意外惊喜。,0
2,1,20,1=200,25,,,2=0,150|330,3120070,{0} X{1} 特殊怪物出现,出现特殊魔物【额外的铜币】,救死扶伤的狸猫正在给怪物治疗,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现了<color=$$Blue$$>{1}只魔物</color> 同时1只奇怪的狸猫也出现在场中 ，击杀后似乎能有意外惊喜。,0
3,1,20,1=200,23,,,2=0,150|330,3120070,{0} X{1} 精英怪物出现,出现精英魔物【额外的铜币】,精英怪物在场中出现，赶快前去击杀,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现了<color=$$Blue$$>{1}只魔物</color> 另外似乎出现了2只魔物小头目 ，击杀后似乎能有意外惊喜。,0
4,2,5,1=200,26,,,2=0,90,3120040,{0} X{1} BOSS降临,Boss出现【赶快击杀BOSS幻影】,Boss出现了，为了奖励解决它吧,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 一只看起来很凶的Boss也出现了 ，请努力击杀它吧。,0
5,2,5,1=200,26,,,2=0,90,3120040,{0} X{1} BOSS降临,Boss出现【赶快击杀BOSS幻影】,Boss出现了，为了奖励解决它吧,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 一只看起来很凶的Boss也出现了 ，请努力击杀它吧。,0
6,3,20,1=200,,,dropbuff1,2=0,30|210,3120030,{0} X{1} 特殊BUFF出现,拾取BUFF【攻速暴击提升】,场景中刷新了特殊BUFF，去拾取看看效果,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 另外场中似乎出现了物理系职业的BUFF，赶快去拾取然后战斗吧。,0
7,3,20,1=200,,,dropbuff2,2=0,60|240,3120030,{0} X{1} 特殊BUFF出现,拾取BUFF【可变吟唱缩短】,场景中刷新了特殊BUFF，去拾取看看效果,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 另外场中似乎出现了读条类职业的BUFF，赶快去拾取然后战斗吧。,0
8,4,20,1=200,18,,dropbuffwind,2=0,0,3120030,{0} X{1} 水属性怪物出现,水属性魔物【用风系克制】,场景中刷新了水属性怪物，请用风系技能克制,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 你似乎被祝福了，浑身充满了力量，赶紧去清理魔物吧。,0
9,4,20,1=200,19,,dropbuffearth,2=0,0,3120030,{0} X{1} 风属性怪物出现,风属性魔物【用地系克制】,场景中刷新了风属性怪物，请用地系技能克制,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 你似乎被祝福了，浑身充满了力量，赶紧去清理魔物吧。,0
10,4,20,1=200,20,,dropbufffire,2=0,0,3120030,{0} X{1} 地属性怪物出现,地属性魔物【用火系克制】,场景中刷新了地属性怪物，请用火系技能克制,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 你似乎被祝福了，浑身充满了力量，赶紧去清理魔物吧。,0
11,4,20,1=200,21,,dropbuffwater,2=0,0,3120030,{0} X{1} 火属性怪物出现,火属性魔物【用水系克制】,场景中刷新了火属性怪物，请用水系技能克制,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 你似乎被祝福了，浑身充满了力量，赶紧去清理魔物吧。,0
12,4,20,1=200,22,,dropbuffholy,2=0,0,3120030,{0} X{1} 暗属性怪物出现,暗属性魔物【用圣系克制】,场景中刷新了暗属性怪物，请用圣系技能克制,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 你似乎被祝福了，浑身充满了力量，赶紧去清理魔物吧。,0
13,6,20,1=200,24,,,2=0,180,3120070,{0} X{1} 未知事件发生,出现特殊魔物【额外的铜币】,一只奇怪的波利出现在其他怪物身边,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现了<color=$$Blue$$>{1}只魔物</color> 同时1只奇怪的波利也出现在场中 ，击杀后似乎能有意外惊喜。,0
14,6,20,1=200,25,,,2=0,180,3120070,{0} X{1} 未知事件发生,出现特殊魔物【额外的铜币】,救死扶伤的狸猫正在给怪物治疗,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现了<color=$$Blue$$>{1}只魔物</color> 同时1只奇怪的狸猫也出现在场中 ，击杀后似乎能有意外惊喜。,0
15,6,20,1=200,23,,,2=0,180,3120070,{0} X{1} 未知事件发生,出现精英魔物【额外的铜币】,精英怪物在场中出现，赶快前去击杀,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现了<color=$$Blue$$>{1}只魔物</color> 另外似乎出现了2只魔物小头目 ，击杀后似乎能有意外惊喜。,0
16,6,20,1=200,23,,,2=0,180,3120070,{0} X{1} 未知事件发生,出现精英魔物【额外的铜币】,精英怪物在场中出现，赶快前去击杀,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现了<color=$$Blue$$>{1}只魔物</color> 另外似乎出现了2只魔物小头目 ，击杀后似乎能有意外惊喜。,0
17,6,5,1=200,26,,,2=0,180,3120040,{0} X{1} 未知事件发生,Boss出现【赶快击杀BOSS幻影】,Boss出现了，为了奖励解决它吧,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 一只看起来很凶的Boss也出现了 ，请努力击杀它吧。,0
18,6,5,1=200,26,,,2=0,180,3120040,{0} X{1} 未知事件发生,Boss出现【赶快击杀BOSS幻影】,Boss出现了，为了奖励解决它吧,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 一只看起来很凶的Boss也出现了 ，请努力击杀它吧。,0
19,6,6,1=200,27,,,2=0,270,3120060,{0} X{1} 宝箱怪出现,宝箱怪出现【测试下你的运气】,找到邪恶箱，击杀它有可能获得好东西哦！,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵隆隆地响动后，场中出现<color=$$Blue$$>{1}只魔物</color> 一个宝箱怪出现了，一定不要放过它！,1
20,5,0,50=200,28,,,2=0,60|240,3120030,{0} X{1} 特殊NPC出现,敌方NPC出现,敌方NPC出现,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵隆隆地响动后，场中出现<color=$$Blue$$>{1}只魔物</color> 一个宝箱怪出现了，一定不要放过它！,1
21,5,0,50=200,28,,,2=0,60|240,3120030,{0} X{1} 特殊NPC出现,敌方NPC出现,敌方NPC出现,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵隆隆地响动后，场中出现<color=$$Blue$$>{1}只魔物</color> 一个宝箱怪出现了，一定不要放过它！,1
22,3,20,1=200,,,dropbuff3,2=0,30|210,3120030,{0} X{1} 特殊BUFF出现,拾取BUFF【攻击大幅上升】,场景中刷新了特殊BUFF，去拾取看看效果,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 另外场中出现了提升攻击的BUFF，赶快去拾取然后战斗吧！,0
23,3,20,1=200,,,dropbuff4,2=0,30|210,3120030,{0} X{1} 特殊BUFF出现,拾取BUFF【攻速暴击提升】,场景中刷新了特殊BUFF，去拾取看看效果,<color=$$Blue$$>{0}</color>转动了符文轮盘，一阵缓慢的震动后，场中出现<color=$$Blue$$>{1}只魔物</color> 另外场中似乎出现了物理系职业的BUFF，赶快去拾取然后战斗吧。,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
