TeamIconID,TeamIconAltas,TeamIconName
冠军赛战队图标ID,图标图集,图标名称
1,Personal_Headicon01,UI_Headicon01_Icon_Tianshiboli.png
2,Personal_Headicon01,UI_Headicon01_Icon_Emoboli.png
3,Personal_Headicon01,UI_Headicon01_Icon_BoLiZhiWang.png
4,Personal_Headicon01,UI_Headicon01_Icon_TuBoLi.png
5,Personal_Headicon01,UI_Headicon01_Icon_Turen.png
6,Personal_Headicon01,UI_Headicon01_Icon_Biditefeilong.png
7,Personal_Headicon01,UI_Headicon01_Icon_Songshu.png
8,Personal_Headicon01,UI_Headicon01_Icon_QiaoKeHou.png
9,Personal_Headicon01,UI_Headicon01_Icon_Gongjiangebulin.png
10,Personal_Headicon01,UI_Headicon01_Icon_Futougebulin.png
11,Personal_Headicon01,UI_Headicon01_Icon_LianChuiGeBuLing.png
12,Personal_Headicon01,UI_Headicon01_Icon_ZhiShengJiGeBuLing.png
13,Personal_Headicon01,UI_Headicon01_Icon_Jianyu.png
14,Personal_Headicon01,UI_Headicon01_Icon_XiaoYeZhu.png
15,Personal_Headicon01,UI_Headicon01_Icon_Luodawa.png
16,Personal_Headicon01,UI_Headicon01_Icon_Pangxie.png
17,Personal_Headicon01,UI_Headicon01_Icon_Shourangongjianshou.png
18,Personal_Headicon01,UI_Headicon01_Icon_Shourennvzhanshi.png
19,Personal_Headicon01,UI_Headicon01_Icon_Shourenqiuzhang.png
20,Personal_Headicon01,UI_Headicon01_Icon_Shourenzhanshi.png
21,Personal_Headicon01,UI_Headicon01_Icon_Xiehaigongjianshou.png
22,Personal_Headicon01,UI_Headicon01_Icon_Xiehaihaidao.png
23,Personal_Headicon01,UI_Headicon01_Icon_Xiehaizhanshi.png
24,Personal_Headicon01,UI_Headicon01_Icon_Xiehaikuanggong.png
25,Personal_Headicon01,UI_Headicon01_Icon_Yueyemao.png
26,Personal_Headicon01,UI_Headicon01_Icon_Yaodao.png
27,Personal_Headicon01,UI_Headicon01_Icon_KuangBaoYiHou.png
28,Personal_Headicon01,UI_Headicon01_Icon_KuiLeiWaWa.png
29,Personal_Headicon01,UI_Headicon01_Icon_GuiNv.png
30,Personal_Headicon01,UI_Headicon01_Icon_GeBuLingShouLing.png
31,Personal_Headicon01,UI_Headicon01_Icon_FaLaoWang.png
32,Personal_Headicon01,UI_Headicon01_Icon_ESaiLiSi.png
