Id,RemarkName,GroupId,GroupInsideRate,Type,SubType,Data,ReplaceRoom
编号,随机备注说明,组id,组内概率\r\n万分比，最大值10000,随机类型\r\n (0:全局随机，1：指定房间随机方式）,随机子类型\r\n（0：固定不随机 1：怪物随机，2：事件随机，3：光照随机 ）,按类别填充：（0为补齐，无意义）\r\n房间随机（房间类型【关联MazeRoom】=多少个房间=输入参数=0）\r\n怪物随机（怪物id=怪物数量=权重=0）\r\n事件随机（事件id=0=权重=0)\r\n灯光随机（天气id=时间段id=权重=0),替换房间类型\r\n（房间类型【关联MazeRoom】=多少个房间=组id=概率（10000）=替换的房间类型）
1,房间随机,,,0,0,5=2=5=0|8=1=8=0|9=1=13=0|6=5=3=0|1=1=1=0|2=1=4=0|3=6=2=0|7=1=6=0,
2,房间随机,,,0,0,5=2=5=0|8=1=8=0|9=1=13=0|6=5=3=0|1=1=1=0|2=1=4=0|3=7=2=0|7=1=6=0,
3,房间随机,,,0,0,5=2=5=0|8=1=8=0|9=1=13=0|6=6=3=0|1=1=1=0|2=1=4=0|3=7=2=0|7=1=6=0,
4,房间随机,,,0,0,5=2=5=0|8=1=8=0|9=1=13=0|6=6=3=0|1=1=1=0|2=1=4=0|3=8=2=0|7=1=6=0,
5,房间随机,,,0,0,5=2=5=0|8=2=8=0|9=1=13=0|6=6=3=0|1=1=1=0|2=1=4=0|3=8=2=0|7=1=6=0,
6,出生房npc,1,10000,1,1,1=0=100=0,
7,怪物房随机,2,10000,1,1,9=0=100=10|18=0=100=10|59=0=100=10|62=0=100=10|65=0=100=10|68=0=100=10|171=0=100=10|174=0=100=10|178=0=100=10,
8,精英房随机,3,10000,1,1,12=0=100=11|142=0=100=11|148=0=100=11|151=0=100=11|155=0=100=11|181=0=100=11|184=0=100=11|187=0=100=11|190=0=100=11,
9,MVP房,4,10000,1,1,15=0=100=12,
10,钥匙房npc,5,10000,1,1,2=0=100=13,
11,彩蛋房普通怪随机,6,10000,1,1,34=0=100=10,
12,事件房普通怪随机,7,10000,1,1,27=0=100=0,
13,躲避球房精英怪随机,8,10000,1,1,36=0=100=0,
14,怪物随机,9,10000,1,1,1001=20=1000=0|1002=20=1000=0,
15,怪物随机,10,3000,1,1,1003=20=1000=0|1004=20=1000=0,
16,怪物随机,11,10000,1,1,1001=20=1000=0|1002=20=1000=0,
17,怪物随机,12,3000,1,1,1003=20=1000=0|1004=20=1000=0,
18,驱赶波利,13,10000,1,1,49=0=100=14,
