ProfessionId,Name,ProDetailId,Comment
职业Id,名称（策划用）,职业加点vector<int>,注释（策划用）
2000,剑士,200001,剑士基础推荐加点
3000,服侍,300001,服侍基础推荐加点
4000,法师,400001,法师基础推荐加点
5000,盗贼,500001,盗贼基础推荐加点
6000,商人,600001,商人基础推荐加点
7000,弓箭手,700001,弓箭手基础推荐加点
2101,骑士,210101|210102|210103,敏剑|枪骑|防御
2102,骑士领主,210201|210202|210203,敏剑|枪骑|防御
2201,十字军,220101|220102|220103,盾牌|圣十字|援护
2202,圣殿十字军,220201|220202|220203,盾牌|圣十字|援护
3101,牧师,310101|310102|310103,赞美|驱魔|暴牧
3102,神官,310201|310202|310203,赞美|驱魔|暴牧
3201,武僧,320101|320102,气功|连打
3202,武术宗师,320201|320202,气功|连打
4101,巫师,410101|410102,火焰|冰雷
4102,超魔导士,410201|410202,火焰|冰雷
4201,贤者,420101|420102,元素|精神
4202,智者,420201|420202,元素|精神
5101,刺客,510101|510102,双刀|拳刃
5102,十字刺客,510201|510202,双刀|拳刃
6101,铁匠,610101|610102,战铁|制作
6102,神工匠,610201|610202,战铁|制作
6201,炼金术士,620101|620102,投掷|生命体
6202,创造者,620201|620202,投掷|生命体
7101,猎人,710101|710102,速射|陷阱
7102,神射手,710201|710202,速射|陷阱
7201,诗人,720101|720102,颂音|狂想曲
7202,搞笑艺人,720201|720202,颂音|狂想曲
7211,舞娘,721101|721102,颂音|狂想曲
7212,冷艳舞姬,721201|721202,颂音|狂想曲
