Level,EDPS_Normal,EDPS_Hard,EHP_Normal,EHP_Hard,EBattleValue_2000,EBattleValue_3000,EBattleValue_4000,EBattleValue_5000,EBattleValue_6000,EBattleValue_7000
等级[int],期望DPS_普通[int],期望DPS_困难[int],期望HP_普通[int],期望HP_困难[int],期望战力_剑士[int],期望战力_法师[int],期望战力_执事[int],期望战力_刺客[int],期望战力_商人[int],期望战力_弓箭手[int]
30,1699,1941,1251,1741,930,1096,1464,1156,627,717
31,1838,1964,1287,1784,1098,1281,1579,1358,751,870
32,1860,1990,1324,1828,1117,1297,1615,1381,766,887
33,1883,2040,1361,1873,1135,1315,1651,1403,781,905
34,1906,2067,1399,1918,1153,1332,1689,1426,795,922
35,1962,2472,1487,2024,1205,1463,1765,1489,833,966
36,1985,2499,1526,2071,1224,1481,1802,1513,848,984
37,2008,2553,1565,2118,1243,1499,1841,1536,864,1002
38,2031,2769,1605,2166,1262,1518,1879,1560,879,1021
39,2070,2798,1670,2244,1292,1536,1919,1596,897,1040
40,2567,3841,2138,2806,1617,2006,2649,1969,1182,3083
41,2732,4220,2202,2882,1761,2143,2767,2147,1289,3306
42,2799,4355,2266,2960,1817,2173,2826,2215,1334,3354
43,2891,4465,2332,3038,1875,2205,2886,2283,1381,3406
44,2962,4571,2398,3118,1932,2235,2947,2353,1428,3453
45,3092,4958,2416,3325,1966,2234,2985,2395,1735,3568
46,3186,5098,2527,3458,2042,2265,3057,2468,1808,3619
47,3264,5227,2598,3543,2101,2297,3120,2538,1866,3669
48,3364,5474,2714,3683,2178,2329,3183,2609,1929,3720
49,3448,5598,2789,3773,2238,2361,3247,2681,1989,3770
50,4259,6402,3105,5244,2461,2748,3504,2884,2164,3834
51,4420,6611,3181,5336,2508,2783,3571,2925,2220,3925
52,4455,6663,3259,5429,2550,2817,3638,2966,2258,3975
53,4504,6689,3338,5523,2595,2854,3727,3007,2296,4036
54,4539,6766,3418,5619,2637,2888,3795,3049,2334,4085
55,4909,9583,4890,7033,3411,3777,4588,3843,3010,4434
56,4949,9644,5081,7274,3491,3838,4676,3913,3073,4510
57,4986,9728,5182,7404,3540,3875,4751,3957,3117,4563
58,5024,9809,5285,7537,3591,3912,4825,4001,3161,4615
59,5101,9848,5490,7795,3679,3953,4924,4048,3211,4674
60,5693,10791,5769,9426,4028,4412,5387,4357,3489,4845
61,5734,10878,5878,9567,4084,4453,5469,4404,3537,4900
62,5773,10948,5989,9710,4140,4494,5551,4452,3586,4953
63,5813,11021,6102,9855,4194,4534,5634,4500,3635,5007
64,5853,11110,6215,10001,4251,4576,5718,4547,3684,5061
65,6698,11281,6941,10675,5064,5462,6301,5425,4424,5576
66,6744,11351,7057,10825,5127,5506,6387,5475,4479,5629
67,6788,12386,7175,10977,5190,5550,6473,5526,4533,5681
68,6832,12460,7294,11130,5253,5594,6561,5577,4590,5733
69,6954,12506,7414,11285,5331,5641,6675,5633,4672,5810
70,8083,17495,10123,16217,7048,7477,8523,7251,6146,6823
71,10133,18197,10303,16463,7136,7541,8640,7320,6225,6900
72,10424,21531,10484,16712,7228,7605,8759,7390,6304,6977
73,10780,22382,10668,16963,7381,7677,8934,7470,6419,7101
74,10926,22792,10854,17218,7474,7742,9055,7541,6499,7179
75,11448,23793,11202,17843,7745,8007,9285,7804,6745,7355
76,11745,24741,11524,18276,7887,8122,9438,7877,6838,7447
77,11809,25027,11719,18544,7985,8188,9562,7949,6922,7526
78,11883,25178,12055,18995,8148,8259,9727,8022,7062,7722
79,11946,25364,12257,19272,8246,8326,9853,8094,7147,7803
80,15865,29670,13147,20591,9461,9616,11157,9196,8182,8410
81,16079,29854,13361,20883,9592,9705,11330,9377,8370,8522
82,16162,31622,13576,21177,9707,9782,11472,9460,8471,8596
83,16463,31793,13793,21475,9898,9864,11684,9555,8592,8695
84,16545,32348,14014,21777,10014,9941,11827,9664,8696,8769
85,16899,35275,14372,22584,10284,10182,12060,9936,8935,8927
86,17069,35462,14597,22892,10414,10275,12206,10192,9039,9013
87,17153,35845,14823,23202,10534,10352,12353,10310,9146,9089
88,17309,36589,15403,23975,10790,10534,12500,10535,9342,9330
89,17395,36870,15641,24300,10914,10615,12649,10657,9452,9406
90,19773,39659,16352,25237,12004,11612,13639,11632,10342,10057
91,19966,40047,17987,27760,12184,11786,13843,11806,10497,10207
92,20366,40848,18256,28176,12366,11962,14050,11983,10654,10360
93,20662,41443,18529,28598,12551,12141,14260,12162,10813,10515
94,20959,42038,18806,29026,12739,12323,14473,12344,10975,10672
95,21255,42633,19088,29461,12930,12507,14690,12529,11139,10832
96,21552,43228,19374,29902,13123,12694,14910,12716,11306,10994
97,21849,43823,19664,30350,13319,12884,15133,12906,11475,11158
98,22145,44418,19958,30805,13518,13077,15359,13099,11647,11325
99,22442,45012,20257,31267,13720,13273,15589,13295,11821,11494
100,22738,45607,20560,31736,13925,13472,15822,13494,11998,11666
101,23035,46202,20868,32212,14133,13674,16059,13696,12177,11840
102,23332,46797,21181,32695,14344,13879,16299,13901,12359,12017
103,23628,47392,21498,33185,14559,14087,16543,14109,12544,12197
104,23925,47987,21820,33682,14777,14298,16791,14320,12732,12379
105,24221,48582,22147,34187,14998,14512,17042,14534,12922,12564
