Statpoint,Pointneed
六维属性,提升对应属性所需素质点
1,0
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,9
71,9
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,9
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,11
91,11
92,11
93,11
94,11
95,11
96,11
97,11
98,11
99,11
100,12
101,12
102,12
103,12
104,12
105,12
106,12
107,12
108,12
109,12
110,13
111,13
112,13
113,13
114,13
115,13
116,13
117,13
118,13
119,13
120,14
121,14
122,14
123,14
124,14
125,14
126,14
127,14
128,14
129,14
130,15
131,15
132,15
133,15
134,15
135,15
136,15
137,15
138,15
139,15
140,16
141,16
142,16
143,16
144,16
145,16
146,16
147,16
148,16
149,16
150,17
151,17
152,17
153,17
154,17
155,17
156,17
157,17
158,17
159,17
160,18
161,18
162,18
163,18
164,18
165,18
166,18
167,18
168,18
169,18
170,19
171,19
172,19
173,19
174,19
175,19
176,19
177,19
178,19
179,19
180,20
181,20
182,20
183,20
184,20
185,20
186,20
187,20
188,20
189,20
190,21
191,21
192,21
193,21
194,21
195,21
196,21
197,21
198,21
199,21
200,22
