MainSonId,FunctionID,ActivityName,Remarks,FatherId,ShowTime,StartTime,StageTime,TimeDay,DayTime,ExtraTime,AwardID,Sort,ShowType,AtlasName,IconNameOne,IconNameTwo,IconNameThree,AtlasNameFour,IconNameFour,ServerLevelLimit,PlayerType,TotalTimes,DayTimes,ResetTimeType,ActivityForm,AcitiveText,BaseLevelShow,Target,ButtonTxt,AwardId,LimitAndRank,PreNotice,IsShow,PreTaskId,ActType,Openparam,RankMainId,GoalType,HideDayTime
子活动主键ID（唯一标识）,功能ID,活动名称,活动备注（策划用）,TimeActivity中MainId,"功能界面显示时间，时分秒格式为000000，不可配超过235959,0点配为000000","功能开启具体时间段，时分秒格式为000000，不可配超过235959,0点配为000000",阶段性时间点（填写每个需要切换阶段的时间点）,活动具体开放天（1=1|2|3代表活动周期内周一周二周三开启，2=1|2|3代表活动周期内 第一天，第二天第三天开启）,"限时:不配置为全天，具体几点则配置时间段,|分隔，0000为当天凌晨零点，不可配超过235959",活动延长时间，用以配置活动在开启时间外仍保留的时间，可以在此时间内继续在页面兑换道具或者一些其他处理，不配置或配置0代表没有延长时间,奖励及条件（奖励ID=条件参数|以此类推，不同type活动参数不同）,排序（显示活动框架配置0或者不配置）,活动界面显示类型（不填、0为默认类型）后面依据需求添加,图标图集,左侧列表图标名字,活动主题名,活动右下角暂时图片名,活动页签背景图集,活动页签背景图片名,服务器等级限制（0表示无限制）未达到条件的，不显示活动信息,玩家类型（1全体2普通4萌新8回流，后需添加即为16，32这样）,活动开放期间总次数,参与次数（用于实际生效）限次,每日重置时间（0无；1每日凌晨0点重置；2每日凌晨5点重置；3每周一凌晨0点重置；4每周一凌晨5点重置）,任务形式（1单人、2双人、3三人以上、4五人、5不限）不填为不显示,活动任务文本描述（本文控制在30个字以内，便于排版）,是否显示base等级限制（0为不显示，1为显示，不填默认显示）,跳转方式+位置（1：openallsystem表的功能ID；2：URL链接；3：3=NPCID，寻路到NPC；4:4=0代表不显示按钮）,跳转按钮显示文字,奖励预览（awardid)仅用于显示,积分每日限制和排行榜ID（积分ID=每日上限=排行榜ID=清空时间<38代表每日5点>=资源类型<1代表积分、2代表兑换货币>=今日积分文本=总积分文本=每日上限文本）,预先公告（提前秒数|messageID）,是否显示该活动（1显示，0为不显示，2为不显示在客户端）,活动引导任务,活动类型(由程序定 类型15只做基础显示，没有其他活动逻辑),开启活动所需要的参数（程序判断，用在各种地方，如401=5411330为401场景中杀人给掉落，Borensi_Open为给提示）,排行榜清空参数（填排行榜ID）,通用目标类型定义（对应commongoalstable表grouptype列）,当字段配置为1时，隐藏DayTime时间，当字段配置为0或不填时，显示DayTime的时间；
1051,12010,BINGO游戏,BINGO游戏,109,20190827=050000|20190906=050000,20190827=050000|20190906=050000,,,,20190827=050000|20190906=050000,8057011=1|8057012=3|8057013=5|8057014=10|8057015=14,2,0,Festival,UI_Festival_02_BtnImage01.png,BINGO游戏,UI_Festival_02_lihui.png,Festival,UI_Festival_BingoBG.png,0=999,1,,,2,1,参与日常活动，获取数字宝箱，点亮数字，达成BINGO，赢取丰厚奖励！,1,1=12010,前往,8060010,,,1,,4,,,,
1052,8001,绵绵岛补给,绵绵岛特别补给,109,20200627=050000|20200704=050000,20200627=050000|20200704=050000,,,,,,1,0,Festival,UI_Festival_03_BtnImage01.png,绵绵岛补给,UI_Festival_03_lihui.png,Festival,UI_Festival_mianmiandao.png,0=999,1,,1,2,1,节日降临，南门海边停靠了绵绵岛来的船只，喵喵们不仅带来补给品，还可以玩玩小游戏,1,1=8001,前往,8060000,,,1,,3,,,,
1495,13000,新王的号角,新王的号角,155,20200725=050000|20200731=050000,20200725=050000|20200728=050000,,,,20200728=050000|20200731=050000,,8,0,Festival,UI_Festival_04_BtnImage01.png,新王的号角,UI_Festival_04_lihui.png,Festival,UI_Festival_NewkingBG.png,40=999,1,,,0,1,<color=#667db1> 马勒王国将要选出新的国王，去支持你想要拥立的王子吧！</color>,1,1=13000,查看,8060020,,,1,,6,,,,
1053,8001,绵绵岛补给,绵绵岛特别补给,109,20200806=050000|20200813=235900,20200806=050000|20200813=235900,,,,,,1,0,Festival,UI_Festival_03_BtnImage01.png,绵绵岛补给,UI_Festival_03_lihui.png,Festival,UI_Festival_mianmiandao.png,0=999,1,,1,2,1,节日降临，南门海边停靠了绵绵岛来的船只，喵喵们不仅带来补给品，还可以玩玩小游戏,1,1=8001,前往,8060030,,,1,,3,,,,
1101,3200,博仁斯攻略战,博仁斯攻略战,160,20200814=050000|20200830=050000,20200814=050100|20200827=233000,,,213000=233000,20200814=050000|20200830=050000,,5,0,Festival,UI_Festival_05_BtnImage01.png,博仁斯攻略战,UI_Festival_05_lihui.png,Festival,UI_Festival_gonglvezhanBG.png,0=999,1,,,2,1,前往博仁斯遗址，对抗敌对势力，收集盐桩碎片，兑换优质奖励吧！,1,1=3202,前往,8060040,802=0=2001=38=1=今日积分=总积分=每日上限|801=4000=0=38=2=今日碎片=总碎片=每日上限,900=70001,1,,7,401=5411330|今日博仁斯攻略战结束啦|本次博仁斯攻略战圆满结束啦,2001,,
1201,0,活动掉落额外,活动掉落额外,150,20200822=050000|20200829=050000,20200822=050000|20200829=050000,,,,,,7,0,Festival,UI_Festival_03_BtnImage01.png,活动掉落额外,UI_Festival_03_lihui.png,Festival,UI_Festival_mianmiandao.png,0=999,1,,,2,1,,1,1=3202,前往,8060040,,,2,,8,301,,,
1054,12010,BINGO游戏,BINGO游戏,111,20200822=050000|20200904=235900,20200823=050000|20200902=050000,,,,20200902=050000|20200904=235900,8057011=1|8057012=3|8057013=5|8057014=10|8057015=14,2,0,Festival,UI_Festival_02_BtnImage01.png,BINGO游戏,UI_Festival_02_lihui.png,Festival,UI_Festival_BingoBG.png,0=999,1,,,2,1,参与日常活动，获取数字宝箱，点亮数字，达成BINGO，赢取丰厚奖励！,1,1=12010,前往,8060010,,,1,,4,,,,
1055,0,勇者的荣耀,PVP活动掉落增加,111,20200903=050000|20200910=050000,20200903=050000|20200910=050000,,,,,,7,0,Festival,UI_Festival_06_BtnImage01.png,勇者的荣耀,UI_Festival_06_lihui.png,Festival,UI_Festival_GVGBG.png,0=999,1,,,                                                                                                                                   ,1,活动期间参与战场和擂台会获得1.5倍的勇气勋章奖励，还有概率获得勇者的荣耀礼包,1,1=15003,前往,8060050,,,1,,8,302,,,
1056,0,谁是MVP！,MVP参与奖额外奖励,112,20200912=050000|20200919=050000,20200912=050000|20200919=050000,,,,,,9,0,Festival,UI_Festival_08_BtnImage01.png,谁是MVP！,UI_Festival_08_lihui.png,Festival,UI_Festival_MvpBG.png,0=999,1,,,2,1,活动期间，MVP刷新时间降低，获得参与奖会获得额外礼包，可随机开出坐骑培养道具,1,1=5100,前往,8060060,,,1,,9,,,,
1058,0,超极限挑战,极限挑战活动掉落增加,112,20200915=050000|20200919=050000,20200915=050000|20200919=050000,,,,,,10,0,Festival,UI_Festival_10_BtnImage01.png,超极限挑战,UI_Festival_10_lihui.png,Festival,UI_Festival_JiXianBG.png,0=999,1,,,                                                                                                                                   ,3,活动期间参与极限挑战，基础经验和铜币奖励变为1.5倍，有概率获得额外礼包,1,1=5140,前往,8060070,,,1,,8,303,,,
1410,12002,彩虹之约,彩虹之约,112,20200918=050000|20200925=050000,20200918=050000|20200925=050000,,,,,,11,0,Festival,UI_Festival_07_BtnImage01.png,彩虹之约,UI_Festival_07_lihui.png,Festival,UI_Festival_doubledeedBG.png,0=999,1,,,2,2,来自神秘乌坦族的巫女之灵，请求相知的冒险者接受七日彩虹之约的考验，帮助了却千年未遂的心愿。,1,1=12002,前往,8060080,,,1,,13,,,,
1420,14020,金秋的祈愿,金秋的祈愿,112,20200918=050000|20200919=130000,20200918=050000|20200919=130000,,,,,,13,0,Festival,UI_Festival_13_BtnImage01.png,金秋的祈愿,UI_Festival_13_lihui.png,Festival,UI_Festival_jinqiudeqiyuanBG.png,0=999,1,999,,,1,秋意渐浓，秋风送礼，参与金秋的祈愿，可祈福到节日限定饰品、时装、载具哦！,1,1=14020,前往,8060100,,,1,,14,,,,
1402,14011,月兔来了！,秋夕野外刷怪,112,20200919=050000|20200924=050000,20200919=050000|20200924=050000,,,090000=091500|120000=121500|180000=181500|220000=221500,,,14,0,Festival,UI_Festival_11_BtnImage01.png,月兔来了！,UI_Festival_11_lihui.png,Festival,UI_Festival_TuzilaileBG.png,0=999,1,,,2,1,活动期间每日9点、12点、18点和22点将在斐扬东部，斐扬南部，斐扬东南刷新赏月节月兔，击杀可以获得大量松饼原料奖励,0,1=14013,前往,8200530,,60=29102,1,,11,,,,
