ID,MainSonId,LevelRange,ServerRange,CollectInfo
礼包主ID,子活动主键id（1600活跃、1601回流、1602萌新）,等级区间,服务器等级区间,领取等级和对应奖励
1,2001,1=55,1=999,40=3026006=10|50=1400201=1|55=1400301=1|58=2040018=10|61=2035002=5|63=3024004=2|65=3024023=1|67=2040016=1
2,2001,56=60,1=999,50=1400201=1|55=1400301=1|61=2040018=10|63=2034006=15|65=3024004=2|67=3024023=1|69=60660010=1|71=2040016=1
3,2001,61=70,1=999,58=1400201=1|63=1400301=1|67=2040018=10|71=2034006=15|72=3024004=2|73=3024023=1|74=60660010=1|75=2040016=1
4,2001,71=75,1=999,69=1400201=1|70=1400301=1|71=2040018=10|72=2034006=15|73=3021001=10|74=3024023=1|75=60660010=1|76=2040016=1
5,2001,76=80,1=999,74=3021001=10|75=1400201=1|76=2040018=10|77=1400301=1|78=3023002=2|79=2034006=15|80=60660010=1|81=2040016=1
6,2001,81=83,1=999,77=3021001=10|78=1400201=1|79=2040018=10|80=3023002=2|81=2034006=15|82=60660010=1|83=1400301=1|84=2040016=1
7,2001,84=99,1=999,80=1400201=1|81=1400301=1|82=2040018=10|83=2034006=15|84=3024004=3|85=3021001=10|86=2040016=1|87=3020016=6
8,2002,55=60,1=999,50=1400201=1|55=1400301=1|61=2040018=10|63=2034006=15|65=3024004=2|67=3024023=1|69=60660010=1|71=2040016=1
9,2002,61=70,1=999,58=1400201=1|63=1400301=1|67=2040018=10|71=2034006=15|72=3024004=2|73=3024023=1|74=60660010=1|75=2040016=1
10,2002,71=75,1=999,69=1400201=1|70=1400301=1|71=2040018=10|72=2034006=15|73=3021001=10|74=3024023=1|75=60660010=1|76=2040016=1
11,2002,76=80,1=999,74=3021001=10|75=1400201=1|76=2040018=10|77=1400301=1|78=3023002=2|79=2034006=15|80=60660010=1|81=2040016=1
12,2002,81=83,1=999,77=3021001=10|78=1400201=1|79=2040018=10|80=3023002=2|81=2034006=15|82=60660010=1|83=1400301=1|84=2040016=1
13,2002,84=99,1=999,80=1400201=1|81=1400301=1|82=2040018=10|83=2034006=15|84=3024004=3|85=3021001=10|86=2040016=1|87=3020016=6
14,2003,1=54,1=999,40=3026006=10|50=1400201=1|55=1400301=1|58=2040018=10|61=2035002=5|63=3024004=2|65=3024023=1|67=2040016=1
