ID,BuffId,Concatenate_1,5,10,15,20,25,30,35,40,45,50,55
序号,BuffId,实际使用的配置，玩家加成(世界奇闻),相差5级以内,相差6-10级,相差11-15级,相差16-20级,相差21-25级,相差26-30级,相差31-35级,相差36-40级,相差4145级,相差46-50级,相差51-55级
1,400043001,5=48=7830=65=56017=66=56017|10=48=15180=65=100000=66=100000|15=48=23865=65=100000=66=100000|20=48=32892=65=100000=66=100000|25=48=42684=65=100000=66=100000|30=48=53241=65=100000=66=100000|35=48=64563=65=100000=66=100000|40=48=100000=65=100000=66=100000|45=48=100000=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=7830=65=56017=66=56017|,10=48=15180=65=100000=66=100000|,15=48=23865=65=100000=66=100000|,20=48=32892=65=100000=66=100000|,25=48=42684=65=100000=66=100000|,30=48=53241=65=100000=66=100000|,35=48=64563=65=100000=66=100000|,40=48=100000=65=100000=66=100000|,45=48=100000=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
2,400043001,5=48=4770=65=28045=66=28045|10=48=10231=65=92670=66=92670|15=48=16339=65=100000=66=100000|20=48=22826=65=100000=66=100000|25=48=29854=65=100000=66=100000|30=48=37423=65=100000=66=100000|35=48=45533=65=100000=66=100000|40=48=77818=65=100000=66=100000|45=48=100000=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=4770=65=28045=66=28045|,10=48=10231=65=92670=66=92670|,15=48=16339=65=100000=66=100000|,20=48=22826=65=100000=66=100000|,25=48=29854=65=100000=66=100000|,30=48=37423=65=100000=66=100000|,35=48=45533=65=100000=66=100000|,40=48=77818=65=100000=66=100000|,45=48=100000=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
3,400043001,5=48=4233=65=18736=66=18736|10=48=9075=65=64021=66=64021|15=48=14481=65=87333=66=87333|20=48=20207=65=100000=66=100000|25=48=26402=65=100000=66=100000|30=48=33066=65=100000=66=100000|35=48=40200=65=100000=66=100000|40=48=69910=65=100000=66=100000|45=48=95222=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=4233=65=18736=66=18736|,10=48=9075=65=64021=66=64021|,15=48=14481=65=87333=66=87333|,20=48=20207=65=100000=66=100000|,25=48=26402=65=100000=66=100000|,30=48=33066=65=100000=66=100000|,35=48=40200=65=100000=66=100000|,40=48=69910=65=100000=66=100000|,45=48=95222=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
4,400043001,5=48=3810=65=14085=66=14085|10=48=8167=65=49712=66=49712|15=48=13021=65=69771=66=69771|20=48=18149=65=100000=66=100000|25=48=23690=65=100000=66=100000|30=48=29644=65=100000=66=100000|35=48=36836=65=100000=66=100000|40=48=63690=65=100000=66=100000|45=48=88521=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=3810=65=14085=66=14085|,10=48=8167=65=49712=66=49712|,15=48=13021=65=69771=66=69771|,20=48=18149=65=100000=66=100000|,25=48=23690=65=100000=66=100000|,30=48=29644=65=100000=66=100000|,35=48=36836=65=100000=66=100000|,40=48=63690=65=100000=66=100000|,45=48=88521=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
5,400043001,5=48=3469=65=11937=66=11937|10=48=7567=65=19899=66=19899|15=48=11843=65=32782=66=32782|20=48=16489=65=65087=66=65087|25=48=21503=65=100000=66=100000|30=48=26885=65=100000=66=100000|35=48=46302=65=100000=66=100000|40=48=63148=65=100000=66=100000|45=48=81036=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=3469=65=11937=66=11937|,10=48=7567=65=19899=66=19899|,15=48=11843=65=32782=66=32782|,20=48=16489=65=65087=66=65087|,25=48=21503=65=100000=66=100000|,30=48=26885=65=100000=66=100000|,35=48=46302=65=100000=66=100000|,40=48=63148=65=100000=66=100000|,45=48=81036=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
6,400043001,5=48=3188=65=11876=66=11876|10=48=6956=65=18657=66=18657|15=48=10873=65=34031=66=34031|20=48=15121=65=64276=66=64276|25=48=19701=65=100000=66=100000|30=48=24613=65=100000=66=100000|35=48=43255=65=100000=66=100000|40=48=59650=65=100000=66=100000|45=48=76690=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=3188=65=11876=66=11876|,10=48=6956=65=18657=66=18657|,15=48=10873=65=34031=66=34031|,20=48=15121=65=64276=66=64276|,25=48=19701=65=100000=66=100000|,30=48=24613=65=100000=66=100000|,35=48=43255=65=100000=66=100000|,40=48=59650=65=100000=66=100000|,45=48=76690=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
7,400043001,5=48=3042=65=11389=66=11389|10=48=6444=65=17555=66=17555|15=48=10058=65=35261=66=35261|20=48=13974=65=63822=66=63822|25=48=18190=65=98238=66=98238|30=48=22708=65=100000=66=100000|35=48=40694=65=100000=66=100000|40=48=55726=65=100000=66=100000|45=48=71415=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=3042=65=11389=66=11389|,10=48=6444=65=17555=66=17555|,15=48=10058=65=35261=66=35261|,20=48=13974=65=63822=66=63822|,25=48=18190=65=98238=66=98238|,30=48=22708=65=100000=66=100000|,35=48=40694=65=100000=66=100000|,40=48=55726=65=100000=66=100000|,45=48=71415=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
8,400043001,5=48=2839=65=10984=66=10984|10=48=6008=65=16638=66=16638|15=48=9366=65=36478=66=36478|20=48=12998=65=63635=66=63635|25=48=16905=65=96139=66=96139|30=48=21088=65=100000=66=100000|35=48=38508=65=100000=66=100000|40=48=53349=65=100000=66=100000|45=48=66433=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=2839=65=10984=66=10984|,10=48=6008=65=16638=66=16638|,15=48=9366=65=36478=66=36478|,20=48=12998=65=63635=66=63635|,25=48=16905=65=96139=66=96139|,30=48=21088=65=100000=66=100000|,35=48=38508=65=100000=66=100000|,40=48=53349=65=100000=66=100000|,45=48=66433=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
9,400043001,5=48=2664=65=10642=66=10642|10=48=5633=65=16634=66=16634|15=48=8768=65=37682=66=37682|20=48=12157=65=63650=66=63650|25=48=15799=65=94538=66=94538|30=48=20197=65=100000=66=100000|35=48=36620=65=100000=66=100000|40=48=51806=65=100000=66=100000|45=48=62846=65=100000=66=100000|50=48=100000=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=2664=65=10642=66=10642|,10=48=5633=65=16634=66=16634|,15=48=8768=65=37682=66=37682|,20=48=12157=65=63650=66=63650|,25=48=15799=65=94538=66=94538|,30=48=20197=65=100000=66=100000|,35=48=36620=65=100000=66=100000|,40=48=51806=65=100000=66=100000|,45=48=62846=65=100000=66=100000|,50=48=100000=65=100000=66=100000|,55=48=100000=65=100000=66=100000
10,400043001,5=48=2596=65=2663=66=2663|10=48=5305=65=6972=66=6972|15=48=8248=65=17778=66=17778|20=48=11425=65=30996=66=30996|25=48=14836=65=46627=66=46627|30=48=27138=65=64671=66=64671|35=48=37811=65=85128=66=85128|40=48=49145=65=100000=66=100000|45=48=78278=65=100000=66=100000|50=48=97639=65=100000=66=100000|55=48=100000=65=100000=66=100000,5=48=2596=65=2663=66=2663|,10=48=5305=65=6972=66=6972|,15=48=8248=65=17778=66=17778|,20=48=11425=65=30996=66=30996|,25=48=14836=65=46627=66=46627|,30=48=27138=65=64671=66=64671|,35=48=37811=65=85128=66=85128|,40=48=49145=65=100000=66=100000|,45=48=78278=65=100000=66=100000|,50=48=97639=65=100000=66=100000|,55=48=100000=65=100000=66=100000
