ID,Comment,CycleType,CapOnTriggering,CapOnRewards
ID,注释,周期类型（0：无，1：每天凌晨0点，2：每天凌晨5点，3：每周一凌晨0点，4：每周一凌晨5点，5：每月1号凌晨0点）,触发次数上限,奖励次数上限
1,黄金果,1,,10
2,野莓,1,,20
3,剑梨,1,,10
4,椰子,1,,10
5,红玉果,1,,10
6,浆果,1,,20
51,公会宝箱,2,,3
101,无限塔宝箱F5,4,,1
102,无限塔宝箱F10,4,,1
103,无限塔宝箱F15,4,,1
104,无限塔宝箱F20,4,,1
105,无限塔宝箱F25,4,,1
106,无限塔宝箱F30,4,,1
107,无限塔宝箱F35,4,,1
108,无限塔宝箱F40,4,,1
202,万圣夜采集宝箱,2,,3
203,万圣夜采集糖果,2,,20
301,万圣节花车采集物,2,,10
302,GVG攻城战胜利方在公会洒下的宝箱,2,,3
303,圣诞采雪稀有,2,,2
304,圣诞采雪一般,2,,4
305,春节年兽采集1,2,,2
306,春节年兽采集2,2,,2
