ID,Comment,DungeonID,Wave,SceneWaveID,Interval,ItemDropPercentage,AwardID,MonsterManaFactor,RatingID
ID(排序用),注释,副本ID,第几波,场景配置里的Wave ID,每个Wave的前置时间（秒）,总共消灭多少波时，UI上显示的获得奖励的百分比,总共消灭多少波时，获得的对应奖励,第n波里的怪物掉落的魔力要乘以对应的系数（百分比，100代表100%）,结算界面给玩家的评语ID（对应TdRating表）
1,塔防单人本难度1,2168,1,2,30,20,3500010,100,1
2,塔防单人本难度1,2168,2,5,45,25,3500020,100,1
3,塔防单人本难度1,2168,3,7,45,30,3500030,100,1
4,塔防单人本难度1,2168,4,18,45,35,3500040,100,1
5,塔防单人本难度1,2168,5,23,45,40,3500050,100,1
6,塔防单人本难度1,2168,6,32,45,45,3500060,100,1
7,塔防单人本难度1,2168,7,42,45,50,3500070,100,1
8,塔防单人本难度1,2168,8,54,45,55,3500080,100,1
9,塔防单人本难度1,2168,9,67,45,60,3500090,100,1
10,塔防单人本难度1,2168,10,79,45,65,3500100,100,1
11,塔防单人本难度1,2168,11,94,45,70,3500110,100,2
12,塔防单人本难度1,2168,12,107,45,73,3500120,100,2
13,塔防单人本难度1,2168,13,120,45,76,3500130,100,2
14,塔防单人本难度1,2168,14,133,45,79,3500140,100,2
15,塔防单人本难度1,2168,15,155,45,82,3500150,100,2
16,塔防单人本难度1,2168,16,159,45,85,3500160,100,2
17,塔防单人本难度1,2168,17,170,45,87,3500170,100,2
18,塔防单人本难度1,2168,18,197,45,88,3500180,100,2
19,塔防单人本难度1,2168,19,199,45,89,3500190,100,2
20,塔防单人本难度1,2168,20,211,45,90,3500200,100,2
21,塔防单人本难度1,2168,21,223,45,91,3500210,100,3
22,塔防单人本难度1,2168,22,247,45,92,3500220,100,3
23,塔防单人本难度1,2168,23,245,45,93,3500230,100,3
24,塔防单人本难度1,2168,24,265,45,94,3500240,100,3
25,塔防单人本难度1,2168,25,277,45,95,3500250,100,3
26,塔防单人本难度1,2168,26,293,45,96,3500260,100,3
27,塔防单人本难度1,2168,27,306,45,97,3500270,100,4
28,塔防单人本难度1,2168,28,318,45,98,3500280,100,4
29,塔防单人本难度1,2168,29,336,45,99,3500290,100,4
30,塔防单人本难度1,2168,30,349,45,100,3500300,100,4
31,塔防单人本难度1无尽,2168,-1,62,30,100,3500310,100,4
32,塔防单人本难度1无尽,2168,-2,52,30,100,3500320,100,4
33,塔防单人本难度1无尽,2168,-3,63,30,100,3500330,100,4
34,塔防单人本难度1无尽,2168,-4,76,30,100,3500340,100,4
35,塔防单人本难度1无尽,2168,-5,87,30,100,3500350,100,4
101,塔防单人本难度2,2169,1,2,30,20,3500010,100,1
102,塔防单人本难度2,2169,2,5,45,25,3500020,100,1
103,塔防单人本难度2,2169,3,7,45,30,3500030,100,1
104,塔防单人本难度2,2169,4,18,45,35,3500040,100,1
105,塔防单人本难度2,2169,5,23,45,40,3500050,100,1
106,塔防单人本难度2,2169,6,32,45,45,3500060,100,1
107,塔防单人本难度2,2169,7,42,45,50,3500070,100,1
108,塔防单人本难度2,2169,8,54,45,55,3500080,100,1
109,塔防单人本难度2,2169,9,67,45,60,3500090,100,1
110,塔防单人本难度2,2169,10,79,45,65,3500100,100,1
111,塔防单人本难度2,2169,11,94,45,70,3500110,100,2
112,塔防单人本难度2,2169,12,107,45,73,3500120,100,2
113,塔防单人本难度2,2169,13,120,45,76,3500130,100,2
114,塔防单人本难度2,2169,14,133,45,79,3500140,100,2
115,塔防单人本难度2,2169,15,155,45,82,3500150,100,2
116,塔防单人本难度2,2169,16,159,45,85,3500160,100,2
117,塔防单人本难度2,2169,17,170,45,87,3500170,100,2
118,塔防单人本难度2,2169,18,197,45,88,3500180,100,2
119,塔防单人本难度2,2169,19,199,45,89,3500190,100,2
120,塔防单人本难度2,2169,20,211,45,90,3500200,100,2
121,塔防单人本难度2,2169,21,223,45,91,3500210,100,3
122,塔防单人本难度2,2169,22,247,45,92,3500220,100,3
123,塔防单人本难度2,2169,23,245,45,93,3500230,100,3
124,塔防单人本难度2,2169,24,265,45,94,3500240,100,3
125,塔防单人本难度2,2169,25,277,45,95,3500250,100,3
126,塔防单人本难度2,2169,26,293,45,96,3500260,100,3
127,塔防单人本难度2,2169,27,306,45,97,3500270,100,4
128,塔防单人本难度2,2169,28,318,45,98,3500280,100,4
129,塔防单人本难度2,2169,29,336,45,99,3500290,100,4
130,塔防单人本难度2,2169,30,349,45,100,3500300,100,4
131,塔防单人本难度2无尽,2169,-1,62,30,100,3500310,100,4
132,塔防单人本难度2无尽,2169,-2,52,30,100,3500320,100,4
133,塔防单人本难度2无尽,2169,-3,63,30,100,3500330,100,4
134,塔防单人本难度2无尽,2169,-4,76,30,100,3500340,100,4
135,塔防单人本难度2无尽,2169,-5,87,30,100,3500350,100,4
201,塔防单人本难度3,2170,1,2,30,20,3510010,100,1
202,塔防单人本难度3,2170,2,5,45,25,3510020,100,1
203,塔防单人本难度3,2170,3,7,45,30,3510030,100,1
204,塔防单人本难度3,2170,4,18,45,35,3510040,100,1
205,塔防单人本难度3,2170,5,23,45,40,3510050,100,1
206,塔防单人本难度3,2170,6,32,45,45,3510060,100,1
207,塔防单人本难度3,2170,7,42,45,50,3510070,100,1
208,塔防单人本难度3,2170,8,54,45,55,3510080,100,1
209,塔防单人本难度3,2170,9,67,45,60,3510090,100,1
210,塔防单人本难度3,2170,10,79,45,65,3510100,100,1
211,塔防单人本难度3,2170,11,94,45,70,3510110,100,2
212,塔防单人本难度3,2170,12,107,45,73,3510120,100,2
213,塔防单人本难度3,2170,13,120,45,76,3510130,100,2
214,塔防单人本难度3,2170,14,133,45,79,3510140,100,2
215,塔防单人本难度3,2170,15,155,45,82,3510150,100,2
216,塔防单人本难度3,2170,16,159,45,85,3510160,100,2
217,塔防单人本难度3,2170,17,170,45,87,3510170,100,2
218,塔防单人本难度3,2170,18,197,45,88,3510180,100,2
219,塔防单人本难度3,2170,19,199,45,89,3510190,100,2
220,塔防单人本难度3,2170,20,211,45,90,3510200,100,2
221,塔防单人本难度3,2170,21,223,45,91,3510210,100,3
222,塔防单人本难度3,2170,22,247,45,92,3510220,100,3
223,塔防单人本难度3,2170,23,245,45,93,3510230,100,3
224,塔防单人本难度3,2170,24,265,45,94,3510240,100,3
225,塔防单人本难度3,2170,25,277,45,95,3510250,100,3
226,塔防单人本难度3,2170,26,293,45,96,3510260,100,3
227,塔防单人本难度3,2170,27,306,45,97,3510270,100,4
228,塔防单人本难度3,2170,28,318,45,98,3510280,100,4
229,塔防单人本难度3,2170,29,336,45,99,3510290,100,4
230,塔防单人本难度3,2170,30,349,45,100,3510300,100,4
231,塔防单人本难度3无尽,2170,-1,62,30,100,3510310,100,4
232,塔防单人本难度3无尽,2170,-2,52,30,100,3510320,100,4
233,塔防单人本难度3无尽,2170,-3,63,30,100,3510330,100,4
234,塔防单人本难度3无尽,2170,-4,76,30,100,3510340,100,4
235,塔防单人本难度3无尽,2170,-5,87,30,100,3510350,100,4
301,塔防单人本难度4,2171,1,2,30,20,3520010,100,1
302,塔防单人本难度4,2171,2,5,45,25,3520020,100,1
303,塔防单人本难度4,2171,3,7,45,30,3520030,100,1
304,塔防单人本难度4,2171,4,18,45,35,3520040,100,1
305,塔防单人本难度4,2171,5,23,45,40,3520050,100,1
306,塔防单人本难度4,2171,6,32,45,45,3520060,100,1
307,塔防单人本难度4,2171,7,42,45,50,3520070,100,1
308,塔防单人本难度4,2171,8,54,45,55,3520080,100,1
309,塔防单人本难度4,2171,9,67,45,60,3520090,100,1
310,塔防单人本难度4,2171,10,79,45,65,3520100,100,1
311,塔防单人本难度4,2171,11,94,45,70,3520110,100,2
312,塔防单人本难度4,2171,12,107,45,73,3520120,100,2
313,塔防单人本难度4,2171,13,120,45,76,3520130,100,2
314,塔防单人本难度4,2171,14,133,45,79,3520140,100,2
315,塔防单人本难度4,2171,15,155,45,82,3520150,100,2
316,塔防单人本难度4,2171,16,159,45,85,3520160,100,2
317,塔防单人本难度4,2171,17,170,45,87,3520170,100,2
318,塔防单人本难度4,2171,18,197,45,88,3520180,100,2
319,塔防单人本难度4,2171,19,199,45,89,3520190,100,2
320,塔防单人本难度4,2171,20,211,45,90,3520200,100,2
321,塔防单人本难度4,2171,21,223,45,91,3520210,100,3
322,塔防单人本难度4,2171,22,247,45,92,3520220,100,3
323,塔防单人本难度4,2171,23,245,45,93,3520230,100,3
324,塔防单人本难度4,2171,24,265,45,94,3520240,100,3
325,塔防单人本难度4,2171,25,277,45,95,3520250,100,3
326,塔防单人本难度4,2171,26,293,45,96,3520260,100,3
327,塔防单人本难度4,2171,27,306,45,97,3520270,100,4
328,塔防单人本难度4,2171,28,318,45,98,3520280,100,4
329,塔防单人本难度4,2171,29,336,45,99,3520290,100,4
330,塔防单人本难度4,2171,30,349,45,100,3520300,100,4
331,塔防单人本难度4无尽,2171,-1,62,30,100,3520310,100,4
332,塔防单人本难度4无尽,2171,-2,52,30,100,3520320,100,4
333,塔防单人本难度4无尽,2171,-3,63,30,100,3520330,100,4
334,塔防单人本难度4无尽,2171,-4,76,30,100,3520340,100,4
335,塔防单人本难度4无尽,2171,-5,87,30,100,3520350,100,4
336,塔防单人本难度5,2172,1,2,30,20,3530010,100,1
337,塔防单人本难度5,2172,2,5,45,25,3530020,100,1
338,塔防单人本难度5,2172,3,7,45,30,3530030,100,1
339,塔防单人本难度5,2172,4,18,45,35,3530040,100,1
340,塔防单人本难度5,2172,5,23,45,40,3530050,100,1
341,塔防单人本难度5,2172,6,32,45,45,3530060,100,1
342,塔防单人本难度5,2172,7,42,45,50,3530070,100,1
343,塔防单人本难度5,2172,8,54,45,55,3530080,100,1
344,塔防单人本难度5,2172,9,67,45,60,3530090,100,1
345,塔防单人本难度5,2172,10,79,45,65,3530100,100,1
346,塔防单人本难度5,2172,11,94,45,70,3530110,100,2
347,塔防单人本难度5,2172,12,107,45,73,3530120,100,2
348,塔防单人本难度5,2172,13,120,45,76,3530130,100,2
349,塔防单人本难度5,2172,14,133,45,79,3530140,100,2
350,塔防单人本难度5,2172,15,155,45,82,3530150,100,2
351,塔防单人本难度5,2172,16,159,45,85,3530160,100,2
352,塔防单人本难度5,2172,17,170,45,87,3530170,100,2
353,塔防单人本难度5,2172,18,197,45,88,3530180,100,2
354,塔防单人本难度5,2172,19,199,45,89,3530190,100,2
355,塔防单人本难度5,2172,20,211,45,90,3530200,100,2
356,塔防单人本难度5,2172,21,223,45,91,3530210,100,3
357,塔防单人本难度5,2172,22,247,45,92,3530220,100,3
358,塔防单人本难度5,2172,23,245,45,93,3530230,100,3
359,塔防单人本难度5,2172,24,265,45,94,3530240,100,3
360,塔防单人本难度5,2172,25,277,45,95,3530250,100,3
361,塔防单人本难度5,2172,26,293,45,96,3530260,100,3
362,塔防单人本难度5,2172,27,306,45,97,3530270,100,4
363,塔防单人本难度5,2172,28,318,45,98,3530280,100,4
364,塔防单人本难度5,2172,29,336,45,99,3530290,100,4
365,塔防单人本难度5,2172,30,349,45,100,3530300,100,4
366,塔防单人本难度5无尽,2172,-1,62,30,100,3530310,100,4
367,塔防单人本难度5无尽,2172,-2,52,30,100,3530320,100,4
368,塔防单人本难度5无尽,2172,-3,63,30,100,3530330,100,4
369,塔防单人本难度5无尽,2172,-4,76,30,100,3530340,100,4
370,塔防单人本难度5无尽,2172,-5,87,30,100,3530350,100,4
371,塔防单人本难度6,2173,1,2,30,20,3540010,100,1
372,塔防单人本难度6,2173,2,5,45,25,3540020,100,1
373,塔防单人本难度6,2173,3,7,45,30,3540030,100,1
374,塔防单人本难度6,2173,4,18,45,35,3540040,100,1
