ID,Name,Description,,IconAtlas,Icon,Buff,Cost,Sign
天赋ID,名称,天赋描述,策划备注,图标图集,图标,天赋属性（0代表具体属性，1代表BUFF）,升级（突破）消耗天赋点,标记（天赋最高等级标记为1，强化的等级标记为2，其他不填）
100101,强壮,<color=#51BE91FF>生命上限+2%</color>\n下一级：生命上限+4%,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=200,3027004=1,
100102,强壮,<color=#51BE91FF>生命上限+4%</color>\n下一级：生命上限+6%,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=400,3027004=5,
100103,强壮,<color=#51BE91FF>生命上限+6%</color>\n下一级：生命上限+8%,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=600,3027004=12,
100104,强壮,<color=#51BE91FF>生命上限+8%</color>\n强化效果：生命上限+10%,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=800,3027004=38,1
100105,强壮,<color=#51BE91FF>强化中：生命上限+10%</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=1000,3027004=2,2
100201,勇猛,<color=#51BE91FF>物理攻击+2%</color>\n下一级：物理攻击+4%,1级,Skill_Swordman,UI_Icon_Skill_Swordman_JianGongSuZengJia.png,0=28=200,3027004=1,
100202,勇猛,<color=#51BE91FF>物理攻击+4%</color>\n下一级：物理攻击+6%,2级,Skill_Swordman,UI_Icon_Skill_Swordman_JianGongSuZengJia.png,0=28=400,3027004=5,
100203,勇猛,<color=#51BE91FF>物理攻击+6%</color>\n下一级：物理攻击+8%,3级,Skill_Swordman,UI_Icon_Skill_Swordman_JianGongSuZengJia.png,0=28=600,3027004=12,
100204,勇猛,<color=#51BE91FF>物理攻击+8%</color>\n强化效果：物理攻击+10%,4级,Skill_Swordman,UI_Icon_Skill_Swordman_JianGongSuZengJia.png,0=28=800,3027004=38,1
100205,勇猛,<color=#51BE91FF>强化中：物理攻击+10%</color>,5级,Skill_Swordman,UI_Icon_Skill_Swordman_JianGongSuZengJia.png,0=28=1000,3027004=2,2
100301,无属性增伤,<color=#51BE91FF>对无属性魔物伤害+2%</color>\n下一级：对无属性魔物伤害+4%,1级,Skill_Swordman,UI_Icon_Skill_Swordman_KuangNuZhiQiang.png,0=176=200,3027004=1,
100302,无属性增伤,<color=#51BE91FF>对无属性魔物伤害+4%</color>\n下一级：对无属性魔物伤害+6%,2级,Skill_Swordman,UI_Icon_Skill_Swordman_KuangNuZhiQiang.png,0=176=400,3027004=5,
100303,无属性增伤,<color=#51BE91FF>对无属性魔物伤害+6%</color>\n下一级：对无属性魔物伤害+8%,3级,Skill_Swordman,UI_Icon_Skill_Swordman_KuangNuZhiQiang.png,0=176=600,3027004=12,
100304,无属性增伤,<color=#51BE91FF>对无属性魔物伤害+8%</color>\n强化效果：对无属性魔物伤害+10%,4级,Skill_Swordman,UI_Icon_Skill_Swordman_KuangNuZhiQiang.png,0=176=800,3027004=38,1
100305,无属性增伤,<color=#51BE91FF>强化中：对无属性魔物伤害+10%</color>,5级,Skill_Swordman,UI_Icon_Skill_Swordman_KuangNuZhiQiang.png,0=176=1000,3027004=2,2
100401,中体型增伤,<color=#51BE91FF>对中体型魔物伤害+4%</color>\n下一级：对中体型魔物伤害+8%,1级,Skill_Swordman,UI_Icon_Skill_Swordman_JiZhongGongJi.png,0=223=400,3027004=1,
100402,中体型增伤,<color=#51BE91FF>对中体型魔物伤害+8%</color>\n下一级：对中体型魔物伤害+12%,2级,Skill_Swordman,UI_Icon_Skill_Swordman_JiZhongGongJi.png,0=223=800,3027004=5,
100403,中体型增伤,<color=#51BE91FF>对中体型魔物伤害+12%</color>\n下一级：对中体型魔物伤害+16%,3级,Skill_Swordman,UI_Icon_Skill_Swordman_JiZhongGongJi.png,0=223=1200,3027004=12,
100404,中体型增伤,<color=#51BE91FF>对中体型魔物伤害+16%</color>\n强化效果：对中体型魔物伤害+20%,4级,Skill_Swordman,UI_Icon_Skill_Swordman_JiZhongGongJi.png,0=223=1600,3027004=38,1
100405,中体型增伤,<color=#51BE91FF>强化中：对中体型魔物伤害+20%</color>,5级,Skill_Swordman,UI_Icon_Skill_Swordman_JiZhongGongJi.png,0=223=2000,3027004=2,2
100501,远程伤害减免,<color=#51BE91FF>受到远程物理伤害减免+3%</color>\n下一级：受到远程物理伤害减免+6%,1级,Skill_Thief,UI_Icon_Skill_Thief_ShanBiHuDun.png,0=256=300,3027004=1,
100502,远程伤害减免,<color=#51BE91FF>受到远程物理伤害减免+6%</color>\n下一级：受到远程物理伤害减免+9%,2级,Skill_Thief,UI_Icon_Skill_Thief_ShanBiHuDun.png,0=256=600,3027004=5,
100503,远程伤害减免,<color=#51BE91FF>受到远程物理伤害减免+9%</color>\n下一级：受到远程物理伤害减免+12%,3级,Skill_Thief,UI_Icon_Skill_Thief_ShanBiHuDun.png,0=256=900,3027004=12,
100504,远程伤害减免,<color=#51BE91FF>受到远程物理伤害减免+12%</color>\n强化效果：受到远程物理伤害减免+15%,4级,Skill_Thief,UI_Icon_Skill_Thief_ShanBiHuDun.png,0=256=1200,3027004=38,1
100505,远程伤害减免,<color=#51BE91FF>强化中：受到远程物理伤害减免+15%</color>,5级,Skill_Thief,UI_Icon_Skill_Thief_ShanBiHuDun.png,0=256=1500,3027004=2,2
100601,近距离伤害减免II,<color=#51BE91FF>受到近距离物理伤害减免+6%</color>\n下一级：受到近距离物理伤害减免+12%,1级,Skill_Swordman,UI_Icon_Skill_Swordman_BaTi.png,0=311=600,3027004=1,
100602,近距离伤害减免II,<color=#51BE91FF>受到近距离物理伤害减免+12%</color>\n下一级：受到近距离物理伤害减免+18%,2级,Skill_Swordman,UI_Icon_Skill_Swordman_BaTi.png,0=311=1200,3027004=5,
100603,近距离伤害减免II,<color=#51BE91FF>受到近距离物理伤害减免+18%</color>\n下一级：受到近距离物理伤害减免+24%,3级,Skill_Swordman,UI_Icon_Skill_Swordman_BaTi.png,0=311=1800,3027004=12,
100604,近距离伤害减免II,<color=#51BE91FF>受到近距离物理伤害减免+24%</color>\n强化效果：受到近距离物理伤害减免+30%,4级,Skill_Swordman,UI_Icon_Skill_Swordman_BaTi.png,0=311=2400,3027004=38,1
100605,近距离伤害减免II,<color=#51BE91FF>强化中：受到近距离物理伤害减免+30%</color>,5级,Skill_Swordman,UI_Icon_Skill_Swordman_BaTi.png,0=311=3000,3027004=2,2
100701,闪躲,<color=#51BE91FF>有3%几率躲避伤害</color>\n下一级：有6%几率躲避伤害,1级,Skill_Archer,UI_Icon_Skill_Archer_FengZhiBu.png,1=410038001=0,3027004=1,
100702,闪躲,<color=#51BE91FF>有6%几率躲避伤害</color>\n下一级：有9%几率躲避伤害,2级,Skill_Archer,UI_Icon_Skill_Archer_FengZhiBu.png,1=410039001=0,3027004=5,
100703,闪躲,<color=#51BE91FF>有9%几率躲避伤害</color>\n下一级：有12%几率躲避伤害,3级,Skill_Archer,UI_Icon_Skill_Archer_FengZhiBu.png,1=410040001=0,3027004=12,
100704,闪躲,<color=#51BE91FF>有12%几率躲避伤害</color>\n强化效果：有15%几率躲避伤害,4级,Skill_Archer,UI_Icon_Skill_Archer_FengZhiBu.png,1=410041001=0,3027004=38,1
100705,闪躲,<color=#51BE91FF>强化中：有15%几率躲避伤害</color>,5级,Skill_Archer,UI_Icon_Skill_Archer_FengZhiBu.png,1=410042001=0,3027004=2,2
100801,极速,<color=#51BE91FF>攻击速度+2%</color>\n下一级：攻击速度+4%,1级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=200,3027004=1,
100802,极速,<color=#51BE91FF>攻击速度+4%</color>\n下一级：攻击速度+6%,2级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=400,3027004=5,
100803,极速,<color=#51BE91FF>攻击速度+6%</color>\n下一级：攻击速度+8%,3级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=600,3027004=12,
100804,极速,<color=#51BE91FF>攻击速度+8%</color>\n强化效果：攻击速度+10%,4级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=800,3027004=38,1
100805,极速,<color=#51BE91FF>强化中：攻击速度+10%</color>,5级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=1000,3027004=2,2
200101,神圣,<color=#51BE91FF>治疗效果+4%</color>\n下一级：治疗效果+8%,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenPan.png,0=90=400,3027004=1,
200102,神圣,<color=#51BE91FF>治疗效果+8%</color>\n下一级：治疗效果+12%,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenPan.png,0=90=800,3027004=5,
200103,神圣,<color=#51BE91FF>治疗效果+12%</color>\n下一级：治疗效果+16%,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenPan.png,0=90=1200,3027004=12,
200104,神圣,<color=#51BE91FF>治疗效果+16%</color>\n强化效果：治疗效果+20%,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenPan.png,0=90=1600,3027004=38,1
200105,神圣,<color=#51BE91FF>强化中：治疗效果+20%</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenPan.png,0=90=2000,3027004=2,2
200201,天赐,<color=#51BE91FF>所有六维属性+2</color>\n下一级：所有六维属性+4,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiGuang.png,0=14=2|0=16=2|0=18=2|0=20=2|0=22=2|0=24=2,3027004=1,
200202,天赐,<color=#51BE91FF>所有六维属性+4</color>\n下一级：所有六维属性+6,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiGuang.png,0=14=4|0=16=4|0=18=4|0=20=4|0=22=4|0=24=4,3027004=5,
200203,天赐,<color=#51BE91FF>所有六维属性+6</color>\n下一级：所有六维属性+8,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiGuang.png,0=14=6|0=16=6|0=18=6|0=20=6|0=22=6|0=24=6,3027004=12,
200204,天赐,<color=#51BE91FF>所有六维属性+8</color>\n强化效果：所有六维属性+10,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiGuang.png,0=14=8|0=16=8|0=18=8|0=20=8|0=22=8|0=24=8,3027004=38,1
200205,天赐,<color=#51BE91FF>强化中：所有六维属性+10</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiGuang.png,0=14=10|0=16=10|0=18=10|0=20=10|0=22=10|0=24=10,3027004=2,2
200301,魔力,<color=#51BE91FF>魔法攻击+3%</color>\n下一级：魔法攻击+6%,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=300,3027004=1,
200302,魔力,<color=#51BE91FF>魔法攻击+6%</color>\n下一级：魔法攻击+9%,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=600,3027004=5,
200303,魔力,<color=#51BE91FF>魔法攻击+9%</color>\n下一级：魔法攻击+12%,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=900,3027004=12,
200304,魔力,<color=#51BE91FF>魔法攻击+12%</color>\n强化效果：魔法攻击+15%,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=1200,3027004=38,1
200305,魔力,<color=#51BE91FF>强化中：魔法攻击+15%</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=1500,3027004=2,2
200401,圣属性强化,<color=#51BE91FF>圣属性伤害+6%</color>\n下一级：圣属性伤害+12%,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenShengZhiGuang.png,0=177=600,3027004=1,
200402,圣属性强化,<color=#51BE91FF>圣属性伤害+6%</color>\n下一级：圣属性伤害+18%,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenShengZhiGuang.png,0=177=1200,3027004=5,
200403,圣属性强化,<color=#51BE91FF>圣属性伤害+9%</color>\n下一级：圣属性伤害+24%,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenShengZhiGuang.png,0=177=1800,3027004=12,
200404,圣属性强化,<color=#51BE91FF>圣属性伤害+12%</color>\n强化效果：圣属性伤害+30%,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenShengZhiGuang.png,0=177=2400,3027004=38,1
