FashionID,FashionName,FashionModel,IsHikaru,SortID,FashionFrame,Coloration,ItemGrade,IdleAnim,RunAnim,AttrLuxury,AttrMaturity,AttrElegancy,AttrRomance,AttrDarkTone,IsHide,LocalizationArea,ConnetWing,BackGroundName,BackGroundAnim,AudioPath,ShowTimeRules,ShowTimeRulesPara,PresentModel
时装ID,时装名称,模型,身体模型是否有高光,排序id,边框,染色,道具级别（1普通 2稀有 3限定）,待机动画（非战斗）只有时装播idle01=show1（可以不配）|时装加翅膀播idle01=show01#轮流show02,移动动画（非战斗）,简约-100<=>华丽100,活泼-100<=>成熟100,邪气-100<=>正义100,清凉-100<=>保暖100,亮色-100<=>暗色100,是否在衣橱隐藏（0显示 1隐藏）默认值为0,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,天空套时装匹配的翅膀id，非天空套勿配,衣橱背景图片名,衣橱入场视频,场景播放待机动作的音效路径,当ShowTimeRules配1时，ShowTimeRulesPara配自然时间，结束日期不能超过20301231，例：20210730=050000|20301231=045959\n4、当ShowTimeRules配2时，ShowTimeRulesPara配开服天数，例：1=100；当isHide填1时，ShowTime字段不生效,,衣橱增加除角色外模型用，填写PresentTable中的id
1010001,结婚礼服 燕尾服,Fashion_M_JieHunLiFu_Body,1,1,0,0,3,Fashion_M_JieHunLiFu_Idle,Fashion_M_JieHunLiFu_Run,100,100,100,70,-100,,9,,,,,,,
1010002,结婚礼服 婚纱,Fashion_F_JieHunLiFu_Body,1,2,0,0,3,Fashion_F_JieHunLiFu_Idle,Fashion_F_JieHunLiFu_Run,100,100,100,70,-100,,9,,,,,,,
1010005,恶魔派对,Fashion_M_XiaoEMo_Body,1,3,0,0,1,Fashion_M_XiaoEMo_Idle,Fashion_M_XiaoEMo_Run,80,80,-100,-50,100,,,,,,,,,
1010006,恶魔派对,Fashion_F_XiaoEMo_Body,1,4,0,0,1,Fashion_F_XiaoEMo_Idle,Fashion_F_XiaoEMo_Run,80,80,-100,-50,100,,,,,,,,,
1010007,执事,Fashion_M_ZhiShi_Body,1,5,0,0,2,Fashion_M_ZhiShi_Idle,Fashion_M_ZhiShi_Run,-80,-70,100,-50,50,,,,,,,,,
1010008,女仆装,Fashion_F_NvPu_Body,0,6,0,0,2,Fashion_F_NvPu_Idle,Fashion_F_NvPu_Run,-80,-70,100,-50,50,,,,,,,,,
1010011,水手服,Fashion_M_ShuiShou_Body,1,7,0,0,1,Fashion_M_ShuiShou_Idle,Fashion_M_ShuiShou_Run,-90,-80,80,-100,-80,,,,,,,,,
1010012,水手服,Fashion_F_ShuiShouFu_Body,1,8,0,0,1,Fashion_F_ShuiShou_Idle,Fashion_F_ShuiShou_Run,-90,-80,80,-100,-80,,,,,,,,,
1010013,童话世界,Fashion_M_GongTin_Body,1,9,0,0,2,Fashion_M_GongTin_Idle,Fashion_M_GongTin_Run,90,80,80,60,50,,,,,,,,,
1010014,童话世界,Fashion_F_GongTin_Body,1,10,0,0,2,Fashion_F_GongTin_Idle,Fashion_F_GongTin_Run,90,80,80,60,50,,,,,,,,,
1010015,魔法日记,Fashion_M_MoFa_Body,1,11,0,0,2,Fashion_M_MoFa_Idle,Fashion_M_MoFa_Run,100,-90,50,50,-100,,,,,,,,,
1010016,魔法日记,Fashion_F_MoFa_Body,1,12,0,0,2,Fashion_F_MoFa_Idle,Fashion_F_MoFa_Run,100,-90,50,50,-100,,,,,,,,,
1010017,糯糯鼠玩偶服,Fashion_M_WanOu_Body,1,13,0,0,1,Fashion_M_WanOu_Idle,Fashion_M_WanOu_Run,-80,-90,60,100,-80,,,,,,,,,
1010018,软软鼠玩偶服,Fashion_F_WanOu_Body,1,14,0,0,1,Fashion_F_WanOu_Idle,Fashion_F_WanOu_Run,-80,-90,60,100,-80,,,,,,,,,
1010019,超萌学园,Fashion_M_XueYuan_Body,1,15,0,0,1,Fashion_M_XueYuan_Idle,Fashion_M_XueYuan_Run,80,-80,80,50,-80,,,,,,,,,
1010020,超萌学园,Fashion_F_XueYuan_Body,1,16,0,0,1,Fashion_F_XueYuan_Idle,Fashion_F_XueYuan_Run,80,-80,80,50,-80,,,,,,,,,
1010021,传统韩服,Fashion_M_HanFu01_Body,1,17,0,0,1,Fashion_M_HanFu01_Idle,Fashion_M_HanFu01_Run,100,90,90,80,-80,,9,,,,,,,
1010022,传统韩服,Fashion_F_HanFu01_Body,1,18,0,0,1,Fashion_F_HanFu01_Idle,Fashion_F_HanFu01_Run,100,90,90,80,-80,,9,,,,,,,
1010023,两小无猜,Fashion_M_HanFu02_Body,1,19,0,0,1,Fashion_M_HanFu02_Idle,Fashion_M_HanFu02_Run,90,-80,90,90,-90,,9,,,,,,,
1010024,两小无猜,Fashion_F_HanFu02_Body,1,20,0,0,1,Fashion_F_HanFu02_Idle,Fashion_F_HanFu02_Run,90,-80,90,90,-90,,9,,,,,,,
1010025,idol look,Fashion_M_Idol_Body,1,21,0,0,1,Fashion_M_Idol_Idle,Fashion_M_Idol_Run,90,90,90,-80,60,,,,,,,,,
1010026,idol look,Fashion_F_Idol_Body,1,22,0,0,1,Fashion_F_Idol_Idle,Fashion_F_Idol_Run,90,90,90,-80,60,,,,,,,,,
1010027,海浪之歌,Fashion_M_JunZhuang_Body,1,21,0,0,1,Fashion_M_JunZhuang_Idle,Fashion_M_JunZhuang_Run,-95,80,100,60,-100,,11,,,,,,,
1010028,海浪之歌,Fashion_F_JunZhuang_Body,1,22,0,0,1,Fashion_F_JunZhuang_Idle,Fashion_F_JunZhuang_Run,-95,80,100,60,-100,,11,,,,,,,
1010029,私家侦探,Fashion_M_ZhenTan_Body,1,23,0,0,1,Fashion_M_ZhenTan_Idle,Fashion_M_ZhenTan_Run,-80,80,90,70,80,,11,,,,,,,
1010030,私家侦探,Fashion_F_ZhenTan_Body,1,24,0,0,1,Fashion_F_ZhenTan_Idle,Fashion_F_ZhenTan_Run,-80,80,90,70,80,,11,,,,,,,
1010031,邪恶使者cos装,Fashion_M_XieEShiZhe_Body,1,25,0,0,1,Fashion_M_CosXieEShiZhe_Idle,Fashion_M_CosXieEShiZhe_Run,-70,60,-90,-60,70,,9,,,,,,,
1010032,恶魔女仆cos装,Fashion_F_CosMoNv_Body,1,26,0,0,1,Fashion_F_CosMoNv_Idle,Fashion_F_CosMoNv_Run,-70,60,-90,-60,70,,9,,,,,,,
1010033,鬼魂绅士cos装,Fashion_M_GuiXinLang_Body,1,27,0,0,1,Fashion_M_GuiXinLang_Idle,Fashion_M_GuiXinLang_Run,80,70,-100,-50,50,,11,,,,,,,
1010034,鬼魂新娘cos装,Fashion_F_GuiXinNiang_Body,1,28,0,0,1,Fashion_F_GuiXinNiang_Idle,Fashion_F_GuiXinNiang_Run,80,70,-100,-50,50,,11,,,,,,,
1010035,医生cos装,Fashion_M_YiSheng_Body,1,29,0,0,1,Fashion_M_YiSheng_Idle,Fashion_M_YiSheng_Run,-80,80,90,-60,-80,,27,,,,,,,
1010036,护士cos装,Fashion_F_HuShi_Body,1,30,0,0,1,Fashion_F_HuShi_Idle,Fashion_F_HuShi_Run,-80,80,90,-60,-80,,27,,,,,,,
1010037,奇妙南瓜套装,Fashion_M_NanGua_Body,1,31,0,0,1,Fashion_M_NanGua_Idle,Fashion_M_NanGua_Run,90,-80,-60,-50,-80,,11,,,,,,,
1010038,奇妙南瓜套装,Fashion_F_NanGua_Body,1,32,0,0,1,Fashion_F_NanGua_Idle,Fashion_F_NanGua_Run,90,-80,-60,-50,-80,,11,,,,,,,
1010039,死神cos装,Fashion_M_SiShen_Body,1,33,0,0,1,Fashion_M_SiShen_Idle,Fashion_M_SiShen_Run,-60,70,-100,-50,80,,9,,,,,,,
1010040,死神cos装,Fashion_F_SiShen_Body,1,34,0,0,1,Fashion_F_SiShen_Idle,Fashion_F_SiShen_Run,-60,70,-100,-50,80,,9,,,,,,,
1010041,飞行员特工,Fashion_M_FeiXingYuan_Body,1,35,0,0,1,Fashion_M_FeiXingYuan_Idle,Fashion_M_FeiXingYuan_Run,-80,80,90,80,60,,11,,,,,,,
1010042,飞行员特工,Fashion_F_FeiXingYuan_Body,1,36,0,0,1,Fashion_F_FeiXingYuan_Idle,Fashion_F_FeiXingYuan_Run,-80,80,90,80,60,,11,,,,,,,
1019031,邪恶使者cos装（15天）,Fashion_M_XieEShiZhe_Body,1,25,0,0,1,Fashion_M_CosXieEShiZhe_Idle,Fashion_M_CosXieEShiZhe_Run,-70,60,-90,-60,70,1,9,,,,,,,
1019032,恶魔女仆cos装（15天）,Fashion_F_CosMoNv_Body,1,26,0,0,1,Fashion_F_CosMoNv_Idle,Fashion_F_CosMoNv_Run,-70,60,-90,-60,70,1,9,,,,,,,
1019039,死神cos装（15天）,Fashion_M_SiShen_Body,1,33,0,0,1,Fashion_M_SiShen_Idle,Fashion_M_SiShen_Run,-60,70,-100,-50,80,1,9,,,,,,,
1019040,死神cos装（15天）,Fashion_F_SiShen_Body,1,34,0,0,1,Fashion_F_SiShen_Idle,Fashion_F_SiShen_Run,-60,70,-100,-50,80,1,9,,,,,,,
1018031,邪恶使者cos装（20天）,Fashion_M_XieEShiZhe_Body,1,25,0,0,1,Fashion_M_CosXieEShiZhe_Idle,Fashion_M_CosXieEShiZhe_Run,-70,60,-90,-60,70,1,11,,,,,,,
1018032,恶魔女仆cos装（20天）,Fashion_F_CosMoNv_Body,1,26,0,0,1,Fashion_F_CosMoNv_Idle,Fashion_F_CosMoNv_Run,-70,60,-90,-60,70,1,11,,,,,,,
1018039,死神cos装（20天）,Fashion_M_SiShen_Body,1,33,0,0,1,Fashion_M_SiShen_Idle,Fashion_M_SiShen_Run,-60,70,-100,-50,80,1,11,,,,,,,
1018040,死神cos装（20天）,Fashion_F_SiShen_Body,1,34,0,0,1,Fashion_F_SiShen_Idle,Fashion_F_SiShen_Run,-60,70,-100,-50,80,1,11,,,,,,,
1019011,水手服（15天）,Fashion_M_ShuiShou_Body,1,999,0,0,1,Fashion_M_ShuiShou_Idle,Fashion_M_ShuiShou_Run,-90,-80,80,-100,-80,1,9,,,,,,,
