Id,Type,TargetId,LimitDistance,LimitAngle
拍照id,类型： 1、Npc2、Entity3、点,不同类型的目标所持有的id，NPC配npcId，怪物配EntityID，点配CheckInViewPortTable表的ID,限制距离,限制角度
101,3,,,
102,3,,,
103,3,,,
104,3,,,
105,3,,,
106,3,,,
107,3,,,
108,3,,,
109,3,,,
110,3,,,
111,3,,,
112,3,,,
113,3,,,
114,3,,,
115,3,,,
116,3,,,
117,3,,,
118,3,,,
119,3,,,
120,3,,,
121,3,,,
122,3,,,
123,3,,,
124,3,,,
125,3,,,
127,3,,,
128,3,,,
129,3,,,
130,3,,,
131,3,,,
132,3,,,
133,3,,,
134,3,,,
135,3,,,
136,3,,,
137,3,,,
138,3,,,
139,3,,,
140,3,,,
141,3,,,
142,3,,,
143,3,,,
144,3,,,
145,3,,,
146,3,,,
147,3,,,
148,3,,,
149,3,,,
150,3,,,
151,3,,,
152,3,,,
153,3,,,
154,3,,,
155,3,,,
156,3,,,
157,3,,,
158,3,,,
159,3,,,
160,3,,,
161,3,,,
162,3,,,
163,3,,,
164,3,,,
165,3,,,
10500,4,10500,,
