ID,Position,RefineLevel,RefineAttr,ExtraAttr,AttrTips,SafeLevel,DropRate,CompensateRate,damagedRate,RateLimit,LuckyPro,RefineConsume,RestoreConsume,RollBack,ProRollBack,Beecham,CompensationId,ShowRate,SuccessRate,FailureResultRate,ProRate,ProRateShow,coefficient
索引ID,装备部位(0，不知道干啥的；1，主武器；2，副手；3，盔甲；4，披风；5，鞋子；6，饰品；7，头饰；8，脸饰；9，嘴饰；10，背饰；11，载具),精练等级,精炼属性,附加属性,精炼属性描述,安全等级,失败附加概率（万分位）,失败不掉级附加概率,破损附加概率,附加概率上限,,精炼消耗,修复消耗,祝福不回退消耗,进阶祝福精炼消耗,祝福必成消耗,失败补偿奖励id,显示用基础成功率,精炼成功率（概率万分比）,失败结果权重（仅失败的权重|损坏的权重|回退1级的权重）,进阶祝福精炼实际提升的概率（服务器用）,进阶祝福精炼显示的概率（客户端用）,用于计算保底次数的系数
1,1,0,0=61=0|0=346=0|0=65=0,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,0,0,0,0,0,0,3020003=2|101=16000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
2,1,1,0=61=7|0=346=3|0=65=0,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,0,0,0,0,0,0,3020003=3|101=20000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
3,1,2,0=61=14|0=346=6|0=65=0,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,0,0,0,0,0,0,3020003=4|101=24000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
4,1,3,0=61=21|0=346=9|0=65=0,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,3,0,0,0,0,0,3020003=4|101=28000,3020008=1|101=10000,3020013=1,3020023=0,0,,5500,5500,75|0|25,300,300,2.5
5,1,4,0=61=28|0=346=12|0=65=0,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,0,1000,200,500,2000,0,3020003=4|101=32000,3020008=1|101=10000,3020013=1,3020023=0,0,,5000,5000,75|0|25,300,300,2.5
6,1,5,0=61=38|0=346=17|0=65=100,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,0,1000,200,500,2000,0,3020003=6|101=40000,3020008=1|101=10000,3020013=2,3020023=0,0,,4500,4500,75|0|25,300,300,2.5
7,1,6,0=61=48|0=346=22|0=65=100,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,6,0,0,0,0,0,3020003=12|101=50000,3020008=4|101=50000,3020013=0,3020023=0,0,,4000,4000,95|5|0,300,300,2.5
8,1,7,0=61=58|0=346=27|0=65=100,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,6,1000,200,500,2000,0,3020003=20|101=60000,3020008=7|101=100000,3020013=3,3020023=0,0,,3000,3000,70|5|25,300,300,2.5
9,1,8,0=61=73|0=346=34|0=65=200,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,6,1000,200,500,2000,0,3020003=30|101=80000,3020008=11|101=150000,3020013=3,3020023=0,0,,2500,2500,70|5|25,300,300,2.5
10,1,9,0=61=88|0=346=41|0=65=200,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,9,0,0,0,0,0,3020003=40|101=120000,3020008=13|101=200000,3020013=0,3020023=0,0,,1000,1000,100|0|0,300,300,2.5
11,1,10,0=61=103|0=346=48|0=65=200,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,9,1000,200,500,2000,0,3020005=12|101=160000,3020008=20|101=300000,3020013=5,3020023=5,0,,2000,2000,60|5|35,300,300,2.5
12,1,11,0=61=118|0=346=55|0=65=300,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,9,1000,200,500,2000,0,3020005=16|101=200000,3020008=27|101=400000,3020013=5,3020023=6,0,,1800,1800,60|5|35,300,300,2.5
