Id,TabType,LevelBonus,Factors,BlessFactors
ID,道具类型,等级差,跟战斗时间衰减倍率,魔物驱逐时间衰减倍率
1,3,16,100|100|100|100,100
2,3,15,100|100|100|100,100
3,3,14,100|100|100|100,100
4,3,13,100|100|100|100,100
5,3,12,100|100|100|100,100
6,3,11,100|100|100|100,100
7,3,10,100|100|100|100,100
8,3,9,100|100|100|100,100
9,3,8,100|100|100|100,100
10,3,7,100|100|100|100,100
11,3,6,100|100|100|100,100
12,3,5,100|100|100|100,100
13,3,4,100|100|100|100,100
14,3,3,100|100|100|100,100
15,3,2,100|100|100|100,100
16,3,1,100|100|100|100,100
17,3,0,100|100|100|100,100
18,3,-1,100|100|100|100,100
19,3,-2,100|100|100|100,100
20,3,-3,100|100|100|100,100
21,3,-4,100|100|100|100,100
22,3,-5,100|100|100|100,100
23,3,-6,100|100|100|100,100
24,3,-7,100|100|100|100,100
25,3,-8,100|100|100|100,100
26,3,-9,100|100|100|100,100
27,3,-10,100|100|100|100,100
28,3,-11,100|100|100|100,100
29,3,-12,100|100|100|100,100
30,3,-13,100|100|100|100,100
31,3,-14,100|100|100|100,100
32,3,-15,100|100|100|100,100
33,3,-16,100|100|100|100,100
34,3,-17,100|100|100|100,100
35,3,-18,100|100|100|100,100
36,3,-19,100|100|100|100,100
37,3,-20,100|100|100|100,100
38,3,-21,100|100|100|100,100
39,3,-22,100|100|100|100,100
40,3,-23,100|100|100|100,100
41,3,-24,100|100|100|100,100
42,3,-25,100|100|100|100,100
43,3,-26,100|100|100|100,100
44,3,-27,100|100|100|100,100
45,3,-28,100|100|100|100,100
46,3,-29,100|100|100|100,100
47,3,-30,100|100|100|100,100
48,3,-31,100|100|100|100,100
49,4,15,0|0|0|0,0
50,4,14,0|0|0|100,0
51,4,13,0|0|0|100,0
52,4,12,0|0|0|100,0
53,4,11,0|0|0|100,0
54,4,10,0|0|0|100,0
55,4,9,0|0|0|100,0
56,4,8,0|0|0|100,0
57,4,7,0|0|0|100,0
58,4,6,0|0|0|100,0
59,4,5,0|0|0|100,0
60,4,4,0|0|0|100,0
61,4,3,0|0|0|100,0
62,4,2,0|0|0|100,0
63,4,1,0|0|0|100,0
64,4,0,0|0|0|100,0
65,4,-1,0|0|0|100,0
66,4,-2,0|0|0|100,0
67,4,-3,0|0|0|100,0
68,4,-4,0|0|0|100,0
69,4,-5,0|0|0|100,0
70,4,-6,0|0|0|100,0
71,4,-7,0|0|0|100,0
72,4,-8,0|0|0|100,0
73,4,-9,0|0|0|100,0
74,4,-10,0|0|0|100,0
75,4,-11,0|0|0|0,0
76,5,2,100|100|100|100,100
77,5,1,100|100|100|100,100
78,5,0,100|100|100|100,100
79,5,-1,100|100|100|100,100
80,5,-2,100|100|100|100,100
81,5,-3,100|100|100|100,100
82,5,-4,100|100|100|100,100
83,5,-5,100|100|100|100,100
84,5,-6,80|80|80|80,80
85,5,-7,80|80|80|80,80
86,5,-8,80|80|80|80,80
87,5,-9,80|80|80|80,80
88,5,-10,80|80|80|80,80
89,5,-11,50|50|50|50,50
90,5,-12,50|50|50|50,50
91,5,-13,50|50|50|50,50
92,5,-14,50|50|50|50,50
93,5,-15,50|50|50|50,50
94,5,-16,30|30|30|30,30
95,6,2,100|100|100|100,100
96,6,1,100|100|100|100,100
97,6,0,100|100|100|100,100
98,6,-1,100|100|100|100,100
99,6,-2,100|100|100|100,100
100,6,-3,100|100|100|100,100
101,7,2,100|100|100|100,100
102,7,1,100|100|100|100,100
103,7,0,100|100|100|100,100
104,7,-1,100|100|100|100,100
105,7,-2,100|100|100|100,100
106,7,-3,100|100|100|100,100
107,7,-4,100|100|100|100,100
108,7,-5,100|100|100|100,100
109,7,-6,100|100|100|100,100
110,7,-7,100|100|100|100,100
111,7,-8,100|100|100|100,100
112,7,-9,100|100|100|100,100
113,7,-10,100|100|100|100,100
114,7,-11,100|100|100|100,100
115,7,-12,100|100|100|100,100
116,7,-13,100|100|100|100,100
117,7,-14,100|100|100|100,100
118,7,-15,100|100|100|100,100
119,7,-16,80|80|80|80,80
120,8,1,100|100|100|0,100
121,8,0,100|100|100|0,100
122,8,-1,100|100|100|0,100
