RefineLv,OrnamentConsume,OtherConsume,PerfectConsume,ReduceLv,Experience,SealConsume
精炼等级,配饰消耗,暂时空置,完美转移额外消耗,降低等级,本级升到下级所需解封经验 ,解封材料id=数量=对应材料总解封经验
1,101=10000,101=10000,0,0,0,3020019=1=1
2,101=10000,101=10000,0,0,0,
3,101=10000,101=10000,0,0,0,
4,101=10000,101=10000,0,0,0,
5,3020018=2|101=20000,3020018=1|101=10000,0,0,0,
6,3020018=4|101=20000,3020018=2|101=10000,0,0,0,
7,3020018=7|101=20000,3020018=4|101=10000,0,0,0,
8,3020018=8|101=20000,3020018=6|101=10000,0,0,0,
9,3020018=9|101=20000,3020018=10|101=10000,3020019=1,2,2,3020019=1=1
10,3020018=12|101=20000,3020018=12|101=10000,3020019=3,2,4,3020019=1=1
11,3020018=14|101=20000,3020018=14|101=10000,3020019=5,2,6,3020019=1=1
12,3020018=16|101=20000,3020018=16|101=10000,3020019=18,2,8,3020019=1=1
13,3020018=18|101=20000,3020018=18|101=10000,3020019=24,2,10,3020019=1=1
14,3020018=20|101=20000,3020018=20|101=10000,3020019=30,2,12,3020019=1=1
15,3020018=22|101=20000,3020018=22|101=10000,3020019=30,2,14,3020019=1=1
16,3020018=22|101=20000,3020018=22|101=10000,3020019=30,2,16,3020019=1=1
17,3020018=22|101=20000,3020018=22|101=10000,3020019=30,2,18,3020019=1=1
18,3020018=22|101=20000,3020018=22|101=10000,3020019=30,2,20,3020019=1=1
19,3020018=22|101=20000,3020018=22|101=10000,3020019=30,2,22,3020019=1=1
20,3020018=22|101=20000,3020018=22|101=10000,3020019=30,2,24,3020019=1=1
