ID,,Foods,TimeLimit,MenuType,
编号,名字(策划用),食物ID数组,时间限制,菜谱种类（0普通1加急）,
1,胡萝卜生菜汤,1|2,110,0,
2,生菜肉汤,2|3,110,0,
3,胡萝卜肉汤,1|3,110,0,
4,胡萝卜炖鱼,1|4,110,0,
5,生菜炖鱼,2|4,110,0,
6,鱼肉乱炖,3|4,110,0,
11,胡萝卜炖鱼,1|4,60,0,
12,生菜炖鱼,2|4,60,0,
13,鱼肉乱炖,3|4,60,0,
14,生菜胡萝卜炖鱼,1|2|4,60,0,
15,炖素菜1,2|2|1,60,0,
16,胡萝卜炖生菜,1|1|2,60,0,
17,肉乱炖1,4|4|3,60,0,
18,肉乱炖2,4|3|3,60,0,
19,生菜鱼炖肉,1|3|4,60,0,
20,胡萝卜炖肉,2|3|4,60,0,
21,全家福,3|4|2|1,75,0,
22,肉炖胡萝卜,3|3|1,75,0,
23,双份胡萝卜炖鱼,1|1|4,75,0,
24,素菜炖肉,1|2|3,75,0,
25,生菜胡萝卜炖鱼,1|2|4,75,0,
26,炖素菜1,2|2|1,75,0,
27,胡萝卜炖生菜,1|1|2,75,0,
28,生菜胡萝卜肉羹,2|2|1|3,75,0,
29,肉胡萝卜生菜羹,3|3|1|2,75,0,
30,胡萝卜生菜鱼羹,1|1|2|4,75,0,
31,生菜胡萝卜鱼羹,2|2|1|4,75,0,
32,鱼胡萝卜生菜羹,1|1|3|4,75,0,
33,鱼胡萝卜生菜羹,2|2|3|4,75,0,
34,加浓素菜羹,1|1|2|2,75,0,
35,双倍炖肉,4|4|3|3,75,0,
