ID,Des
ID,描述
101,装备
102,坐骑
103,头饰（上）
104,头饰（中）
105,头饰（下）
106,背饰
107,手推车
108,神话头饰
109,神话脸饰
110,神话嘴饰
111,神话背饰
112,神话时装
201,材料类
202,时装
203,药水
204,消耗品
205,药剂
206,箭矢
207,扩建道具
208,奖励券
209,杂志
210,工会道具
211,礼包
212,染色道具
213,采摘强化道具
214,挖矿强化道具
215,钓鱼强化道具
216,自动钓鱼道具
217,料理
218,邀请函
219,自动采摘道具
220,自动挖矿道具
221,美味松饼
222,松饼原料
223,松饼原料
224,秘制配方
226,宠物技能书
227,宠物蛋
301,材料
302,卡片
303,宝箱
304,药水
305,杂物
306,卡片碎片
307,头饰碎片
308,公会道具
309,海鲜
310,药草
311,食材
312,果子
313,锻造材料
314,装备碎片
315,装备图纸
316,Mvp卡片碎片
317,珍宝
318,消耗道具
319,活动道具
320,感应石
401,卡片
501,时装
601,时装
701,货币
702,积分
703,奖励
704,经验
705,声望
706,通行证经验
901,任务道具
1001,采摘工具
1002,挖矿工具
1003,钓鱼道具
1004,钓鱼装饰
1101,图纸
1201,置换器
1301,头像
1701,称号
1901,玩偶
1902,元素标本
1801,魔法道具
2301,BINGO幸运数字
2302,彩虹之约信物
402,时空卡片
2601,气泡框
2701,头像框
1199,武器图纸
1198,副手图纸
1197,盔甲图纸
1196,披风图纸
1195,鞋子图纸
1150,载具图纸
225,新年佳肴
2801,宠物装备
2802,宠物装备
2803,宠物装备
2804,宠物装备
2805,宠物装备
2806,宠物装备
1601,卡片碎片
660,抽奖券
403,觉醒卡片
707,扭蛋积分
