StickersID,StickersName,StickersAtlas,StickersIcon,Length,SortID
贴纸ID,贴纸名称,贴纸图集,贴纸图标,占用格子数,排序id（从小到大）
6041001,商界巨贾,Sticker1,UI_Sticker1_Icon_1_05.png,1,1
6041002,S级魔物猎手,Sticker1,UI_Sticker1_Icon_1_07.png,1,2
6041003,MVP,Sticker1,UI_Sticker1_Icon_1_01.png,1,3
6041004,人形兵器,Sticker1,UI_Sticker1_Icon_1_08.png,1,4
6041005,王牌队友,Sticker1,UI_Sticker1_Icon_1_10.png,1,5
6041006,锦旗挂满墙,Sticker1,UI_Sticker1_Icon_1_02.png,1,6
6041007,对不起我是工具人,Sticker1,UI_Sticker1_Icon_1_03.png,1,7
6041008,离开地球表面,Sticker1,UI_Sticker1_Icon_1_09.png,1,8
6041009,五星大厨,Sticker1,UI_Sticker1_Icon_1_06.png,1,9
6041010,绝命药师,Sticker1,UI_Sticker1_Icon_1_04.png,1,10
6042001,MVP,Sticker1,UI_Sticker1_Icon_2_01.png,2,11
6043001,或许这就是大佬吧,Sticker1,UI_Sticker1_Icon_3_01.png,3,12
6045001,无法被复制的成功,Sticker1,UI_Sticker1_Icon_5_01.png,3,13
6049001,等待的美好,Sticker1,UI_Sticker1_Icon_1_12.png,1,14
6049002,点亮星星之火,Sticker1,UI_Sticker1_Icon_1_11.png,1,15
6046001,秋夕的时候呢,Sticker1,UI_Sticker1_Icon_1_13.png,1,16
6046002,万圣的时候呢,Sticker1,UI_Sticker1_Icon_1_15.png,1,17
6047001,王牌飞行员,Sticker1,UI_Sticker1_Icon_1_14.png,1,18
6046003,圣诞的时候呢,Sticker1,UI_Sticker1_Icon_1_16.png,1,19
6046004,新年的时候呢,Sticker1,UI_Sticker1_Icon_1_54.png,1,20
6046005,高级记者,Sticker1,UI_Sticker1_Icon_wcx_1_17.png,1,21
6046006,师傅记者,Sticker1,UI_Sticker1_Icon_wcx_1_18.png,2,22
6046007,传奇记者,Sticker1,UI_Sticker1_Icon_wcx_2_02.png,3,23
6041011,1周年快乐,Sticker1,UI_Sticker1_Icon_xhy_1_19.png,1,24
6041012,月圆的时候呢,Sticker1,UI_Sticker1_Icon_1_17_yyz.png,1,25
6041013,万圣狂欢,Sticker1,UI_Sticker1_Icon_1_18_yyz.png,1,26
6041014,2021圣诞快乐,Sticker1,UI_Sticker1_Icon_1_20_yyz.png,1,27
6041015,虎虎生威,Sticker1,UI_Sticker1_Icon_1_21.png,1,28
