ID,AwardId,ItemIds
主键,奖励ID,物品ID列表
1,205110,3040200|3040201|3040202|3040203|3040204|3040100|3040101|2090025|2090020
2,205120,3040200|3040201|3040202|3040203|3040204|3040100|3040101|3040102|2090021
3,205130,3040200|3040201|3040202|3040203|3040204
4,205140,3040200|3040201|3040202|3040203|3040204
5,1100000,201|202|101|2031003|60649999|60649998
6,1100010,
7,1100020,201|202
8,1100030,
9,1100040,201|202
10,1100050,
11,1100060,201|202|2010001|2010005
12,1100070,201|202
13,1100080,
14,1100090,201|202
15,1100100,201|202|2040011
16,1100110,
17,1100120,201|202
18,1100130,
19,1100140,
20,1100150,201|202|2090011
21,1100160,
22,1100170,201|202|101|2031003
23,1100180,
24,1100190,
25,1100200,
26,1100210,
27,1100220,
28,1100230,
29,1100240,
30,1100250,
31,1100260,2010001|2010005|2010012
32,1100270,2010001|2010005|2010012
33,1100280,2010001|2010005|2010012
34,1100290,2010001|2010005|2010012
35,1100300,2010001|2010005|2010012
36,1100310,2010001|2010005|2010012
37,1100320,201
38,1100330,
39,1100340,201
40,1100350,201
41,1100360,201
42,1100370,201
43,1100380,201|202|7000001|101
44,1100390,201|202
45,1100400,201|202
46,1100410,201|202|2090009
47,1100420,201|202
48,1100430,201|202|2031002
49,1100440,201|202|101
50,1100450,201|202|21000002|2010001|2010005
51,1100460,201
52,1100470,201
53,1100480,
54,1100490,201
55,1100500,201
56,1100510,201
57,1100520,201
58,1100530,201
59,1100540,201
60,1100550,201
61,1100560,201
62,1100570,201|202|10000001|101
63,1100580,201|202
64,1100590,201|202
65,1100600,201|202|2090009
66,1100610,201|202
67,1100620,201|202|2031002
68,1100630,201|202|101
69,1100640,201
70,1100650,
71,1100660,201
72,1100670,
73,1100680,201
74,1100690,201
75,1100700,201
76,1100710,201
77,1100720,201|202|10000001|101
78,1100730,201|202
79,1100740,201|202
80,1100750,201|202|2090009
81,1100760,201|202
82,1100770,201|202|2031002
83,1100780,201|202|101
84,1100790,201|202|21000002|2010001|2010005
85,1100800,201
86,1100810,
87,1100820,201
88,1100830,
89,1100840,
90,1100850,
91,1100860,201
92,1100870,201|9000001|101
93,1100880,201|202
94,1100890,201|202
95,1100900,201|202
96,1100910,201|202|2090009
97,1100920,201|202
98,1100930,201|202|2031002
99,1100940,201|202|101
100,1100950,201
101,1100960,
102,1100970,
103,1100980,201
104,1100990,201
105,1101000,
106,1101010,201
107,1101020,201
108,1101030,201|202|5000001|101
109,1101040,201|202
110,1101050,201|202
111,1101060,201|202|2090009
112,1101070,201|202
113,1101080,201|202|2031002
114,1101090,201|202|101
115,1101100,201
116,1101110,
117,1101120,
118,1101130,
119,1101140,
120,1101150,201
121,1101160,201|202|12000001|101
122,1101170,201|202
123,1101180,201|202
124,1101190,
125,1101200,201|202|2090009
126,1101210,201|202
127,1101220,201|202|2031002
128,1101230,201|202|101
129,1101240,201|202|21000002|2010001|2010005
130,1101250,201|202|23000002
131,1101260,
132,1101270,
133,1101280,201|202
134,1101290,
135,1101300,201|202|22000002
136,1101310,201|202
137,1101320,201|202|2091030|2010001|2010005
138,1101330,
139,1101340,201|202|1290015|1290014|101
140,1101350,
141,1101360,201|202|101|2010012
142,1101370,201|202
143,1101380,
144,1101390,201|202
145,1101400,201|202|101|2010001|2010005
146,1101410,
147,1101420,201|202|101|3054001
148,1101430,201|202
149,1101440,201|202|101|2090019
150,1101450,201|202
151,1101460,201|202
152,1101470,201|202
153,1101480,201|202|101|2010001|2010005
154,1101490,201|202
155,1101500,201|202
156,1101510,201|202|101|2091031
157,1101520,201|202|101
158,1101530,201|202|101
159,1101540,201|202
160,1101550,201|202|101
161,1101560,201|202
162,1101570,201|202
163,1101580,201|202|101|2090019
164,1101590,201|202
165,1101600,201|202
166,1101610,
167,1101620,201|202|2090021
168,1101630,201|202|2090021
169,1101640,201|202|2090021
170,1101650,201|202|2090021
171,1101660,201|202|2090021
172,1101670,201|202|2090021
173,1101680,201|202
174,1101690,201|202
175,1101700,201|202
176,1101710,201|202
177,1101720,201|202|101|3022002
178,1101730,201|202
179,1101740,201|202
180,1101750,201|202|2010005
181,1101760,201|202
182,1101770,201|202|2031004
183,1101780,201|202
184,1101790,201|202|101
185,1101800,201|202
186,1101810,201|202|101
187,1101820,201|202
188,1101830,201|202|2090023|101
189,1101840,201|202
190,1101850,201|202|101
191,1101860,201|202
192,1101870,201|202|101
193,1101880,201|202
194,1101890,201|202|2090019
195,1101900,201|202
196,1101910,201|202
197,1101920,201|202|101|2090023
198,1101930,201|202
199,1101940,201|202
200,1101950,201|202|101
201,1101960,201|202
202,1101970,201|202
203,1101980,201|202|101
204,1101990,201|202
205,1102000,201|202
206,1102010,201|202|2031004|101
207,1102020,201|202
208,1102030,201|202
209,1102040,201|202
210,1102050,201|202|2090023|101
211,1102060,
212,1102070,
213,1102080,201|202
214,1102090,201|202
215,1102100,201|202
216,1102110,201|202
217,1102120,201|202|101
218,1102130,201|202
219,1102140,201|202
220,1102150,201|202|2090023|101
221,1102160,201|202|2035002|101
222,1102170,201|202
223,1102180,201|202|101
224,1102190,201|202
225,1102200,201|202|2031004|101
226,1102210,201|202
227,1102220,201|202
228,1102230,201|202|101
229,1102240,201|202
230,1102250,201|202
231,1102260,201|202
232,1102270,201|202|101
233,1102280,201|202
234,1102290,201|202|2090023|101
235,1102300,201|202
236,1102310,201|202|101
237,1102320,201|202
238,1102330,201|202
239,1102340,201|202|2090021
240,1102350,201|202
241,1102360,201|202|2090019|101
242,1102370,201|202|2035002|101
243,1102380,201|202
244,1102390,201|202
245,1102400,201|202|2090023|101
246,1102410,201|202
247,1102420,201|202
248,1102430,201|202|2031004|101
249,1102440,201|202
250,1102450,201|202|101
251,1102460,201|202|2035002|101
252,1102470,201|202
253,1102480,201|202
254,1102490,201|202|101
255,1102500,201|202
256,1102510,201|202
257,1102520,201|202|101
258,1102530,201|202|2090023|101
259,1102540,201|202|2035002|101
260,1102550,201|202
261,1102560,201|202
262,1102570,201|202|101
263,1102580,201|202
264,1102590,201|202
265,1102600,201|202
266,1102610,201|202|101
267,1102620,201|202
268,1102630,201|202|2090023|101
269,1102640,201|202|2035002|101
270,1102650,201|202
271,1102660,201|202|101
272,1102670,201|202
273,1102680,201|202|2090019|101
274,1102690,201|202
275,1102700,201|202
276,1102710,201|202
277,1102720,201|202|101|2090023
278,1102730,201|202
279,1102740,201|202|2035002|101
280,1102750,201|202
281,1102760,201|202
282,1102770,201|202|101
283,1102780,201|202
284,1102790,201|202
285,1102800,201|202|2090019
286,1102810,201|202
287,1102820,201|202
288,1102830,201|202|101|2090023
289,1102840,201|202
290,1102850,201|202
291,1102860,201|202|2035002|101
292,1102870,201|202|2035002|101
293,1102880,
294,1102890,
295,1102900,
296,1102910,
297,1102920,
298,1102930,
299,1102940,
300,1102950,
301,1102960,
302,1102970,2090011
303,1102980,1070016
304,1102990,1070031
305,1103000,1070051
306,1103010,201|202
307,1103020,201|202|2035002|101
308,1103030,201|202
309,1103040,201|202|101
310,1103050,201|202
311,1103060,201|202|2090019|101
312,1103070,201|202
313,1103080,201|202|2090044|101
314,1103090,201|202
315,1103100,201|202
316,1103110,201|202|2035002|101
317,1103120,201|202
318,1103130,201|202|2035002|101
319,1103140,201|202
320,1103150,
321,1103160,201|202
322,1103170,201|202
323,1103180,201|202|2090019|101
324,1103190,201|202
325,1103200,201|202
326,1103210,201|202|2090023|101
327,1103220,
328,1103230,
329,1103240,
330,1103250,
331,1103260,201|202|3020022|101
332,1103270,201|202
333,1103280,201|202|2035002|101
334,1103290,201|202
335,1103300,201|202
336,1103310,201|202|2090024|101
337,1103320,201|202
