ItemID,ItemName,ItemBlackList,ItemWhiteOpen,ItemWhiteTips,,
道具ID,道具名称,黑名单列表（ItemAchievingTypeTable功能id）,白名单跳转,白名单飘条,备注（策划用）,
1280003,龙鳞,,,,,
3020003,神之金属,4005|11880,,18001,,
3020004,铝,4005|11880,,18001,,
3020005,浓缩神之金属,4005,,,,
3020006,浓缩铝,4005,,,,
3020013,武器受祝福的矿石,4005|11882,,,,
3020014,防具受祝福的矿石,4005|11882,,,,
3020015,配饰受祝福的矿石,4005|11882,,,,
3024004,野生猕猴桃,4005,,,,
3024002,高级饼干,4005,,18001,,
2092010,莫拉硬币随机箱,4005,,,,
3020016,α-能量体,4005,,18001,,
3024005,阳光猕猴桃,4005|19921,,18001,,
3024024,崩裂迪齿轮,4005,,,,
3024023,贝思波齿轮,4005,,,,
3023002,高级金刚石,4005,,,,
3020010,初级解封卷轴,4005,,,,
1070171,纪念棒球帽,4005,,,,
1070173,经典侦探帽,4005,,,,
1080039,侦探眼镜,4005,,,,
1090038,侦探笔,4005,,,,
3022042,30级铁砧,4005,,,,
3022043,40级铁砧,4005,,,,
3022044,50级铁砧,4005,,,,
3022045,60级铁砧,4005,,,,
3022046,70级铁砧,4005,,,,
3022047,80级铁砧,4005,,,,
3022048,90级铁砧,4005,,,,
3022049,100级铁砧,4005,,,,
3022050,30级首饰淬炼石,4005,,,,
3022051,40级首饰淬炼石,4005,,,,
3022052,50级首饰淬炼石,4005,,,,
3022053,60级首饰淬炼石,4005,,,,
3022054,70级首饰淬炼石,4005,,,,
3022055,80级首饰淬炼石,4005,,,,
3022056,90级首饰淬炼石,4005,,,,
3022057,100级首饰淬炼石,4005,,,,
3022039,80级秘银砧,4005,,,,
3022040,90级秘银砧,4005,,,,
3022041,100级秘银砧,4005,,,,
3022035,40级秘银砧,4005,,,,
1400201,战斗加速糖,11880,,,,
1400301,幸运打宝糖,11880,,,,
2034003,头饰水晶,11880,,,,
2090043,1星药剂自选包,11880,,18001,,
2090022,1星料理自选包,11880,,18001,,
3027002,佣兵中级古卷,11880,,,,
3026006,小声望箱子,11880,,,,
2090019,zeny袋子,11880,,18001,,
1090028,好吃的草莓松饼,,,14010,,松饼屋
1090029,好吃的可可松饼,,,14010,,松饼屋
1090030,好吃的蛋黄松饼,,,14010,,松饼屋
1090031,好吃的芋泥松饼,,,14010,,松饼屋
1090032,好吃的桂花松饼,,,14010,,松饼屋
1090033,好吃的神秘松饼,,,14010,,松饼屋
1070170,2020纪念松饼拼盘,,,14010,,松饼屋
1080045,飞行员墨镜,,,,韩服,通行证1
1080046,迷彩贴纸,,,,韩服,通行证1
1070182,飞行员头盔,,,,韩服,通行证1
1100012,飞行员背包,,,,韩服,通行证1
1010041,飞行员特工,,,,韩服,通行证1
1010042,飞行员特工,,,,韩服,通行证1
3010111,绅士兔背饰礼盒,,,,韩服,秋夕抽奖
3010112,温柔兔背饰礼盒,,,,韩服,秋夕抽奖
1070169,瞌睡兔,,,,韩服,秋夕抽奖
1080038,兔子眼镜,,,,韩服,秋夕抽奖
1090027,兔子烟斗,,,,韩服,秋夕抽奖
1010023,两小无猜,,,,韩服,秋夕抽奖
1010024,两小无猜,,,,韩服,秋夕抽奖
1020031,月亮木马,,,,韩服,秋夕抽奖
2050003,纪念纹章,,,7014,,
2050010,时空之证,,5130,,,
2050001,公会之心,,117|15101,,,
1070196,惊奇派对帽子,,,,韩服,累充
1080055,派对纹面,,,,韩服,累充
1090049,小丑嘴,,,,韩服,累充
1010047,惊奇派对,,,,韩服,累充
1010048,惊奇派对,,,,韩服,累充
1070104,红花女冠,,,,韩服,累充
1070095,使道帽子,,,,韩服,累充
1010021,传统韩服,,,,韩服,累充
1010022,传统韩服,,,,韩服,累充
2062007,古典发型解锁券,,,,韩服,累充
2061012,质感碎发发型解锁券,,,,韩服,累充
1021045,驯鹿摩托车,,,,韩服,圣诞抽奖
1010049,圣诞快乐套装,,,,韩服,圣诞抽奖
1010050,圣诞快乐套装,,,,韩服,圣诞抽奖
1070208,圣诞驯鹿绒帽,,,,韩服,圣诞抽奖
1080057,圣诞眼镜,,,,韩服,圣诞抽奖
1090051,姜饼人饼干,,,,韩服,圣诞抽奖
1100016,圣诞礼物袋,,,,韩服,圣诞抽奖
2091509,一只小袜子,,,,韩服,圣诞抽奖
2091510,两只小袜子,,,,韩服,圣诞抽奖
2091511,三只小袜子,,,,韩服,圣诞抽奖
2091512,四只小袜子,,,,韩服,圣诞抽奖
2091513,五只小袜子,,,,韩服,圣诞抽奖
1010051,冬季羽绒服,,,,韩服,通行证2
1010052,冬季羽绒服,,,,韩服,通行证2
1010057,至高礼服,,10838,,日本,
1010058,至高礼服,,10838,,日本,
1070210,毛帽子,,,,韩服,通行证2
1070231,至高绅士帽,,10838,,日本,
1080058,雪人眼镜,,,,韩服,通行证2
1090053,冬日保暖口罩,,,,韩服,通行证2
1100017,雪娃娃气球,,,,韩服,通行证2
1070163,圣诞帽,,,30003,,堆雪人
1010037,奇妙南瓜套装,,,,韩服,通行证商店1
1010038,奇妙南瓜套装,,,,韩服,通行证商店1
1010035,医生cos装,,,,韩服,通行证商店1
1010036,护士cos装,,,,韩服,通行证商店1
1029023,设计图·魔法飞行扫把,,,,韩服,通行证商店1
1070179,神奇魔法帽,,,,韩服,通行证商店1
1070178,医用帽,,,,韩服,通行证商店1
1100011,万圣节气球束,,,,韩服,通行证商店1
1080040,邪恶纹面,,,,韩服,通行证商店1
