ID,Comment,Name,Type,Desc,BuffID,FunctionID,FunctionParameter,IconAtlas,IconName,Floor
命令ID（若为塔则填写entityID）,注释,命令名字,类型（1：战前攻击型祝福，2：战前防御型祝福，3：战前辅助型祝福,命令描述,BuffID（没有不填）,功能ID（1：陷阱塔2：怪物增殖3：高塔增殖4：高塔协议5：能量增补6：能量扩大）,功能参数（功能ID为5和6时，BUFFID=进度掉落提升比例）,图标图集,图标名字,层数（祝福可用层数）
1,探险指南针,探险指南针,3,在小地图上标识出精英怪的位置,3654301,,,Buffbox,UI_Icon_Dojo_TanXianZhiNanZhen.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
2,时间怀表,时间怀表,1,释放技能时有20%的概率增加20%移动速度并且减少40%的固定吟唱与可变吟唱，效果持续8s，内置CD为10s。,3654401,,,Buffbox,UI_Icon_Dojo_ShiJianHuaiBiao.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
3,能量扩大,能量扩大,3,精英怪血量提升20%，但是死亡后，获得进度提升30%,,6,3651501=30,Buffbox,UI_Icon_Dojo_NengLiangKuoDa.png,10|11|12|13|14|15|16|17|18|19|20|21|22
4,能量增补,能量增补,3,小怪攻击力提升20%，血量提升20%，但是死亡后，获得进度提升100%,,5,3651601=100,Buffbox,UI_Icon_Dojo_NengLiangZengBu.png,10|11|12|13|14|15|16|17|18|19|20|21|22
5,神圣之怒,神圣之怒,1,用治愈术治疗时，对治疗目标附近敌人造成AOE伤害,5152601,,,Buffbox,UI_Common_Icon_Buff_ShenShengZhiNu.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
6,替身,替身,2,使用装死后，会在原地留下一个替身，持续吸引怪物注意，并回复当前30%血量。2分钟可触发一次,3650701,,,Buffbox,UI_Icon_Dojo_TiShen.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
7,粉碎攻击,粉碎攻击,1,攻击时有15%概率对附近造成固定范围伤害,3650101,,,Buffbox,UI_Icon_Dojo_FenSuiGongJi.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
8,速度汲取,速度汲取,1,击杀怪物后，会获得30%的加速，持续5秒，CD3秒,3650801,,,Buffbox,UI_Icon_Dojo_SuDuJiQu.png,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
9,龙羽,龙羽,3,脱战后3秒钟会获得50%加速，进战后加速取消,3650201,,,Buffbox,UI_Icon_Dojo_LongYu.png,10|11|12|13|14|15|16|17|18|19|20|21|22
10,坚硬面具,坚硬面具,2,当周围怪物数量多于5个时，有概率免疫伤害,3650401,,,Buffbox,UI_Icon_Dojo_JianYingMianJu.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
11,弱点洞察,弱点洞察,1,攻击目标背面时获得100%增伤,3654701,,,Buffbox,UI_Icon_Dojo_RuoDianDongCha.png,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
12,紧急避险,紧急避险,2,生命值低于1%时无敌2秒，并进入隐匿状态，加速30%，持续2S。CD6分钟,3651201,,,Buffbox,UI_Icon_Dojo_JinJiBiXian.png,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
13,开场强化,开场强化,3,每层开始10S内，增加40%移速,3650501,,,Buffbox,UI_Icon_Dojo_KaiChangQiangHua.png,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
14,硬化皮肤,硬化皮肤,2,增加自身各种抗性20%,3650601,,,Buffbox,UI_Icon_Dojo_YingHuaPiFu.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
15,嗜血渴望,嗜血渴望,1,每次击杀怪物，增加2%的生命值，仅本层生效,3651001,,,Buffbox,UI_Icon_Dojo_ShiXueKeWang.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
16,高塔协议,高塔协议,3,与塔交互后立即刷出一只精英怪,,4,,Buffbox,UI_Icon_Dojo_GaoTaXieYi.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
17,高塔增殖,高塔增殖,3,每层中出现的高塔数量增加,,3,,Buffbox,UI_Icon_Dojo_GaoTaZengZhi.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
18,怪物增殖,怪物增殖,3,怪物数量提升10%,,2,,Buffbox,UI_Icon_Dojo_GuaiWuZengZhi.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
19,濒死复生,濒死复生,2,受治疗量增加50%，且自身生命值小于20%时，受到的所有伤害减少50%,3651701,,,Buffbox,UI_Icon_Dojo_SiErFuSheng.png,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
29312,高速塔,高速塔,,吟唱时间大幅度减少，攻速提升，刀刀暴击，持续20秒,3651901,,,,,
29313,陷阱塔,陷阱塔,,,,1,,,,
29314,威能塔,威能塔,,物理攻击，魔法攻击提升200%，持续15秒,3652001,,,,,
29315,无敌塔,无敌塔,,无敌，持续10秒,3652101,,,,,
29316,回避塔,回避塔,,每3秒回复10%的血量和蓝量，并增加闪避率，持续30秒,3652201,,,,,
29317,净化塔,净化塔,,可解除中毒，沉默，黑暗，冰冻，诅咒，混乱效果,3652301,,,,,
29318,奥术塔,奥术塔,,减少公共技能冷却时间以及60%的魔法消耗，持续30秒,3652401,,,,,
