SkillEffectId,UUID
编号,唯一Id，程序用
1,Player_Novice|Player_Novice_GongJi_1|0|0|0
2,Player_Swordman|Player_Swordman_NuBao|0|0|0
3,Player_Swordman|Player_Swordman_BaTi|0|0|0
4,Player_Swordman|Player_Swordman_KuangJi|0|0|0
5,Player_Magician|Player_Magician_BingJianShu_01|0|0|0
6,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
7,Player_Magician|Player_Magician_BaoFengXue|0|0|0
8,Player_Hunter|Player_Hunter_ChuanYunJianZhuangBei|0|0|0
9,Player_Magician|Player_Magician_HuoYanZhiBi_01|0|0|0
10,Player_Acolyte|Player_Acolyte_TianShiZhiCiFu|0|0|0
11,Player_Priest|Player_Priest_SaShuiQiFu|0|0|0
12,Player_Acolyte|Player_Acolyte_FuHuoShu|0|0|0
500101,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500102,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500103,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500104,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500105,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500106,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500107,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500108,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500109,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500110,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0
500201,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0
500202,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0
500203,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0
500301,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500302,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500303,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500304,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500305,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500306,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
