AnnouncementId,Comment,Desc,TextId,Args
公告ID,注释,文本参考,文本ID（ChineseTable）,发给客户端的参数（1. 只有击杀者 2. 击杀者和连杀次数 3. 击杀者、被击杀者和连杀次数 4.击杀者和被击杀者 5.击杀者、击杀者的公会和连杀数 6. 击杀者、被击杀者、击杀者的公会和被击杀者的连杀数）
1,多杀（我方）,{0}达成{1}连杀！,<color=$$Blue$$>{0}</color>达成<color=$$Yellow$$>{1}</color>连杀！,2
2,多杀（敌方）,{0}达成{1}连杀！,<color=$$Red$$>{0}</color>达成<color=$$Yellow$$>{1}</color>连杀！,2
3,我方4连杀,{0}主宰比赛！,<color=$$Blue$$>{0}</color>主宰比赛！,1
4,敌方4连杀,{0}主宰比赛！,<color=$$Red$$>{0}</color>主宰比赛！,1
5,我方5连杀,{0}暴走中！,<color=$$Blue$$>{0}</color>暴走中！,1
6,敌方5连杀,{0}暴走中！,<color=$$Red$$>{0}</color>暴走中！,1
7,我方6连杀,{0}无人能挡！,<color=$$Blue$$>{0}</color>无人能挡！,1
8,敌方6连杀,{0}无人能挡！,<color=$$Red$$>{0}</color>无人能挡！,1
9,我方7连杀,{0}接近神了！,<color=$$Blue$$>{0}</color>接近神了！,1
10,敌方7连杀,{0}接近神了！,<color=$$Red$$>{0}</color>接近神了！,1
11,我方8连杀,{0}超越神了！,<color=$$Blue$$>{0}</color>超神了！,1
12,敌方8连杀,{0}超越神了！,<color=$$Red$$>{0}</color>超神了！,1
13,我方终结连杀,{0}终结了{1}的{2}连杀！,<color=$$Blue$$>{0}</color>终结了<color=$$Red$$>{1}</color>的<color=$$Yellow$$>{2}</color>连杀！,3
14,敌方终结连杀,{0}终结了{1}的{2}连杀！,<color=$$Red$$>{0}</color>终结了<color=$$Blue$$>{1}</color>的<color=$$Yellow$$>{2}</color>连杀！,3
15,击杀（我方）,{0}击杀了{1}！,<color=$$Blue$$>{0}</color>击杀了<color=$$Red$$>{1}</color>！,4
16,击杀（敌方）,{0}击杀了{1}！,<color=$$Red$$>{0}</color>击杀了<color=$$Blue$$>{1}</color>！,4
17,击破大门（我方）,{0}破坏了敌方基地大门，快去破坏敌方水晶！,<color=$$Blue$$>{0}</color>破坏了敌方基地大门，快去击破敌方水晶！,1
18,击破大门（敌方）,{0}破坏了我方基地大门，快去保护我方水晶！,<color=$$Red$$>{0}</color>破坏了我方基地大门，快去保护我方水晶！,1
19,占领充能石柱（我方）,{0}占领了充能石柱！,<color=$$Blue$$>{0}</color>占领了充能石柱，开始为大炮充能！,1
20,占领充能石柱（敌方）,充能石柱被{0}占领了！,充能石柱被<color=$$Red$$>{0}</color>占领了！,1
21,占领召唤石碑（我方）,{0}占领了召唤石碑！,<color=$$Blue$$>{0}</color>占领了召唤石碑，召唤了守护者！,1
22,占领召唤石碑（敌方）,召唤石碑被{0}占领了！,召唤石碑被<color=$$Red$$>{0}</color>占领，请注意防范守护者！,1
23,我方首杀后,阵营首杀,击杀对面玩家到达一定数量可以给炮台充能！,1
24,n连杀-GVG用,{1}的{0}达成{2}连杀！,<color=$$Yellow$$>{1}</color>的<color=$$Yellow$$>{0}</color>达成<color=$$Yellow$$>{2}</color>连杀！,5
25,终结连杀-GVG用,{2}的{0}终结了{1}的{3}连杀！,<color=$$Yellow$$>{2}</color>的<color=$$Yellow$$>{0}</color>终结了<color=$$Yellow$$>{1}</color>的<color=$$Yellow$$>{3}</color>连杀！,6
