AwardId,PackIds,PackRates,BindInfo,Name,AwardType,PreviewType,PreviewItem,PreviewNum,PreviewCount,PreviewLuaFunction,LuckyPointPara,VipDouble,DropJudge,DropAllocation
奖励Id,奖励包Id,奖励包掉率(浮点),"绑定信息(0非绑1绑定)，与其他单独做的绑定规则是""与""的关系",奖励名称（备注用，不读取）,"奖励类型(0个人,1公共,2固定，3ROLL点，4翻牌,5自选)","预览类型(0无预览,1顺序全读,2读item,3权重取一个,4价值全读,5读lua脚本返回值，6区分显示免费道具和付费道具PreviewItem列2091111=2=1|3026006=5=0，最后一个参数为1为免费，0为付费）注：30日签到新增了一条协议，合并多个awardid一起发请求",预览道具,预览数字,道具数量,奖励预览调用的Lua脚本函数名,幸运值相关参数(格式：A=B=C)A：角色幸运值<=A时，触发补偿；B:0表示替换原产出，1表示额外产出；C:awardid；,会员卡,1:首刀玩家结算时所在队伍获得，2:尾刀玩家结算时所在队伍获得，3:造成过伤害的玩家所在队伍获得，4:按伤害权重分配到每个队伍（向上取整），5:按伤害权重随机一个队伍获得，6:采集物，7、伤害最高的队伍结算时获得奖励）,1:队伍所有人，2:队伍平均分配奖励，3:队伍等概率随机一个人，4:队伍按伤害占比随机一个人，
205110,205111,1,0,瓦尔基里套装大宝箱,0,1,,,,,,,,
205120,205121,1,0,瓦尔基里套装小宝箱,0,1,,,,,,,,
205130,205131,1,0,神话水晶匣,0,1,,,,,,,,
205140,205141,1,1,神话水晶自选匣,5,1,,,,,,,,
205210,205211,1,0,瓦尔基里套装大宝箱,0,1,,,,,,,,
205220,205221,1,0,瓦尔基里套装小宝箱,0,1,,,,,,,,
205230,205231,1,0,神话水晶匣,0,1,,,,,,,,
205240,205241,1,1,神话水晶自选匣,5,1,,,,,,,,
205300,205301,1,1,天空套二期第一章奖励1,0,1,,,,,,,,
205310,205311,1,1,天空套二期第一章奖励2,0,1,,,,,,,,
205320,205321,1,1,天空套二期第一章奖励3,0,1,,,,,,,,
205330,205331,1,1,天空套二期第一章奖励4,0,1,,,,,,,,
205340,205341,1,1,天空套二期第二章奖励1,0,1,,,,,,,,
205350,205351,1,1,天空套二期第二章奖励2,0,1,,,,,,,,
205360,205361,1,1,天空套二期第二章奖励3,0,1,,,,,,,,
205370,205371,1,1,天空套二期第二章奖励4,0,1,,,,,,,,
205380,205381,1,1,天空套二期第三章奖励1,0,1,,,,,,,,
205390,205391,1,1,天空套二期第三章奖励2,0,1,,,,,,,,
205400,205401,1,1,天空套二期第三章奖励3,0,1,,,,,,,,
205410,205411,1,1,天空套二期第三章奖励4,0,1,,,,,,,,
205420,205421,1,1,天空套二期第四章奖励1,0,1,,,,,,,,
205430,205431,1,1,天空套二期第四章奖励2,0,1,,,,,,,,
205440,205441,1,1,天空套二期第四章奖励3,0,1,,,,,,,,
205450,205451,1,1,天空套二期第四章奖励4,5,1,,,,,,,,
205460,205461,1,1,天空套二期第五章奖励1,0,1,,,,,,,,
205470,205471,1,1,天空套二期第五章奖励2,0,1,,,,,,,,
205480,205481,1,1,天空套二期第五章奖励3,0,1,,,,,,,,
205490,205491,1,1,天空套二期第五章奖励4,0,1,,,,,,,,
205500,205452,1,1,天空套二期第四章奖励4,5,1,,,,,,,,
205510,205511|205512,1|1,1|1,天空套二期第四章奖励4,0,1,,,,,,,,
1100000,1100001,1,1,强制十连扭蛋,0,,,,,,,,,
1100010,1100011,1,1,韩国615版本主线任务奖励--初心者登记,0,,,,,,,,,
1100020,1100021,1,1,韩国615版本主线任务奖励--领取初心者背包,0,,,,,,,,,
1100030,1100031,1,1,韩国615版本主线任务奖励--进入学院,0,,,,,,,,,
1100040,1100041,1,1,韩国615版本主线任务奖励--了解冒险生活,0,,,,,,,,,
1100050,1100051,1,1,韩国615版本主线任务奖励--拜访教授,0,,,,,,,,,
1100060,1100061,1,1,韩国615版本主线任务奖励--相机的使用,0,,,,,,,,,
1100070,1100071,1,1,韩国615版本主线任务奖励--前往训练场,0,,,,,,,,,
1100080,1100081,1,1,韩国615版本主线任务奖励--基础冒险知识I,0,,,,,,,,,
1100090,1100091,1,1,韩国615版本主线任务奖励--基础冒险知识,0,,,,,,,,,
1100100,1100101,1,1,韩国615版本主线任务奖励--实战训练,0,,,,,,,,,
1100110,1100111,1,1,韩国615版本主线任务奖励--致敬女武神,0,,,,,,,,,
1100120,1100121,1,1,韩国615版本主线任务奖励--女武神的考验,0,,,,,,,,,
1100130,1100131,1,1,韩国615版本主线任务奖励--结业仪式？,0,,,,,,,,,
1100140,1100141,1,1,韩国615版本主线任务奖励--结业仪式准备,0,,,,,,,,,
1100150,1100151,1,1,韩国615版本主线任务奖励--头饰的魅力,0,,,,,,,,,
1100160,1100161,1,1,韩国615版本主线任务奖励--冒险者的衣橱,0,,,,,,,,,
1100170,1100171,1,1,韩国615版本主线任务奖励--终于结业啦,0,,,,,,,,,
1100180,1100181,1,1,韩国615版本主线任务奖励--了解职业,0,,,,,,,,,
