ItemID,ItemName,ItemAtlas,ItemIcon,TypeTab,Subclass,SortID,LevelLimit,ItemQuality,IsRare,Star,ItemDescription,ItemDesType,SexLimit,Profession,Overlap,PromptFx,CanStorehouse,CanCart,CanQuick,RecycleValue,GuildUpsetPrice,ShowRecycleButton,QuickUse,AccessPrompt,CanUse,Weight,MerchantAddition,TimeType,CountTime,ParentID,IsFAQImport,TimeLimitRecycleValue,LocalizationArea,TaskItemAbandon
道具ID,道具名称,道具图集,道具图标,道具分类（1装备/2消耗品/3材料/4卡片/5背包内不分类/6时装/7背包外货币/8食谱/9任务道具/10生活职业道具/11头饰图纸/12置换器/13头像/14载具/15载具经验书/16卡片碎片）,道具子分类(前后端都读，前端用于显示分类，文本信息配置在ItemSubclassTable表；后端用于做功能),排序ID(大的在前),"使用等级（x|y,x=0时不设最低使用等级,y=-1时不设最高使用等级0|-1为全等级可用)",道具品质(1C/1B/3A/4S/0无品质不显示),是否稀有道具（在无限塔等副本中，获得稀有道具会弹Rare提示）,星级（主要是生活职业加工类产出显示用）,道具描述（支持可配置）,道具tips显示类型（0或者不填.直接显示道具描述；1.n个固定道具奖励礼包；2.n个道具随机奖励礼包；3.n个中选择其中1个选择礼包）,可用性别（0男1女2无限制）,可用职业（对应职业表中id）专有职业才能用配置5101=1,最大堆叠数量（不可叠加道具为1，叠加数量有上限）,背包中引导特效（需要特效时可能是直接在图标上画特效不用配置，也可能设置特效调用路径）,能否放入仓库,是否可放入手推车,能否放入快捷栏,回收价格\r\n（货币类型=货币数量）,公会拍卖底价（货币类型=货币数量）,是否显示回收按钮(1显示0不显示),快捷使用弹框（2为选择礼包自动弹出强制选择）,特殊获取提示（1需要特殊提示2添加高品质特效0不提示）,能否使用\r\n（服务器判定能否直接使用，配成0则不管什么情况下都不能使用）,道具负重,是否受商人高价卖出技能的修正，1受修正0不受,时效性类型（1不叠加时效性道具，即每个道具独立计算时间不叠加   2叠加时效性道具，相同道具进来之后会增加现在道具的有效时间    3根据活动时间销毁）,时效性参数（type1配置时间（秒）；type2配置时间（秒）；type3配置DailyActivitiesTable活动id ）,关联道具id,用于【卡普拉咨询】导入确认的字段，该字段用于导入数据时的判断字段，填1则在web后台会导入该行数据,节日活动回收列（itemid=数量，配置前核对该道具是否只有节日活动中用到）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),任务道具丢弃专用
3060002,一封信件(任务道具),Icon_ItemMaterial01,UI_icon_item_xinjian.png,9,901,109060002,0=-1,0,,,一封委托的信件，记载着相当重要的信息,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
3060003,波利碎片,Icon_ItemMaterial01,UI_icon_item_jielebijiejing.png,9,901,109060003,0=-1,0,,,波利身上掉落的特殊任务道具,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
3060004,泉水(任务道具),Icon_ItemConsumables01,UI_icon_item_shuishuxingdikangyaoshui.png,9,901,109060004,0=-1,0,,,浇花用的清澈泉水,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
3060005,推荐信,Icon_ItemMaterial01,UI_icon_item_xinjian.png,9,901,109060005,0=-1,0,,,推荐你的信件,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
3060006,圣水空瓶,Icon_ItemConsumables01,UI_icon_item_kongping.png,9,901,109060006,0=-1,0,,,一个空瓶子，使用后可以自动收集圣水,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
3060007,曼特疗伤药,Icon_ItemConsumables01,UI_icon_item_manteliaoshangyao.png,9,901,109060007,0=-1,0,,,以名为曼特的植物为原料制作而成的药品，可以让人暂时忘却苦痛的镇痛剂,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
3060008,检查仪器(任务道具),Icon_ItemConsumables01,UI_icon_item_fangdajing.png,9,901,109060008,0=-1,0,,,快速检查伤势用的仪器,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
3060009,疗伤药水(任务道具),Icon_ItemConsumables01,UI_icon_item_yaoshuired.png,9,901,109060009,0=-1,0,,,将红色的药草捣碎制成的体力恢复剂，可恢复少量HP,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
3060010,魔素碎片,Icon_ItemMaterial01,UI_icon_item_jielebijiejing.png,9,901,109060010,0=-1,0,,,蕴含魔素的魔物碎片,,2,0=0,99,0,0,0,0,,,0,0,,1,1,0,,,,,,,
