Id,LoopSlot,BornSlot,Weight
编号,闭环占格（不需要有序排列，任意填写即可，填写范围[1-36],出生点占格,权重
1,8|9|10|11|14|17|20|23|26|27|28|29,32,100
2,8|9|10|11|14|17|20|22|23|26|27|28|33|34,35,100
3,8|9|10|14|16|17|20|23|27|29|31|32|33|34,35,100
4,8|9|10|11|14|17|20|21|22|23|26|28|33|34,32,100
5,8|9|10|11|17|23|25|26|27|28|29,31,100
6,9|10|11|15|17|19|20|21|22|23|25|27|31|32,33,100
7,8|9|10|11|14|17|20|23|27|28|29,26,100
8,7|8|9|10|11|15|17|21|23|25|26|27|28,29,100
9,7|8|9|10|11|12|14|17|20|23|29,35,100
10,8|14|15|16|17|18|20|24|26|29|30|33|34|35,32,100
11,8|12|14|18|20|21|22|23|24|27|33,34,100
