DungeonsID,Comment,LevelRecommend,WareHouseID,Description,PicFile,UnitAttrType
副本ID,注释,推荐等级,随机库ID,描述,图片,怪物属性
7301,周一,40=49,1,魔神残留在米德加兹大陆的痕迹对火属性的怪物产生了影响，快使用水属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,火属性
7302,周一,50=59,1,魔神残留在米德加兹大陆的痕迹对火属性的怪物产生了影响，快使用水属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,火属性
7303,周一,60=69,1,魔神残留在米德加兹大陆的痕迹对火属性的怪物产生了影响，快使用水属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,火属性
7304,周一,70=79,1,魔神残留在米德加兹大陆的痕迹对火属性的怪物产生了影响，快使用水属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,火属性
7305,周一,80=89,1,魔神残留在米德加兹大陆的痕迹对火属性的怪物产生了影响，快使用水属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,火属性
7321,周二,40=49,2,魔神残留在米德加兹大陆的痕迹对地属性的怪物产生了影响，快使用火属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,地属性
7322,周二,50=59,2,魔神残留在米德加兹大陆的痕迹对地属性的怪物产生了影响，快使用火属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,地属性
7323,周二,60=69,2,魔神残留在米德加兹大陆的痕迹对地属性的怪物产生了影响，快使用火属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,地属性
7324,周二,70=79,2,魔神残留在米德加兹大陆的痕迹对地属性的怪物产生了影响，快使用火属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,地属性
