Category,Name,Comment,Value
分类,名字,注释,值
职业区分,MaxRole,开放职业数量,6
场景和视野,ViewGridCount,使用9宫格同步的场景显示人数,20
,ViewGridLen,视野格子大小,7
,ViewGridSec,更新视野秒数,2
,ViewGridCanBeSee,被看到的人数量限制,20
,ViewGridScene,使用9宫格同步的场景,1|2
,SceneWaitTimeout,场景loading等待时间,1
,CanEnterScene,限制EnterSceneReq可以进入的场景类型,1|2|3
,ModelCameraCullingDistance,客户端视野裁剪范围大小,25
,ViewGroupLen,视野大小,9
,BuffCallEntityRange,Buff召唤怪物范围大小,2
角色,EntityDeadTime,角色躺尸时间,5
仇恨,PerDamageHatred,每点伤害造成仇恨,1
,PerHealingHatred,每点治疗造成仇恨,0
,OverHatredPercent,仇恨溢出百分比,1000
,HatredExpression,仇恨时显示表情,10
,HatredAllienceRange,全局仇恨联动范围,6
复活,ReviveHP,复活时的血量百分比,20
,ReviveMP,复活时的蓝量百分比,20
,PveInstanceReviveHp,PVE副本复活时的血量百分比,20
,PvpInstanceReviveHp,PVP副本复活时的血量百分比,100
,TdInstanceReviveHp,塔防副本复活时的血量百分比,100
,ReviveBuff,复活时添加BUFF,17601
,PveInstanceReviveSp,PVE副本复活时的蓝量百分比,20
,PvpInstanceReviveSp,PVP副本复活时的蓝量百分比,100
,TdInstanceReviveSp,塔防副本复活时的蓝量百分比,100
,ReviveInsituItem,原地复活消耗道具的道具id,2031016
,ReviveInsituItemCost,死亡消耗的复活之证数量,1=5=1
,ReviveInsituItemLimit,最大使用复活之证连续原地复活次数,5
,FreeReviveActivity,无消耗原地复活的活动,11350001
,FreeReviveTips,无消耗原地复活提示,Free_ReviveTip
战斗,SingingBreakMaxHpPer,吟唱期间受到最大生命值百分比总伤害打断吟唱,2000
,TargetSelection,目标选取范围（通过AI节点等手段获取目标时的范围）,18
,MaxChooseRange,选取目标的最大范围（半径、米）（通过客户端点选TAB或技能无目标检索时的范围）,18
,FixSingTime,固定吟唱时间,0
,FixSingTimePercent,固定吟唱时间百分比,0
,FloatSingTime,可变吟唱时间,0
,FloatSingTimePercent,可变吟唱时间百分比,0
,RepelFriction,击退摩擦力,-3
,SkillRangeTypeValue,技能射程类型的值,4
,MaxCancelRange,自动取消选择的最大范围（米）,8
,MaxChooseTab,Tab选择的最大数量,4
,DeadBeatBackHPPer,死亡击退血量百分比,3000
,HudWordMinInterval,跳字最小间隔时间,0.068
,DeadBeatBackCurve,击退曲线,Curve/Skill_Repel_01
,TerrainChargePower,地形充能,4=50
,AssassinDoubleHandSkillID,刺客左右手修炼判定,510109
,PlayerTolerateRange,玩家技能吟唱距离容忍范围,6
,MonsterTolerateRange,怪物技能吟唱距离容忍范围,0.1
,DungeonsRefreshDelayTime,副本怪物Reset刷新延迟时间,3
,DungeonsDeleteDelayTime,副本怪物Reset删除延迟时间,2
,OnWaveResetTime,怪物Reset消失时间（表现）,0.3
,FearParam,恐惧效果参数：半径|单次寻路时间,8|3
,RidingSkillID,骑乘大嘴鸟所需技能ID,210106
,DualWieldNeedWeapon,刺客系可双持武器类型,1|2
,ExcludeReloadTables,战斗相关表格热更用,achievement_target|ActivityTimeScheduleDiceTable|AffixTable|AnimationTable|BuffConditionTypeTable|BuffEffectTypeTable|BusinessPriceTable|CarryItemTable|CookLevelTable|DailyActivitiesTable|DefaultEquipTable|DummyMutual|ElfTable|BuffStateEnum|HitTypeEnum|RaceEnum|EnvironmentWeatherTable|EquipReformTable|EquipTipsTable|ErrorTable|FightGroupTable|GiftLimitTable|GiftTable|JobAwardTable|MercenaryTable|MercenaryTalentTable|MerchantGuildTable|MonsterSuppressTable|NpcTable|OpenSystemTable|PaymentSignalTable|PaymentTable|PostcardDisplayTable|PostcardStringTable|ProbabilityDetails|ProbabilityInterface|RoleNurturanceTable|SceneObjTable|SceneTable|ServerBaseBonusTable|ServerJobBonusTable|ShopCommoditTable|ShopTable|TaskConditionTable|TaskDropTable|TaskExclusiveTable|TimeActivityTable|TimeGiftTable|TimeLimitActivityTable|TimeLimitTable|UndirectTeleport|VehicleColorationTable|WeaponPositionTable|WheelAttrTable|WheelReset|WheelSkillTable|WorldEventTable
,RoleOutOfCombatTime,角色脱离战斗时间（毫秒）,5000
,SitDownBuff,坐下时所加的buffID,906901
,DontAutoCombatSkills,学习后不会自动置入自动战斗栏的技能ID,600004|400006|300013|500005|500007|400014|400017|300015|300016|310108|310112|510112|700011|310204|100003|200003|400009|300007|500003|700003|600003|320206|320210
,MinHitInterval,最小受击间隔,0.1
,PVEBuffDegressionRadio,PVEBUFF递减的比例，适用于BCD类buff，下同,1
,PVEBuffDegressionInterval,PVE控制状态递减的间隔时间,1
,PVEBuffDegressionLimited,PVE递减BUFF的最短持续时间，小于此时间则buff被忽略,0
,PVPBuffDegressionRadio,PVPBUFF递减的比例，适用于BCD类buff,0.5
,PVPBuffDegressionInterval,PVE控制状态递减的间隔时间,15
,PVPBuffDegressionLimited,PVE递减BUFF的最短持续时间，小于此事件则buff被忽略,0.2
,PVPBeHitAttenuationLevel,PVP硬直递减档位（受击次数=最低硬直频率）,2=100|5=300
,PVPBeHitAttenuationCountTime,PVP硬直递减受击次数统计时间,10000
,PVPBeHitAttenuationDuration,PVP硬直递减持续时间,15000
,MasterFirstLearnExcludeNomalSkills,法师第一次习得远程法术时去除普攻,400010|400005|400001|400003|300001
,MaxCancelNotEnemyTargetRange,自动取消非敌方目标的最大距离（米）,20
,OneScreenRange,一屏范围值定义,15
,MaxQueueSlot,Buff宏最大技能孔数,6
,QueueSkillId,Buff宏技能ID,100000
,MaxComboSlot,连续技最大技能孔数,6
,ComboSkillId,连续技技能ID,99999
,SkillChangeColor,技能变色对应路径,ColorGradient/Color_SkillRim_Wu|ColorGradient/Color_SkillRim_Lei|ColorGradient/Color_SkillRim_Tu|ColorGradient/Color_SkillRim_Huo|ColorGradient/Color_SkillRim_Bing|ColorGradient/Color_SkillRim_Du|ColorGradient/Color_SkillRim_Guang|ColorGradient/Color_SkillRim_An|ColorGradient/Color_SkillRim_Nian|ColorGradient/Color_SkillRim_Wu|ColorGradient/Color_SkillRim_Wu
,SkillPreviewUrl,技能视频预览路径,http://ro-client.huanle.com/video/
,PassiveTriggerSkillCheckComboTime,武僧非主动习得技能连招延迟时间,3
,AutoDrugGuideOffLev,玩家大于等于该等级时，屏蔽自动喝药引导按钮,55
物品掉落,DropItemFreezeTime,掉落物冻结时间,1
,DropItemLockTime,掉落物锁定时间,5
,DropItemDisappearTime,掉落物消失时间,10
,DropItemLootDistance,掉落物可拾取距离,10
,DropNormalSpacing,普通掉落物品间距,0.5
,DropMvpSpacing,MVP掉落物品间距（米）,3
,DropItemLootSpeed,掉落物拾取时飞行速度（米/秒）,16
,DropMvpCanPickDistance,MVP掉落初始分配距离,8
MVP相关,MvpPartsInScore,MVP参与奖励最低积分要求,1
,MvpShowIconDistance,MVP显示辅助选中气泡距离,11
,MiniShowIconDistance,MINI显示辅助选中气泡距离,11
,MvpAwardScoreExpand,可以参与MVP团队奖分配的分数差,25
,MvpAwardMaxNum,可以参与MVP团队奖分配的最高队伍（单人）数量,3
,MvpFreshIgnorePathfindingScene,MVP刷新无视可否寻路的场景,502
MVP团队评分,FirstAttack,首刀,10
,DeathAttack,尾刀,25
,OutBattleTime,脱战间隔,30
,TeamScoreNum,团队计分人数,5
,TeamList,团队排名,100
无限塔相关,PveSceneTransitionTime,Pve副本里，开始load下一个场景的倒计时秒数,5
,TowerMinTeamSize,进入无限塔的最低队伍人数要求,1
,TowerLevelUiPanningSpeed,无限塔选层界面的平移速度（距离/秒）,2000
,TowerNextFloorCountDown,无限塔进入下一层倒计时（秒）,5
,NpcToMistyIsland,从伊斯鲁得去迷雾岛的npcid,1344
,NpcToIzlude,从迷雾岛返回伊斯鲁得的npcid,6210
副本相关,BossDeadSlowDownTime,BOSS死亡慢放时间,0
,BossDeadSlowDownRatio,BOSS死亡慢放频率,0
,TeamEnterDungeonConfirmTime,组队确认框持续时间（秒）,10
,DungeonResultExitTime,结算界面持续时间,7
,DungeonLuckyDrawExitTime,副本翻牌界面持续时间,8
,DungeonHeroChallengeExitTime,英雄挑战结算持续时间,12
,CheckSingleDungeonId,不勾选单人开始，则单人无法进入副本的副本id,7500
载具,FlyVehicleBuffID,上了飞行载具后，无敌buff生效,17301
属性加点,AddAttr_Auto,该等级以内默认加点，到了这个等级后清掉加点，返还素质点,40
场景特效,PortalEffectId,场景传送门特效,110005
低血量屏幕效果,LowBloodLine,低血量警示线百分比,30
,VeryLowBloodLine,极低血量警示线百分比,10
战场相关,EloRanges,战场Elo值区间段分隔点,400|700|1000|1300|1600|1900|2200|2500
,EloDefault,Elo初始值,1500
,OccupyingEffects,占领石柱石碑时的效果（废弃，即将要删掉）,7=140007|8=140006
,PowerStoneOccupyingEffects,占领石柱时的扩散光圈效果,0=140005|2=140004
,PowerStoneIdleEffects,石柱常驻待机效果,0=140002|2=140001|1=140003
,PowerStoneSwitchingEffects,石柱占领方切换效果,0=140007|2=140006
,FashionReplacePart,时装互斥替换,4=Fashion_M_JiJia_Body=2=Fist_009_Weapon=Fashion_M_JiJia_Body_Replace|4=Fashion_F_JiJia_Body=2=Fist_009_Weapon=Fashion_F_JiJia_Body_Replace
,SummonStoneOccupyingEffects,占领石碑时的扩散光圈效果,0=140015|2=140014
,SummonStoneIdleEffects,石碑常驻待机效果,0=140012|2=140011|1=140013
,SummonStoneSwitchingEffects,石碑占领方切换效果,0=140017|2=140016
,SummonStoneWarningTime,石碑被激活前多少秒发送警告提示,15
,BgMatchingGroupSize,匹配队列中，每x个队伍划为一个匹配组，组内每4个队伍匹配为一个房间,8
,BgMinTeamSize,战场最小组队人数（正常应该是5，可以调成1测试用）,5
,BgRewardAmountCap,玩家最多可以获得多少场战场的奖励（超出后还可以打战场，但没有奖励）,3
,BgWaitTimeAfterMatching,匹配成功之后的等待时间（主UI消失，显示倒计时即将进入战场）,3
,BgMatchingInterval,匹配间隔（单位：秒）,30
,BgWarningSummonStoneReady,石碑激活前的提示Message,100001
,BgWarningGuardianAlly,守护者被我方夺取的Message,100002
,BgWarningGuardianEnemy,守护者被敌方夺取的Message,100003
,BgWarningTeammateBeingGuardian,队友变身成守护者,100007
,BgWarningEnemyBeingGuardian,敌方玩家变身成守护者,100008
,BgWarningSummonStoneActive,石碑激活后的提示message,100009
,BgNotificationTime,战场公告时长（秒）,2
,BgMvpCameraAngleID,MVP展示用镜头ID（CameraAngle表）,20
,BgScreenShotCameraAngleID,结算时截屏用镜头ID（CameraAngle表）,60|61|62|63|64|65
,BgKillNumRecharge,战场杀人数充能配置（每X杀人数=充能值）,5=50
,BgMaxKillIcon,击杀王图标,UI_Settlement_Icon_04.png
,BgMaxDamageIcon,最高输出图标,UI_Settlement_Icon_05.png
,BgMaxAssistIcon,助攻王图标,UI_Settlement_Icon_07.png
,BgMaxHealIcon,最高治疗图标,UI_Settlement_Icon_08.png
,BgCloseDecreaseTime,结算界面减少时间（秒）,15
猎鹰跟随相关,EagleHeight,猎鹰跟随高度,-0.5
,FollowDistance,猎鹰最小跟随距离,1.3
,EagleX,猎鹰x轴偏移,-0.5
,EagleZ,猎鹰z轴偏移,0
圣歌试炼相关,TurnTableDuringTime,轮盘界面持续时间 秒,10
,EnterRoundTimes,每次开始的轮数,3
,SpecialActionID,拉动机关动作ID,1901
,DayAwardCount,每日奖励次数,3
,PraiseAppearRound,触发点赞轮数,5
,PraiseStayTime,点赞面板持续时间 秒,8
,MonsterAppearRadius,刷怪半径,53.6=9.3=71.2=3|63.3=9.3=71.2=3|51.7=9.3=62.7=3|65.8=9.3=62.7=3|58.5=9.3=58.7=3
,PromptLastTime,提示持续时间,3
,MonsterNumToBatch,开始分批刷怪的阈值,30
,RemainNumToFreshMonster,剩余X只怪时刷新下一批怪,5
,TurnMonsterTypeNum,每轮怪物的类型随机数量,3
,TreasureMonsterAwardID,宝箱怪奖励ID（做上限处理）,8000010
,RoundFinishDeleteBuffID,每轮结束删除BUFFID,33053|33054|33055|33056|33057|33060|33061|33062|33063|33064
,InnerRingCycleNumber,内圈转圈圈数配置,3=6
,OuterRingCycleNumber,外圈转圈圈数配置,3=6
,SwitchTurnTablePromptID,转转盘提示ID,202
,EventPromptID,怪物事件ID,203
双轮盘操作相关参数,MAX_CTRL_THUMB_DIS,映射圈像素上限,95
,MIN_CTRL_THUMB_DIS,映射圈像素下限,75
,MAX_CTRL_SKILL_RANGE,技能施法距离上限,7
,MIN_CTRL_SKILL_RANGE,技能施法距离下限,5
同屏显示规则,DisplayDistance,同屏显示规则范围（米）,7
,DisplayRefreshTime,同屏显示规则刷新时间（秒）,5
移动摇杆相关参数,VirtualTabActiveRange,摇杆轮盘响应范围（以左下角为起点百分比，x最小=x最大=y最小=y最大},0.0=0.35=0.0=0.6
,VirtualTabStickRange,摇杆轮盘中心范围（以左下角为起点百分比，x最小=x最大=y最小=y最大},0.1=0.3=0.18=0.4
,MovePanelSize,移动摇杆尺寸(底盘大小=中间摇杆大小）,176=72
,StretchMaxTouchInterval,拉伸双指最大时间间隔,0.3
,JoystickMinDis,摇杆最小可移动半径,20
转职试炼副本,CancelTransformationInJobTrial,转职试炼副本取消变身buffID,904701
,ChangeJobTrial,转职试炼副本ID,1500
,TransferEffectID,转职试炼副本变身特效ID,264
,ResetPropertyPointCost,属性点重置消耗,2023001=1
擂台相关,ArenaFactionMembers,阵营人数,3
,ArenaFactionPoints,每个阵营的点数,15
,ArenaMinLv,最低参加等级（冗余，有时间可以接其他BattleGroundLvRange表）,40
,ArenaMaxLv,最高参加等级,200
,ArenaTopFactionsCount,初始放在第二层的阵营数,0
,ArenaBattleRounds,总战斗轮数,5
,ArenaMatchingGroupSize,每层的阵营队列中，每x个阵营划为一个匹配组，组内匹配,30
,ArenaCountDownAfterMatching,匹配成功后进入第一轮战斗的倒计时（秒）,3
,ArenaCountDownBeforeBattle,场地内每轮战斗开始前的倒计时（秒）,10
,ArenaIntermissionTime,中场休息时间（秒）,60
,ArenaResultCountDown,结算界面退出倒计时（秒）,10
,ArenaRevivalCountDown,复活按钮上的倒计时（秒）,5
,ArenaAfkTime1,挂机警告弹窗出现的时间（秒）,10
,ArenaAfkTime2,挂机警告弹窗出现后不扣奖励的时间（秒）,10
,ArenaAfkTime3,扣除奖励到0的最大挂机时间,30
,ArenaWaitSceneId,擂台等候区场景id(开战前),1211
,ArenaWaitSceneIdAfterFight,擂台等候区场景id(开战后),1212
,ArenaRoundInterval,擂台每轮战斗之间的间隔时间（秒）,300
,EventPushInfoDisplayTime,限时活动推送通知UI弹窗的显示时间（秒）。该时间后会最小化,15
时空调查团相关配置,EventLastTime,事件持续时间（小时）,3
,EventMaxNum,事件最多存在个数,4
,EventTaskLimit,同时身上能有的奇遇任务数量,2
,EventDayLimitCount,每日奖励次数上限,1
,EventWeekLimitCount,每周奖励次数上限,30
,EventWarningTime1,奇闻剩余时间预警1（倒计时:单位分）,120
,EventWarningTime2,奇闻剩余时间预警2（倒计时:单位分）,60
,EventAcceptTeamNum,接任务队伍人数最低要求,2
,AssistNpcSceneID,福金助手场景ID,29
,AssistNpcID,帮助NPCID（福金助手）,11006
