ID,TypeID,Level,FightValue,EHP,EDPS,EHIT,EFLEE,EATK,EMATK,EDEF,EMDEF
ID,类型ID,等级,战斗力,期望血量,期望dps,期望命中,期望闪避,期望攻击力,期望魔法攻击,期望防御,期望魔法防御
10001,1,1,1002,1000,1,1,1,1,1,1,1
10002,1,2,1003,2000,1,1,1,1,1,1,1
10003,1,3,1004,3000,1,1,1,1,1,1,1
10004,1,4,1005,4000,1,1,1,1,1,1,1
10005,1,5,1006,5000,1,1,1,1,1,1,1
10006,1,6,1007,6000,1,1,1,1,1,1,1
10007,1,7,1008,7000,1,1,1,1,1,1,1
10008,1,8,1009,8000,1,1,1,1,1,1,1
10009,1,9,1010,9000,1,1,1,1,1,1,1
10010,1,10,1011,10000,1,1,1,1,1,1,1
10011,1,11,1012,11000,1,1,1,1,1,1,1
10012,1,12,1013,12000,1,1,1,1,1,1,1
10013,1,13,1014,13000,1,1,1,1,1,1,1
10014,1,14,1015,14000,1,1,1,1,1,1,1
10015,1,15,1016,15000,1,1,1,1,1,1,1
10016,1,16,1017,16000,1,1,1,1,1,1,1
10017,1,17,1018,17000,1,1,1,1,1,1,1
10018,1,18,1019,18000,1,1,1,1,1,1,1
10019,1,19,1020,19000,1,1,1,1,1,1,1
10020,1,20,1021,20000,1,1,1,1,1,1,1
10021,1,21,1022,21000,1,1,1,1,1,1,1
10022,1,22,1023,22000,1,1,1,1,1,1,1
10023,1,23,1024,23000,1,1,1,1,1,1,1
10024,1,24,1025,24000,1,1,1,1,1,1,1
10025,1,25,1026,25000,1,1,1,1,1,1,1
10026,1,26,1027,26000,1,1,1,1,1,1,1
10027,1,27,1028,27000,1,1,1,1,1,1,1
10028,1,28,1029,28000,1,1,1,1,1,1,1
10029,1,29,1030,29000,1,1,1,1,1,1,1
10030,1,30,1031,30000,1,1,1,1,1,1,1
10031,1,31,1032,31000,1,1,1,1,1,1,1
10032,1,32,1033,32000,1,1,1,1,1,1,1
10033,1,33,1034,33000,1,1,1,1,1,1,1
10034,1,34,1035,34000,1,1,1,1,1,1,1
10035,1,35,1036,35000,1,1,1,1,1,1,1
10036,1,36,1037,36000,1,1,1,1,1,1,1
10037,1,37,1038,37000,1,1,1,1,1,1,1
10038,1,38,1039,38000,1,1,1,1,1,1,1
10039,1,39,1040,39000,1,1,1,1,1,1,1
10040,1,40,1041,40000,1,1,1,1,1,1,1
10041,1,41,1042,41000,1,1,1,1,1,1,1
10042,1,42,1043,42000,1,1,1,1,1,1,1
10043,1,43,1044,43000,1,1,1,1,1,1,1
10044,1,44,1045,44000,1,1,1,1,1,1,1
10045,1,45,1046,45000,1,1,1,1,1,1,1
10046,1,46,1047,46000,1,1,1,1,1,1,1
10047,1,47,1048,47000,1,1,1,1,1,1,1
10048,1,48,1049,48000,1,1,1,1,1,1,1
10049,1,49,1050,49000,1,1,1,1,1,1,1
10050,1,50,1051,50000,1,1,1,1,1,1,1
10051,1,51,1052,51000,1,1,1,1,1,1,1
