Id,Probability,ProbabilityA,ProbabilityB,ProbabilityC,ProbabilityD,ProbabilityE,ProbabilityF,ProbabilityG,ProbabilityH,ProbabilityI,ProbabilityJ
index,原始概率,概率累进的累进概率,概率累进改的基础概率和线性概率,抽卡制的卡片张数,阀门制的阀门,阀门制改的阀门,概率累进加阀门,阀门2,挖宝保底,扭蛋保底,抽奖活动保底（LotteryPropTable中）
1,0.0000005,0.000000016,0.00005=0.000000008,2000000,2000000,2000000,0.000000016=20000,2000000,2000000=0.00009999,,1=0.0001|2=0.0005|3=0.0008|4=0.005|5=0.3|6=0.5|7=0.8|8=1
2,0.0000006,0.000000016,0.00005=0.000000008,1666667,1666667,1666667,0.000000016=20000,1666667,2000000=0.00009999,,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.1|6=0.25|7=0.65|8=1
3,0.00000066,0.000000016,0.00005=0.000000008,1515151,1515151,1515151,0.000000016=20000,1515151,2000000=0.00009999,,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.1|6=0.25|7=0.65|8=1
4,0.0000008,0.000000016,0.00005=0.000000008,1250000,1250000,1250000,0.000000016=20000,1250000,1250000=0.00009999,,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.1|6=0.25|7=0.65|8=1
5,0.000001,0.000000016,0.00005=0.000000008,1000000,1000000,1000000,0.000000016=20000,1000000,1000000=0.00009999,,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.1|6=0.25|7=0.65|8=1
6,0.0000012,0.000000016,0.00005=0.000000008,833333,833333,833333,0.000000016=20000,833333,1000000=0.00009999,,
7,0.0000013,0.000000016,0.00005=0.000000008,769231,769231,769231,0.000000016=20000,769231,1000000=0.00009999,,1=0.0001|2=0.0001|3=0.0002|4=0.0003|5=0.0005|6=0.01|7=0.012|8=0.015|9=0.03|10=0.2|11=0.47|12=1
8,0.00000132,0.000000016,0.00005=0.000000008,757575,757575,757575,0.000000016=20000,757575,1000000=0.00009999,,1=0.0001|2=0.0001|3=0.0002|4=0.0003|5=0.0005|6=0.01|7=0.012|8=0.015|9=0.03|10=0.2|11=0.47|12=1
9,0.00000143,0.000000016,0.00005=0.000000008,699300,699300,699300,0.000000016=20000,699300,1000000=0.00009999,,1=0.0001|2=0.0001|3=0.0002|4=0.0003|5=0.0005|6=0.01|7=0.012|8=0.015|9=0.03|10=0.2|11=0.47|12=1
10,0.0000015,0.000000016,0.00005=0.000000008,666667,666667,666667,0.000000016=20000,666667,666667=0.00009999,,1=0.0001|2=0.0001|3=0.0001|4=0.0003|5=0.0005|6=0.001|7=0.012|8=0.015|9=0.03|10=0.2|11=0.47|12=1
11,0.00000152,0.000000016,0.00005=0.000000008,657895,657895,657895,0.000000016=20000,657895,666667=0.00009999,,1=0.0001|2=0.0001|3=0.0001|4=0.0003|5=0.0005|6=0.001|7=0.012|8=0.015|9=0.03|10=0.2|11=0.47|12=1
12,0.00001622,0.000000016,0.00005=0.000000008,61652,61652,61652,0.000000016=20000,61652,666667=0.00009999,,1=0.0001|2=0.0001|3=0.0001|4=0.0003|5=0.0005|6=0.001|7=0.012|8=0.015|9=0.03|10=0.2|11=0.47|12=1
13,0.00000195,0.000000016,0.00005=0.000000008,512821,512821,512821,0.000000016=20000,512821,666667=0.00009999,,
14,0.000002,0.000000016,0.00005=0.000000009,400000,400000,400000,0.000000016=20001,400000,333333=0.00009999,,
15,0.00000254,0.000000016,0.00005=0.000000009,393700,393700,393700,0.000000016=20001,393700,333333=0.00009999,,
16,0.0000026,0.000000016,0.00005=0.000000009,307692,307692,307692,0.000000016=20001,307692,333333=0.00009999,,
17,0.00000264,0.000000016,0.00005=0.000000009,378788,378788,378788,0.000000016=20001,378788,333333=0.00009999,,
18,0.00000286,0.000000016,0.00005=0.000000009,349650,349650,349650,0.000000016=20001,349650,333333=0.00009999,,
19,0.000003,0.000000016,0.00005=0.000000010,333333,333333,333333,0.000000016=20002,333333,333333=0.00009999,,1=0
20,0.000003048,0.000000016,0.00005=0.000000010,328084,328084,328084,0.000000016=20002,328084,333333=0.00009999,,1=0
21,0.00000312,0.000000016,0.00005=0.000000010,320000,320000,320000,0.000000016=20002,320000,333333=0.00009999,,
22,0.00000342,0.000000016,0.00005=0.000000010,292398,292398,292398,0.000000016=20002,292398,333333=0.00009999,,
23,0.00000379,0.000000016,0.00005=0.000000010,263850,263850,263850,0.000000016=20002,263850,333333=0.00009999,,
24,0.000004,0.000000016,0.00005=0.000000010,200000,200000,200000,0.000000016=20002,200000,166667=0.00009999,,1=0
25,0.00000405,0.000000016,0.00005=0.000000010,246914,246914,246914,0.000000016=20002,246914,166667=0.00009999,,
26,0.00000508,0.000000016,0.00005=0.000000010,196850,196850,196850,0.000000016=20002,196850,166667=0.00009999,,
