EyeStyleID,Colour,Tag,ItemCost,MoneyCost,AttrLuxury,AttrMaturity,AttrElegancy,AttrRomance,AttrDarkTone
眼睛颜色ID,颜色,标记,道具消耗,货币消耗（1铜币 2喵喵果实）,简约-100<=>华丽100,活泼-100<=>成熟100,邪气-100<=>正义100,清凉-100<=>保暖100,亮色-100<=>暗色100
1,黄,Head_Common_M_Default_Huang,2060010=1|2060004=1,101=50000,50,-50,50,50,-20
2,绿,Head_Common_M_Default_LV,2060010=1|2060006=1,101=50000,50,-50,-50,50,20
3,红,Head_Common_M_Default_Hong,2060010=1|2060003=1,101=50000,50,50,-50,50,-20
4,褐色,Head_Common_M_Default_HeSe,2060010=1|2060003=1|2060002=1,101=50000,-50,50,50,-50,40
5,粉,Head_Common_M_Default_Feng,2060010=1|2060003=1|2060001=1,101=50000,50,-50,50,50,-20
6,黑,Head_Common_M_Default_Hei,2060010=1|2060002=1,101=50000,-50,50,-50,-50,60
7,浅蓝,Head_Common_M_Default_QianLan,2060010=1|2060005=1|2060001=1,101=50000,50,-50,50,50,-40
8,紫色,Head_Common_M_Default_ZiSe,2060010=1|2060007=1,101=50000,-50,50,-50,-50,40
9,白,Head_Common_M_Default_Bai,2060010=1|2060001=1,101=50000,-50,-50,50,-50,-60
10,蓝,Head_Common_M_Default_Lan,2060010=1|2060005=1,101=50000,-50,50,-50,-50,20
11,金,Head_Common_M_Default_Jin,2060010=1|2060005=1,101=50000,-50,50,-50,-50,-40
