ID,Des,CutScenePath,CutSceneType,IsDistinguishSex,BGM,BGMCover,JumpType,IsBlackWordStart,NoSnapshot,Location,VideoLocation,ShareID,BlackCurtainId,Is2D,LocalizationArea
动画ID,描述,过场动画资源路径,动画类型（1：普通cutscene；2，视频；3，视频+普通）,过程动画是否需要区分性别来播放,剧情背景配音,背景音是否可覆盖,跳过模式（0不能跳过；1点击立即跳过；2长按跳过）,是否在播放时加一段黑幕做过渡（根据是效果来看，进入动画的时候如果比较硬，可以配1试试）,不播放快照（音量控制之类的，音效通知配不配）,播放完毕后主角位置,视频资源路径,分享ID,黑幕ID,是否是2Dcutscene,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,南门逗比绿帽军团,sc_nanmen_001/lvmaojuntuan001,1,0,CutScene/lvmaojuntuan001,1,1,1,,,,,,,
2,转职仪式,sc_zhuanzhidating_001/youxijuqing_timeline06,1,1,CutScene/youxijuqing_timeline06,1,1,1,,,,,,,
3,婚纱变装剧情,sc_pulongdela_001/youxijuqing_timeline03,1,0,CutScene/youxijuqing_timeline03,1,1,1,,,,,,,
4,芙蕾雅警告你,sc_pulongdela_001/youxijuqing_timeline04,1,0,CutScene/youxijuqing_timeline04,1,1,1,,,,,,,
5,拉比丝婚礼,sc_pulongdela_001/youxijuqing_timeline05,1,0,CutScene/youxijuqing_timeline05,1,1,1,,,,,,,
6,普隆德拉展示动画,sc_pulongdela_001/youxijuqing_timeline02,1,0,CutScene/youxijuqing_timeline02,1,1,1,,,,,,,
7,西门近战法师,sc_ximen_001/jinzhanfashi001,1,0,CutScene/jinzhanfashi001,1,1,1,,,,,,,
8,女骑士出场,sc_zhuanzhidating_001/nvqishichuchang001,1,0,CutScene/nvqishichuchang001,1,1,1,,,,,,,
9,小皇子出场,sc_pulongdela_001/huangzichuchang001,1,0,CutScene/huangzichuchang001,1,1,1,,,,,,,
10,小王子被抓走,sc_beimen_001/huangzibeijie001,1,0,CutScene/huangzibeijie001,1,1,1,,,,,,,
11,女骑士发现线索,sc_huanggong_001/faxianxiansuo001,1,0,CutScene/nvqishifaxianxiansuo,1,1,1,,,,,,,
12,新手训练场热气球,sc_xunlianchang_002/xunlianchang_001,1,0,CutScene/reqiqiu,1,0,1,,,,,,,
13,魔物学者线普隆德拉烟花,sc_pulongdela_001/fangyanhua_001,1,0,CutScene/fangyanhua_001,1,1,1,,,,,,,
14,鬼女约会cutscene,sc_feiyang_001/Cut002-1-2|sc_feiyang_001/Cut002-3|sc_feiyang_001/Cut002-4|sc_feiyang_001/Cut002-5,1,0,CutScene/guinvyuehui001,1,1,1,,,,,,,
15,鬼女变身cutscene,sc_feiyang_001/feiyang_guinv_01,1,0,CutScene/feiyang_guinv_01,1,1,1,,,,,,,
16,克莱尔复活cutscene,sc_jifenta_001/fuhuoqizi001,1,0,CutScene/kaerxizibao001,1,1,1,,,,,,,
17,狸猫偷窥情侣,sc_jifenxibu_001/limaotoukui001,1,0,CutScene/limaotoukui001,1,1,1,,,,,,,
18,卡尔西同归于尽cutscene,sc_jifenta_001/kaerxizibao001,1,0,,1,1,1,1,,,,,,
19,魔物学者一家做气球屋飞走,sc_ximen_001/Cut032,1,0,,1,1,1,1,,,,,,
20,人鱼故事,sc_boyiyalandao_001/Cut042_hg,1,0,CutScene/CutScene_020,1,1,1,1,,,10017,,,
101,1转剑士,sc_zzjs_001/zhuanzhi_timeline07,1,1,CutScene/zhuanzhi_timeline07,1,1,1,,,,,,,
102,1转服事,sc_zzms_001/zhuanzhi_timeline08,1,1,CutScene/zhuanzhi_timeline08,1,1,1,,,,,,,
103,1转弓手,sc_zzgjs_001/zhuanzhi_timeline09,1,1,CutScene/zhuanzhi_timeline09,1,1,1,,,,,,,
104,1转法师,sc_zzfs_001/zhuanzhi_timeline10,1,1,CutScene/zhuanzhi_timeline10,1,1,1,,,,,,,
105,1转盗贼,sc_zzdz_001/zhuanzhi_timeline11,1,1,CutScene/zhuanzhi_timeline11,1,1,1,,,,,,,
106,1转商人,sc_zzsr_001/zhuanzhi_timeline12,1,1,CutScene/zhuanzhi_timeline12,1,1,1,,,,,,,
111,2转剑士,sc_zzjs_001/zhuanzhi02_timeline07,1,1,CutScene/zhuanzhi02_timeline13,1,1,1,,,,,,,
112,2转服事,sc_zzms_001/zhuanzhi02_timeline08,1,1,CutScene/zhuanzhi02_timeline13,1,1,1,,,,,,,
113,2转弓手,sc_zzgjs_001/zhuanzhi02_timeline09,1,1,CutScene/zhuanzhi02_timeline13,1,1,1,,,,,,,
114,2转法师,sc_zzfs_001/zhuanzhi02_timeline10,1,1,CutScene/zhuanzhi02_timeline13,1,1,1,,,,,,,
115,2转盗贼,sc_zzdz_001/zhuanzhi02_timeline11,1,1,CutScene/zhuanzhi02_timeline13,1,1,1,,,,,,,
116,2转商人,sc_zzsr_001/zhuanzhi02_timeline12,1,1,CutScene/zhuanzhi02_timeline13,1,1,1,,,,,,,
1001,海盗船巴啦啦,sc_dungeon_haidaochuan/haidaochuan001,1,0,,1,1,1,1,,,,,,
1002,海盗船boss,sc_dungeon_haidaochuan/haidaochuan002,1,0,,1,1,1,1,,,,,,
1003,下水道boss,sc_dungeon_xiashuidaozhimi/judadumogu001,1,0,,1,1,1,1,,,,,,
1004,吉芬boss,sc_dungeon_jifendixia/siling001,1,0,,1,1,1,1,,,,,,
1005,吹牛厨师1,sc_beimen_001/timeline23,1,0,CutScene/timeline23,1,1,1,,,,,,,
1006,吹牛厨师2,sc_beimen_001/timeline24,1,0,CutScene/timeline24,1,1,1,,,,,,,
1007,吹牛铁匠,sc_beimen_001/beimen_tiejiangchuiniu_01,1,0,CutScene/beimen_tiejiangchuiniu_01,1,1,1,,,,,,,
1008,开场背景交代,sc_chushengdian_002/Cut001_hg,1,0,,1,1,1,1,,,,,,
1009,加点体验黑幕1,sc_huanjing_001/Cut102,1,0,,1,1,1,1,,,,,,
1010,加点体验黑幕2,sc_huanjing_001/Cut103,1,0,,1,1,1,1,,,,,,
1011,第二次封印：梦罗克幼体,sc_dungeon_fengyinmengluoke_001/CutBossBorn_MengLuoKeYouTi,2,,,,1,1,,,CutBossBornMengLuoKeYouTi.mp4,,,,
1012,第二次封印：梦罗克,sc_dungeon_fengyinmengluoke_001/CutBossBorn_MengLuoKe,2,,,,1,1,,,CutBossBornMengLuoKe.mp4,,,,
1013,塔防多人,sc_tafang_001/Cut_Scene_TianDiShu_01,2,,,,1,1,,,CutTianDiShu.mp4,,,,
1014,塔防单人,sc_tafang_002/Cut_Scene_TianDiShu_02,2,,,,1,1,,,CutTianDiShu.mp4,,,,
2001,装备制作,sc_jinglianwu_002/zhuangbeidazao001,1,0,CutScene/DuanZao,1,1,1,,,,,,,
100006,新手村进入游戏开场,sc_xinshoudating_001/Cut_ChuXinZheJinYouXiWuZiMu,1,0,,1,1,1,,,,,,,
100007,初心者训练相关1,sc_xunlianchang_002/Cut007,1,0,CutScene/CutScene_007,1,1,1,,,,,,,
100008,初心者训练相关2,sc_xunlianchang_002/Cut008,1,0,CutScene/CutScene_008,1,1,1,,,,,,,
100011,替代黑幕,sc_ximen_001/Cut-HeiMu,1,0,,1,1,1,1,,,,,,
100012,白女巫出场,sc_pulongdela_001/Cut012,1,0,CutScene/CutScene_012,1,1,1,,,,,,,
100013,背包被抢,sc_pulongdela_001/Cut011,1,0,CutScene/CutScene_011,1,1,1,,86.55=9.8=64.31=-88,,,,,
100014,黑夜大火,sc_pulongdela_001/Cut014-1|sc_pulongdela_001/Cut014-2|sc_pulongdela_001/Cut014-3|sc_pulongdela_001/Cut014-4|sc_pulongdela_001/Cut014-5|sc_pulongdela_001/Cut014-6,1,0,CutScene/CutScene_014,1,1,1,,,,,,,
100017,卫兵乱入,sc_beimen_001/cut017,1,0,CutScene/CutScene_017,1,1,1,,,,,,,
100018,吹牛晕倒,sc_beimen_001/Cut018,1,0,CutScene/CutScene_018,1,1,0,,,,,,,
100019,巴风特出场,sc_beimen_001/Cut019,1,0,CutScene/CutScene_019,1,1,1,,,,,,,
100025,鬼女魔化,sc_feiyang_001/Cut025,1,0,CutScene/CutScene_025,1,1,1,,,,,,,
100026,鬼女思念,sc_feiyang_001/Cut026,1,0,CutScene/CutScene_026,1,1,1,,,,,,,
100027,鬼女由来故事,sc_feiyang_001/Cut024_hg,1,0,CutScene/CutScene_027,1,1,1,,,,,,,
100028,拉乐西斯之死,sc_gebulinsenlin_001/Cut034_hg,1,0,CutScene/CutScene_028,1,1,1,,,,10009,,,
100029,宝妮遇袭,sc_jifendongbu_001/Cut023,1,0,CutScene/CutScene_023,1,1,1,,,,,,,
100030,麻略加娜出场,sc_heidian_001/Cut031,1,0,CutScene/CutScene_031,1,1,1,,,,,,,
100031,解锁灵魂碎片,sc_zzms_001/Cut021,1,0,CutScene/CutScene_021,1,1,1,,,,,,,
100032,遭遇露克希黑衣人,sc_nanmen_001/Cut010,1,0,CutScene/CutScene_010,1,1,1,,,,,,,
100033,Cut029宝妮被驱逐,sc_pulongdela_001/Cut029,1,0,CutScene/CutScene_029,1,1,1,,,,,,,
100034,建国神话MP4,sc_jifenguodu_001/Cut_JianGuoShenHuaWuZiMu,1,0,,1,1,1,,,,10006,,,
100035,爆炸的记忆,sc_xianzhedating_001/Cut033_hg,1,0,CutScene/CutScene_035,1,1,1,,,,10018,,,
100036,被盐化的场景,sc_mengluoke_001/Cut061,1,0,CutScene/CutScene_036,1,1,1,,,,10015,,,
100037,诡异的梦境,sc_mengluoke_001/Cut066,1,0,CutScene/CutScene_037,1,1,1,,,,10008,,,
100038,白女巫大战古娜,sc_jifenxibu_001/cut051,1,0,,1,1,1,,,,,,,
100039,古娜秘密基地,sc_dungeon_gnshiyanshi_001/Cut067_hg,1,0,,1,1,1,,,,,,,
100040,酒吧大乱斗,sc_heidian_001/Cut028,1,0,,1,1,1,,,,,,,
100041,剥离伊米尔之心,,1,,,,,,,,,,,,
100042,古城之谜,sc_machesenlin_001\cut_guchengzhimi,1,0,,1,1,1,,,,,,,
100043,白衣修士大战白女巫,,1,,,,,,,,,,,,
100044,巴雷蒙德施法,sc_xianzhedating_001\Cut100044,1,0,CutScene/CutScene_100044,1,1,1,,,,,,,
