ID,Description,ProbabilityVariation
唯一id（用于索引）,备注,"概率变动（次数=概率|次数=概率...，例如1=0.1|5=0.2, 第1-4次都是0.1，第5次为0.2"
1,冰雪,1=0.001|2=0.001|3=0.001|4=0.015|5=0.3|6=0.4|7=0.8|8=1
2,冰雪,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.002|6=0.01|7=0.05|8=0.15|9=0.3|10=0.5|11=0.8|12=1
3,冰雪,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.003|6=0.006|7=0.01|8=0.015|9=0.02|10=0.03|11=0.1|12=0.2|13=0.4|14=0.6|15=1|16=1
4,冰雪,1=0.0001|2=0.0002|3=0.0003|4=0.0006|5=0.0008|6=0.0015|7=0.0025|8=0.0045|9=0.006|10=0.008|11=0.011|12=0.02|13=0.03|14=0.04|15=0.055|16=0.1|17=0.3|18=0.7|19=1|20=1
5,冰雪,1=0.0001|2=0.0002|3=0.0003|4=0.0004|5=0.0005|6=0.0007|7=0.001|8=0.0012|9=0.0014|10=0.0016|11=0.002|12=0.004|13=0.0065|14=0.01|15=0.015|16=0.022|17=0.04|18=0.08|19=0.13|20=0.2|21=0.34|22=0.6|23=1|24=1
6,冰雪,1=0.0001|2=0.0002|3=0.0003|4=0.0004|5=0.0005|6=0.0007|7=0.001|8=0.0012|9=0.0014|10=0.0016|11=0.002|12=0.004|13=0.0065|14=0.01|15=0.015|16=0.022|17=0.04|18=0.08|19=0.13|20=0.2|21=0.34|22=0.6|23=1|24=1
7,春节,1=0.001|2=0.001|3=0.003|4=0.015|5=0.03|6=0.08|7=0.15|8=0.4|9=0.8|10=1
8,春节,1=0.001|2=0.001|3=0.003|4=0.015|5=0.03|6=0.08|7=0.15|8=0.4|9=0.8|10=1
9,春节,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.003|6=0.006|7=0.01|8=0.015|9=0.02|10=0.03|11=0.1|12=0.2|13=0.4|14=0.6|15=1|16=0
10,春节,1=0.0001|2=0.0002|3=0.0003|4=0.0006|5=0.0008|6=0.0015|7=0.0025|8=0.0045|9=0.006|10=0.008|11=0.011|12=0.02|13=0.03|14=0.04|15=0.055|16=0.1|17=0.3|18=0.7|19=1|20=0
11,春节,1=0.0001|2=0.0002|3=0.0003|4=0.0004|5=0.0005|6=0.0007|7=0.001|8=0.0012|9=0.0014|10=0.0016|11=0.002|12=0.004|13=0.0065|14=0.01|15=0.015|16=0.022|17=0.04|18=0.08|19=0.13|20=0.2|21=0.34|22=0.6|23=1|24=0
12,春节,1=0.0001|2=0.0002|3=0.0003|4=0.0004|5=0.0005|6=0.0007|7=0.001|8=0.0012|9=0.0014|10=0.0016|11=0.002|12=0.004|13=0.0065|14=0.01|15=0.015|16=0.022|17=0.04|18=0.08|19=0.13|20=0.2|21=0.34|22=0.6|23=1|24=0
13,春天的,1=0.001|2=0.001|3=0.003|4=0.015|5=0.03|6=0.08|7=0.15|8=0.4|9=0.8|10=1
14,春天的,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.003|6=0.006|7=0.01|8=0.015|9=0.02|10=0.03|11=0.1|12=0.2|13=0.4|14=0.6|15=1|16=0
15,春天的,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.003|6=0.006|7=0.01|8=0.015|9=0.02|10=0.03|11=0.1|12=0.2|13=0.4|14=0.6|15=1|16=0
16,春天的,1=0.0001|2=0.0002|3=0.0003|4=0.0004|5=0.0005|6=0.0007|7=0.001|8=0.0012|9=0.0014|10=0.0016|11=0.002|12=0.004|13=0.0065|14=0.01|15=0.015|16=0.022|17=0.04|18=0.08|19=0.13|20=0.2|21=0.34|22=0.6|23=1|24=0
17,春天的,1=0.0001|2=0.0002|3=0.0003|4=0.0004|5=0.0005|6=0.0007|7=0.001|8=0.0012|9=0.0014|10=0.0016|11=0.002|12=0.004|13=0.0065|14=0.01|15=0.015|16=0.022|17=0.04|18=0.08|19=0.13|20=0.2|21=0.34|22=0.6|23=1|24=0
18,春天的,1=0.0001|2=0.0002|3=0.0003|4=0.0004|5=0.0005|6=0.0007|7=0.001|8=0.0012|9=0.0014|10=0.0016|11=0.002|12=0.004|13=0.0065|14=0.01|15=0.015|16=0.022|17=0.04|18=0.08|19=0.13|20=0.2|21=0.34|22=0.6|23=1|24=0
19,日本玩具士兵扭蛋,1=0.005|20=1
20,日本齿轮扭蛋,30=1
21,日本预注册十连强制扭蛋,1=0|2=0.1|3=0.52|4=1
22,测试：20抽中1克拉,20=1
23,测试：40抽中2克拉,40=1
24,10次必出,10=1
25,测试：2次必出,2=1
26,夏日祭抽奖,1=0.001|2=0.001|3=0.003|4=0.015|5=0.03|6=0.08|7=0.15|8=0.4|9=0.8|10=1
27,夏日祭抽奖,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.003|6=0.006|7=0.01|8=0.015|9=0.02|10=0.03|11=0.1|12=0.2|13=0.4|14=0.6|15=1|16=0
28,夏日祭抽奖,1=0.0001|2=0.0002|3=0.0005|4=0.001|5=0.003|6=0.006|7=0.01|8=0.015|9=0.02|10=0.03|11=0.1|12=0.2|13=0.4|14=0.6|15=1|16=0
