SceneID,Comments,MaxEffectLevel,MaxPostType,MaxPlayerShadow,MaxRoleShadow,MaxNpcShadow,MaxMonsterShadow,MaxParticleCount,MaxModelCompeleteNum,IsDisplayRoleSimpleModel
场景ID,备注,特效等级(0-4),后处理效果(0-4),主角最大阴影等级(0-2),玩家最大阴影等级(0-2),npc最大阴影等级(0-2),怪物最大阴影等级(0-2),最大粒子数量,最大显示完整模型数量,超过最大完整模型数量是否显示简模
1002,PVP场景-普隆德拉,2=4,0=3,0=1,0=1,0=1,0=1,0=50,0=1,True
1101,PVP战场-峡谷1,0=2,0=2,0=1,0=1,0=1,0=1,0=50,0=3,True
1102,PVP战场-峡谷2,0=2,0=2,0=1,0=1,0=1,0=1,0=50,0=3,True
1103,PVP战场-峡谷3,0=2,0=2,0=1,0=1,0=1,0=1,0=50,0=3,True
1104,PVP战场-峡谷4,0=2,0=2,0=1,0=1,0=1,0=1,0=50,0=3,True
1105,PVP战场-峡谷5,0=2,0=2,0=1,0=1,0=1,0=1,0=50,0=3,True
1106,PVP战场-峡谷6,0=2,0=2,0=1,0=1,0=1,0=1,0=50,0=3,True
1107,PVP战场-峡谷7,0=2,0=2,0=1,0=1,0=1,0=1,0=50,0=3,True
1108,PVP战场-峡谷8,0=2,0=2,0=1,0=1,0=1,0=1,0=50,0=3,True
1201,组队等候区 1,0=2,0=3,0=1,0=1,0=1,0=1,0=50,0=1,False
1202,组队等候区 2,0=2,0=3,0=1,0=1,0=1,0=1,0=50,0=1,False
1203,组队等候区 3,0=2,0=3,0=1,0=1,0=1,0=1,0=50,0=1,False
1204,组队等候区 4,0=2,0=3,0=1,0=1,0=1,0=1,0=50,0=1,False
1205,组队等候区 5,0=2,0=3,0=1,0=1,0=1,0=1,0=50,0=1,False
1206,组队等候区 6,0=2,0=3,0=1,0=1,0=1,0=1,0=50,0=1,False
1207,组队等候区 7,0=2,0=3,0=1,0=1,0=1,0=1,0=50,0=1,False
1208,组队等候区 8,0=2,0=3,0=1,0=1,0=1,0=1,0=50,0=1,False
2067,灵魂碎片副本,2=4,1=4,0=2,0=2,0=2,0=1,0=50,0=3,False
2130,舞女记忆,2=4,1=4,0=2,0=2,0=2,0=1,0=50,0=3,False
2096,斐扬鬼女,2=4,1=4,0=2,0=2,0=2,0=1,0=50,0=3,False
