ID,Comment,Scenes,UnlockCurrency,UnlockCost,MonsterData
地城ID,注释,公会地城场景,解锁用货币,解锁费用,怪物wave数据（槽位=库ID=waveID=权重）
1,GVG普隆德拉1公会地城,1801,101,8000000,1=101=0=1|2=102=1=1|3=103=2=1|4=104=3=1|5=105=4=1|6=106=5=1|7=107=6=1
2,GVG普隆德拉2公会地城,1806,101,8000000,1=101=0=1|2=102=1=1|3=103=2=1|4=104=3=1|5=105=4=1|6=106=5=1|7=107=6=1
3,GVG普隆德拉3公会地城,1811,101,8000000,1=101=0=1|2=102=1=1|3=103=2=1|4=104=3=1|5=105=4=1|6=106=5=1|7=107=6=1
4,GVG普隆德拉4公会地城,1816,101,8000000,1=101=0=1|2=102=1=1|3=103=2=1|4=104=3=1|5=105=4=1|6=106=5=1|7=107=6=1
11,GVG吉芬1公会地城,1821,101,8000000,1=201=0=1|2=202=1=1|3=203=2=1|4=204=3=1|5=205=4=1|6=206=5=1|7=207=6=1
12,GVG吉芬2公会地城,1826,101,8000000,1=201=0=1|2=202=1=1|3=203=2=1|4=204=3=1|5=205=4=1|6=206=5=1|7=207=6=1
13,GVG吉芬3公会地城,1831,101,8000000,1=201=0=1|2=202=1=1|3=203=2=1|4=204=3=1|5=205=4=1|6=206=5=1|7=207=6=1
14,GVG吉芬4公会地城,1836,101,8000000,1=201=0=1|2=202=1=1|3=203=2=1|4=204=3=1|5=205=4=1|6=206=5=1|7=207=6=1
21,GVG斐扬1公会地城,1841,101,8000000,1=301=0=1|2=302=1=1|3=303=2=1|4=304=3=1|5=305=4=1|6=306=5=1|7=307=6=1
22,GVG斐扬2公会地城,1846,101,8000000,1=301=0=1|2=302=1=1|3=303=2=1|4=304=3=1|5=305=4=1|6=306=5=1|7=307=6=1
23,GVG斐扬3公会地城,1851,101,8000000,1=301=0=1|2=302=1=1|3=303=2=1|4=304=3=1|5=305=4=1|6=306=5=1|7=307=6=1
24,GVG斐扬4公会地城,1856,101,8000000,1=301=0=1|2=302=1=1|3=303=2=1|4=304=3=1|5=305=4=1|6=306=5=1|7=307=6=1
