BaseLv,Attrpoint
人物Base等级,升级获得素质点
1,0
2,3
3,3
4,3
5,3
6,4
7,4
8,4
9,4
10,4
11,53
12,5
13,5
14,5
15,5
16,6
17,6
18,6
19,6
20,6
21,7
22,7
23,7
24,7
25,7
26,8
27,8
28,8
29,8
30,8
31,9
32,9
33,9
34,9
35,9
36,10
37,10
38,10
39,10
40,10
41,11
42,11
43,11
44,11
45,11
46,12
47,12
48,12
49,12
50,12
51,13
52,13
53,13
54,13
55,13
56,14
57,14
58,14
59,14
60,14
61,15
62,15
63,15
64,15
65,15
66,16
67,16
68,16
69,16
70,16
71,17
72,17
73,17
74,17
75,17
76,18
77,18
78,18
79,18
80,18
81,19
82,19
83,19
84,19
85,19
86,20
87,20
88,20
89,20
90,20
91,21
92,21
93,21
94,21
95,21
96,22
97,22
98,22
99,22
100,22
101,23
102,23
103,23
104,23
105,23
106,23
107,23
108,23
109,23
110,23
111,24
112,24
113,24
114,24
115,24
116,24
117,24
118,24
119,24
120,24
121,25
122,25
123,25
124,25
125,25
126,25
127,25
128,25
129,25
130,25
131,26
132,26
133,26
134,26
135,26
136,26
137,26
138,26
139,26
140,26
141,27
142,27
143,27
144,27
145,27
146,27
147,27
148,27
149,27
150,27
151,28
152,28
153,28
154,28
155,28
156,28
157,28
158,28
159,28
160,28
161,29
162,29
163,29
164,29
165,29
166,29
167,29
168,29
169,29
170,29
171,30
172,30
173,30
174,30
175,30
176,30
177,30
178,30
179,30
180,30
181,31
182,31
183,31
184,31
185,31
186,31
187,31
188,31
189,31
190,31
191,32
192,32
193,32
194,32
195,32
196,32
197,32
198,32
199,32
200,32
