Id,WheelId,ProfessionId,Level,SkillOne,SkillTwo,Weight,Life,BornWeight,BorntimesLimit,ComposeWeight,ComposetimesLimit
Id,齿轮ID,职业Id,档次,技能20001库ID,技能20002库Id,负重,寿命（天）,属性生成权重,属性生成次数门槛,合成权重,合成次数门槛
1,3024022,2000,1,2000101,0,4,30,499999,0,499999,0
2,3024022,2000,2,2000102,0,4,30,434000,0,434000,0
3,3024022,2000,3,2000101,2000102,4,30,59000,0,59000,0
4,3024022,2000,4,2000101,2000102,3,30,7000,0,7000,0
5,3024022,3000,1,3000101,0,4,30,499999,0,499999,0
6,3024022,3000,2,3000102,0,4,30,434000,0,434000,0
7,3024022,3000,3,3000101,3000102,4,30,59000,0,59000,0
8,3024022,3000,4,3000101,3000102,3,30,7000,0,7000,0
9,3024022,4000,1,4000101,0,4,30,499999,0,499999,0
10,3024022,4000,2,4000102,0,4,30,434000,0,434000,0
11,3024022,4000,3,4000101,4000102,4,30,59000,0,59000,0
12,3024022,4000,4,4000101,4000102,3,30,7000,0,7000,0
13,3024022,5000,1,5000101,0,4,30,499999,0,499999,0
14,3024022,5000,2,5000102,0,4,30,434000,0,434000,0
15,3024022,5000,3,5000101,5000102,4,30,59000,0,59000,0
16,3024022,5000,4,5000101,5000102,3,30,7000,0,7000,0
17,3024022,6000,1,6000101,0,4,30,499999,0,499999,0
18,3024022,6000,2,6000102,0,4,30,434000,0,434000,0
19,3024022,6000,3,6000101,6000102,4,30,59000,0,59000,0
20,3024022,6000,4,6000101,6000102,3,30,7000,0,7000,0
21,3024022,7000,1,7000101,0,4,30,499999,0,499999,0
22,3024022,7000,2,7000102,0,4,30,434000,0,434000,0
23,3024022,7000,3,7000101,7000102,4,30,59000,0,59000,0
24,3024022,7000,4,7000101,7000102,3,30,7000,0,7000,0
31,3024023,2000,1,2000201,0,5,30,499999,0,499999,0
32,3024023,2000,2,2000202,0,5,30,434000,0,434000,0
33,3024023,2000,3,2000201,2000202,5,30,59000,0,59000,0
34,3024023,2000,4,2000201,2000202,4,30,7000,0,7000,0
35,3024023,3000,1,3000201,0,5,30,499999,0,499999,0
36,3024023,3000,2,3000202,0,5,30,434000,0,434000,0
37,3024023,3000,3,3000201,3000202,5,30,59000,0,59000,0
38,3024023,3000,4,3000201,3000202,4,30,7000,0,7000,0
39,3024023,4000,1,4000201,0,5,30,499999,0,499999,0
40,3024023,4000,2,4000202,0,5,30,434000,0,434000,0
41,3024023,4000,3,4000201,4000202,5,30,59000,0,59000,0
42,3024023,4000,4,4000201,4000202,4,30,7000,0,7000,0
43,3024023,5000,1,5000201,0,5,30,499999,0,499999,0
44,3024023,5000,2,5000202,0,5,30,434000,0,434000,0
45,3024023,5000,3,5000201,5000202,5,30,59000,0,59000,0
46,3024023,5000,4,5000201,5000202,4,30,7000,0,7000,0
47,3024023,6000,1,6000201,0,5,30,499999,0,499999,0
48,3024023,6000,2,6000202,0,5,30,434000,0,434000,0
49,3024023,6000,3,6000201,6000202,5,30,59000,0,59000,0
50,3024023,6000,4,6000201,6000202,4,30,7000,0,7000,0
51,3024023,7000,1,7000201,0,5,30,499999,0,499999,0
52,3024023,7000,2,7000202,0,5,30,434000,0,434000,0
53,3024023,7000,3,7000201,7000202,5,30,59000,0,59000,0
54,3024023,7000,4,7000201,7000202,4,30,7000,0,7000,0
55,3024024,2000,1,2000301,0,6,30,499999,0,499999,0
56,3024024,2000,2,2000302,0,6,30,434000,0,434000,0
