ID,Comment,ColumnName,ColumnWidth,PbVar,TemplateName,TextColor,OwnColor
ID,注释,列名,列宽度,对应Pb数据,列模板名字,颜色,玩家自己数据的颜色
1,个人榜-排名,排名,100,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
2,个人榜-分数,分数,100,score,RankNameTextTem,0.141|0.675|0.98|1,1|1|1|1
3,个人榜-玩家,玩家,230,name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
4,个人榜-职业,职业,160,profession,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
5,个人榜-时间,时间,100,timestamp,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
6,个人榜-通关时间（s）,通关时间,100,score&time,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
7,个人榜-段位,段位,250,members.rank_star_level,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
11,擂台榜-玩家,玩家,250,name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
12,擂台榜-职业,职业,250,profession,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
13,擂台榜-时间,日期,165,timestamp,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
1001,队伍榜-排名,排名,120,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
1002,队伍榜-分数,分数,120,score,RankNameTextTem,0.141|0.675|0.98|1,1|1|1|1
1003,队伍榜-队伍,队伍,305,name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
1004,队伍榜-时间,时间,120,timestamp,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
1005,队伍榜-通关时间（s）,通关时间,150,score&time,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
1006,极限挑战-日期,日期,120,timestamp,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
2001,博仁斯攻略战 个人榜-职业,职业,200,profession,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
3001,公会榜-排名,排名,100,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
3002,公会榜-积分,积分,150,score,RankNameTextTem,0.141|0.675|0.98|1,1|1|1|1
3003,公会榜-公会名,公会名,150,name,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
3004,公会榜-主要成员,主要成员,305,members,RankRowName_3,0.259|0.396|0.71|1,1|1|1|1
21,时尚度,排名,100,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
22,时尚度,时尚度,160,score,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
23,时尚度,玩家,160,name,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
31,载具特色度,排名,100,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
32,载具特色度,特色度,160,score,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
33,载具特色度,玩家,160,name,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
41,魔物研究-排名,排名,200,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
42,魔物研究-分数,分数,200,score,RankNameTextTem,0.141|0.675|0.98|1,1|1|1|1
43,魔物研究-玩家,玩家,200,name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
51,时空模拟战,玩家,160,name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
52,时空模拟战,职业,260,profession,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
53,时空模拟战,段位,175,members.rank_star_level,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
61,心之道场,排名,100,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
62,心之道场,层数,100,score&floor,RankNameTextTem,0.141|0.396|0.98|1,1|1|1|1
63,心之道场,通关时间,100,score&dojotime,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
64,心之道场,玩家,160,name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
65,心之道场,职业,100,profession,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
66,心之道场,日期,100,timestamp,RankNameTextTem,0.259|0.396|0.71|1,1|1|1|1
70,精炼行动-排名,排名,100,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
71,精炼行动-行动点,行动点,120,score,RankNameTextTem,0.141|0.675|0.98|1,1|1|1|1
72,精炼行动-玩家,玩家,120,name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
80,宠物排行,排名,100,rank,RankFigureTem,0.259|0.396|0.71|1,1|1|1|1
81,宠物排行,属性,100,score,RankNameTextTem,0.141|0.675|0.98|1,1|1|1|1
82,宠物排行,宠物名,200,pet_name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
83,宠物排行,玩家,200,pet_owner_name,RankRowNameTem,0.259|0.396|0.71|1,1|1|1|1
