TaskID,MajorID,Target,Describe,Awardid,BaseLimit,Weight,CountType,Route
任务ID,任务类型（1每日，2赛季任务，3周任务0聚宝盆）,目标条件先数量再类型，聚宝除外写死，达成数量|目标id|目标参数，没有参数就填0,条件描述,奖励,base等级限制,刷新权重,废弃,（1组队，2委托：1恶魔2猫手99委托，3代表活动|DailyActivitiesTable活动id，4打怪）
1,,,每日登录,2043020,,,,
2,,50,击杀50只魔物,2043030,,,,
3,,100,击杀100只魔物,2043040,,,,
4,,10,消耗10张委托券并完成委托,2043050,,,,
5,,20,消耗20张委托券并完成委托,2043060,,,,
6,,30,消耗30张委托券并完成委托,2043070,20,,,
7,,40,消耗40张委托券并完成委托,2043080,20,,,
8,,50,消耗50张委托券并完成委托,2043090,30,,,
9,,60,消耗60张委托券并完成委托,2043100,30,,,
10,,70,消耗70张委托券并完成委托,2043110,45,,,
11,,80,消耗80张委托券并完成委托,2043120,45,,,
