ThemeDungeonID,StoryDungeonID,NormalDungeonID,HardDungeonID,SingleDungeonID,ThemeName,SortChapterText,ChapterLevel,TeamTargetID,ScenePic,ChapterContent,LeaderID,LeaderDesc,LeaderFeatureDesc,LeaderFileDesc,LeaderName,Painting,ServerLv,IsRemove,LocalizationArea
主题副本ID,对应副本ID（DungeonTable的ID）,,,,主题名称,章节排序文字,章节等级,队伍目标ID（对应TeamTargetTable）,场景图片,章节介绍,首领ID,首领介绍,首领特性,首领档案,首领名称,首领立绘,服务器开启等级（挑战模式用）,"是否移除随机库（默认0,移除填1）",本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,4050,4051,4052,4053,北方异变之森,章节·一,30,2001,Themearround\UI_ThemeArround_Img_Fuben_beifangyibian.png,　　相传北部森林迷宫在卢恩建国前就存在了，神秘的森林中包裹着浓雾，每一次进入的路线都不一样，似乎都是这片森林婉拒外人的礼节。\n　　但是我知道，那只是妖精的把戏而已。\n　　这片森林被妖精的法术重重围住，是为了保护最中间那一层不被外人染指。也许妖精们几千年前造访了这里，将什么贵重的物品留在了这片森林中，不想让人触碰到。\n　　也可能妖精们压根就忘了取走。\n　　或许这北森就是妖精建的。\n　　……\n　　不行了，注意力根本无法集中，亚尔维斯那个家伙，怎么还是那么冲动，说好了等我从妙勒尼回来再一起去北森探查异动，结果还是先闯了进去，现在已经失联一周了……\n　　最近北森附近的魔物暴动，加之城内传出北森里发现巨大羊角恶魔的传闻……我敢肯定有什么人发现了北森妖精留下的秘密。\n　　因为巴风特，早在几百年前就被修士封印在修道院了，几周前我亲自确认了封印的完好。\n　　远远的从普隆德拉北郊眺望北森迷宫，它就好像一个巨大的深渊。\n　　亚尔维斯进入北森前寄给我的信，已经被我捏的有些发软。\n　　要挺住啊！我们来找你了……\n　　　　　　　　　摘自《大贤者回忆录》卷一：“普隆德拉魔物危机”,9801,　　凯思利亚斯，人称“白色牢笼”，从小体质异常，比常人更容易亲近各种元素精灵，接受了元素禁术的洗礼。\n　　皮肤相比常人更容易凝聚元素力量，法术极具破坏性，智商也是非常的高，深得教皇一族喜爱。\n　　是白女巫手下的得力助手，并且是白女巫的风系法术教师。,　　相传凯思利亚斯拥有一把克罗诺斯法杖，顶部卧着一只慵懒的伪龙。\n　　但如果你以为这就是他的所有，并且和他战斗时掉以轻心，那就大错特错了，教国的白色牢笼随时可能从身边悄悄抽出藏在虚空中的布里希嘉曼之剑，给胆敢冒犯的入侵者致命一击……,　　北部森林迷宫坐落普隆德拉北方，这里世代是妖精的家园。\n　　每年除了个别胆大的猎人迷失其中了无音讯以外也倒一直相安无事，直到“白色牢笼”盯上了这里……\n　　若还没有准备好接受漫天雷暴，最好的方法就是收起你的勇气，然后离开这里。,凯思利亚斯,ThemearroundKing\Dungeons01Boss.png,30,,0
2,4000,4001,4002,4003,普隆德拉下水道,章节·二,40,2002,Themearround\UI_ThemeArround_Img_Fuben_pulongdelaxiashuidao.png,　　当我把最后一片魔力水晶放入法阵中，分离位面的仪式魔法就全部完成了。六片水晶的魔法波动呼应起来，连成了一个熟悉的六芒星法阵。巨大的念属性魔力将无属性和四元素属性无情的撕裂开，而隐藏在首都下水道中的秘密，也随着这夺目的魔法光芒即将揭开。\n　　在本该是下水道角落的位置，赫然出现了一条隐藏的道路，下面除了腐坏孢子的气味，下水道的恶臭，还有一股熟悉的化学试剂味，这和我在雷根修卢实验室研究伊米尔之心复制品时经常闻到的味道一模一样。\n　　我心头一沉——难道驭神之力的爪牙已经开始利用魔物实验他们的渎神物？\n　　一旁的信徒把伊米尔之心侦测仪递给我，上面的读数印证了我的想法——读数条已经把仪表盘涨破了。\n　　我长叹了一口气：首都下水道魔物激增的信息是在半年前就传出的。半年时间，天知道那帮疯子会利用渎神物造出个什么样恐怖的魔物呢？\n　　我黑着脸吩咐信徒们做好战斗准备，他们立刻警惕起来，估计从我低沉的声音中感觉到，这地方危险程度绝对远超以前的任何一次行动。\n　　我拉起斗篷的兜帽，遮住我铁青的脸。随后和全副武装的信徒进入了这片污浊的下水道隐藏通路。\n　　　　　　　　　摘自《大贤者回忆录》卷一：“普隆德拉魔物危机”,5006,　　地下水道深处发现的迷之魔物，体型巨大，通体紫黑色，伞盖坚硬无比，刀枪不入……\n　　其攻击性十分强烈，据骑士团描述，即使是军用的精钢盾牌也轻易被其牙齿洞穿，且速度极快，十分致命的魔物。\n　　暂且称它为“莫古尔”吧，这是第一位在该事件中遇难的人员名字……,　　莫古尔可以从体内迅速分裂出大量游动孢子，并且使其以百倍生长速度长成成年蘑菇，但在其生长过程中十分脆弱，可以破坏。\n　　诡异的是，莫古尔似乎拥有了改变气流的能力，它周围形成的冲击波十分致命，我躲在粗大的排水管后面才免受其害。,　　莫古尔的体内发现了残余的晶体碎片，如果我没猜错，在这深不见底的下水道深处，是雷根贝勒用这些魔物进行某种不可告人的实验……\n　　这残余的晶体，正是我拒绝研究的项目：伊米尔之心复制品。那么，这只魔菇一直处于痛苦的狂暴中，杀了它也许是一种帮它解脱的方法。,莫古尔,ThemearroundKing\Dungeons02Boss.png,50,,0
3,4010,4011,4012,4013,德瑞克幽灵船,章节·三,50,2003,Themearround\UI_ThemeArround_Img_Fuben_deruikeyoulingchuan.png,　　面前的甲板上，有一个大张着嘴的骷髅头，它的骷髅身躯散落在离这颗头颅不远的甲板地面上——已经散架了。我的视线立刻被一样东西吸引住了：那是一段裹着破烂的水手服的残肢。水手服上的孔洞似乎是新的，骷髅骨架的断面应该是锐器造成。——这不死的海盗骷髅，居然是被一个剑术高明的人所杀死。\n　　我不禁想起了登船时看到的那抹诡异的紫色身影，现在细细想起来，立马出了一身冷汗：那东西好像是一面斗篷。确切的说，是驭神之力组织的斗篷，灰，黑，紫，红，白……驭神之力的特工级别是用衣物颜色来区分的。既然是紫色……代表我们遇到的是一个充满危险的驭神之力队长，并且剑术高超。\n　　该死的驭神之力，终究还是赶在了我们前面。但绿龙之心绝对不能被他们得到！绿龙之心那充盈的魔力，能够使得整条沉船的海员拥有不死之身，船长更是得到了驾驭海水的能力。这种神器如果被驭神之力拿走，必定是交给他们的上司机关：雷根贝勒。\n　　这帮渎神的家伙，难道复制伊米尔之心还不是底限吗？卢恩王国的神器也要尽数亵渎？\n　　我心里一阵烦乱，一拳狠狠的打在了船板上，那船板早已腐朽不堪，啪的一声整个断开，整面船板轰隆倒下，在安静的沉船内发出巨大的响声。\n　　 一切又安静下来后，沉船深处传来了骨架摩擦的声音，我看看旁边神色紧张的信徒们，开始回忆脑海中暗之障壁法术的咒文。\n　　　　　　　　　摘自《大贤者回忆录》卷二：“神器危机”,5201,　　失踪已久的“英高海盗团”团长，因不明原因变成了不死的魔物……\n　　从高超的剑术和抢来的海军制服来看，似乎还保留着些许理智，嗯…海盗的脾气真的不太好。\n　　木头假肢和船舱碰撞的声音令人发怵，它对视线所及生物进行无差别攻击，十分危险！,　　身边的魔力波动十分强烈，怀疑是受到某种诅咒，使得宿主有了使用魔法的能力。\n　　甚至能够随意使用强大的潮汐之力招来海浪，以及唤醒周围沉睡的邪骸海盗。\n　　加上威力强大的剑术，以及不死生物敏捷的身法……只有比它速度更快才有办法生存下来。,　　生活在海盗船下层的不死海盗们，身边起伏着浓烈的死亡气息，如果活人接触到，则会染上可怕的败血症。\n　　就连牧师们也无法净化这种可怕的病症，但是通过触摸船上未腐烂的货物，却能轻易的化解这股死亡气息。\n　　我想也许是因为这些货物中，寄托着海盗们尚未消退的，对于生的执念吧。,德瑞克,ThemearroundKing\Dungeons03Boss.png,55,,0
4,4020,4021,4022,4023,吉芬地下暗影,章节·四,60,2004,Themearround\UI_ThemeArround_Img_Fuben_jifendixiaanyin.png,　　随着一阵巨大的嘶吼声，面前的黄发剑士一改之前的文弱样子，双眼发红，身上青筋暴起。在这空旷漆黑的吉芬塔地下，更是显得十分恐怖。\n　　我的心里一阵发紧，脑海中某个不详的开关仿佛被按下……一边吩咐信徒们后退，一边眼睛在他身上快速的扫着。蓦然，我发现了那个不详开关的触发源头：在剑士的脖颈处，有一块鸡蛋大小的红色物体！果然，这可怜的剑士被植入了“伊米尔之心复制品”。\n　　真该死！驭神之力竟然用活人做实验！还在这种充满罪恶的地方！我气愤极了，抽出口袋里的蜘蛛丝，咏唱起了易燃之网的咒文，蛛丝化作万千条白色魔法丝线，牢牢的缠住了暴走的剑士。一心想着让信徒们把剑士带回居所，再查找文献把他体内的渎神物分离出来。\n　　就在这时，可怕的事情发生了……剑士的身体虽然被魔法蛛丝牢牢缠住，但是他的身体似乎分离出一种半透明的，类似于杰勒比结晶的物质！随着这种物质分离的越来越多，我看清了轮廓……居然是一个透明的黄发剑士，在漆黑的吉芬地下散发着骇人的幽光，身形有两人那么高！宛如圣诗埃达里记载的双重身……死灵！！雷根贝勒居然剥离了活人的灵魂！这是何等的渎神！\n　　还没等我回过神来，这死灵一般的透明剑士爆发出一股能量波，地面瞬间瓦解了，面前的几个信徒躲闪不及，被能量直接撕成了碎片……可怕的是，它无神的眼睛直勾勾的盯着我。\n　　慌乱中我喃喃的念出薄暮墙的咒文，但是那种震慑力太可怕了，导致我念错好几个字节，在宛如一个世纪那么长的咏唱时间过后，一阵黑雾包围了向我冲锋的死灵……浓雾散去后，地面上只留下我那几个可怜信徒残缺的尸体，死灵已经不见踪迹。\n　　　　　　　　　摘自《大贤者回忆录》卷三：“吉芬塔下的罪恶”,5257,　　长期游荡在吉芬地下的恶魔剑士，长着稚嫩的脸庞，身上穿着的，似乎是剑士公会的制服……\n　　拥有惊人的破坏力和速度，每一剑都诉说着不甘和怨恨。\n　　肉体和灵魂已经被分离，留下的只是饱含怨念的……思念体？\n　　脱离了肉体的限制，思念体的强度是由意志决定的，生前一定是名努力的剑士。,　　使用各种威力巨大的剑技，似乎都是自创技法。寻找破绽，抓住时机躲避即可，千万不要妄想着能吃下一剑。\n　　由于被剥离了肉体和灵魂，意外获得了可以操纵暗影的力量。\n　　使出“恶灵强袭”时，会有大量暗影能量凝聚，在引发爆炸前，需要队友靠近分摊伤害，否则……,　　盘踞着各种恶魔的吉芬塔地下，这名恶魔剑士多普勒更像被遗弃的……似乎是某种实验失败品。\n　　被剥离了肉体和灵魂的执念存在，并且和其他盘踞的恶魔共存，是名副其实的“人造恶魔”。\n　　妄图驾驭神之力的人类，制造出的却是恶魔……,多普勒,ThemearroundKing\Dungeons04Boss.png,60,,0
5,4030,4031,4032,4033,蚂蚁地狱巢穴,章节·五,65,2005,Themearround\UI_ThemeArround_Img_Fuben_mayidiyu.png,"　　""大师，当心！""随后是短而清晰的火箭术咏唱声，一束炙热的火箭在我右前方成型，迅速的打在了一块岩石后面，伴随着吱呀乱叫的声音，岩石后翻滚出几只被灼烧的自爆蚁。我回头一看，又是这个名为M的白衣信徒，已经不知道多少次救过我了，他的察觉力似乎远在我之上。\n　　""大师，这蚁穴里的蚂蚁都被污染过了，千万当心…我们已经被蚁后察觉到…这些可怕的蚂蚁，它们靠近你就会自爆。——这是蚁穴的排异系统。""M一边用测量仪检查着地上死亡的蚂蚁，一边喃喃的说道。\n　　我点点头，心中暗自祈祷。\n　　今天已经是进入蚁穴的第四天了，粮，水都快要见底。在这狭窄的蚁穴中危机四伏，不光有会自爆的兵蚁，还有会破坏铠甲的白蚁，以及专咬要害的黑蚁。更要命的还有传说中的妖精基尔瑟和蚂蚁勾结，在暗处丢出致命炸弹。\n　　但我却不像见到死灵那般慌张，因为这个叫M的白衣信徒在，他给我一种莫名的安心感觉。\n　　""走吧。""我抬头看着正在释放光猎寻找隐匿蚂蚁的M。就算这条路再艰难也要走下去，因为这里的蚁后已经被驭神之力控制，必须得痛下杀手，才能保证蚁穴的蚁后诞生机制启动。只有让新的，纯洁的蚁后诞生，才能拯救梦罗克的生态。\n　　否则附近梦罗克的旅人一旦陷入这深不见底的蚁窝就是地狱——一个数以万计的，以人类为敌的蚂蚁地狱。\n　　　　　　　　　摘自《大贤者回忆录》卷四：“梦罗克启示录”",7801,　　生活在复杂蚁穴深处的蚁族首领，似乎已经存在了上千年之久。\n　　玛雅的正面看起来捆绑着一名人类女子……究竟是这名女子在操纵玛雅，还是玛雅俘虏了这名女子？\n　　会将所有进入蚁穴的生物视为侵入者，背后的甲壳中藏着两把锋利的壳状砍刀。\n　　如果不是为了调查蚁穴的魔物激增事件，我绝对不想遭遇这噩梦般的生物。,　　玛雅的真实面容并不是平常所看到的那样，在触须下方，还隐藏着第二张昆虫的脸。\n　　所有看到这脸的人都被吓得仓皇乱跑-包括我……说真的，这是一种发自内心深处的，本源的恐惧，根本无法抵抗。\n　　唯一的解决办法就是转过身去，背对玛雅。\n　　此外玛雅还会在战斗中召唤难缠的助手蚂蚁……或是用它锋利的砍刀切下一大块岩石投掷，千万小心。,　　蚂蚁洞深处的生态十分复杂，通常它们非常排外，只有狡猾的妖精基尔瑟能和它们共处。\n　　但基尔瑟通常仇视人类-因为人类有收集完整妖精耳朵并佩戴的习惯，这对它们来说是莫大的耻辱。\n　　基尔瑟的炸弹威力十足，不过，也许可以利用一下它们……,玛雅,ThemearroundKing\Dungeons05Boss.png,65,,0
6,4040,4041,4042,4043,金字塔大冒险,章节·六,70,2006,Themearround\UI_ThemeArround_Img_Fuben_jinzita.png,　　在梦罗克酒吧的舒坦日子并没有持续多久，我的信徒向我汇报说，金字塔里出现了暴乱的征兆。\n我心里想着，这一天终于还是来了，驭神之力的脏手，要伸向法老王的权杖了。\n　　但是令我纳闷的是，他们收集这些神器，究竟要做什么用途？甚至不惜击败各地强悍的魔物，对于冒险者来说，也算是一种造福了——至少不会在旅行途中被突然出现的MVP揍扁。\n　　　　　　　　　摘自《大贤者回忆录》卷四：“梦罗克启示录”,9161,　　荷鲁斯，传说中的法老王，因为不明原因，从棺椁中醒来，成为了强大的不死魔物，头上还戴着象征权势的王冠。\n　　身边缠绕着毒气，缠绕的绷带也变成紫色，喉咙因为腐朽而不能说话，只能发出可怕的呜呜声。\n　　移动速度非常快，听到绷带在地面摩擦的声音，下一秒死亡就降临在你面前了……,　　荷鲁斯的速度非常快，虽然它不持有任何武器，但是极快的攻速使得它十分致命。\n　　并且它拥有了操纵暗的力量，如果没有任何光线照射它，那么所有对它的攻击都会被无效化。\n　　荷鲁斯已经失去了理智，胆敢忤逆它的生物会遭到它的献祭，变得无法动弹，如果没有人帮忙的话……,　　本应沉睡在棺椁中的法老之神被无端唤醒，并且象征权威的神器法杖失踪……\n　　这不得不让我怀疑起始作俑者的动机，莫非他们在筹划着什么秘密的仪式？\n　　这不考虑后果的做法带来了魔力波动的紊乱，使得整个陵墓的木乃伊都被唤醒，要当心每一口石棺。,荷鲁斯,ThemearroundKing\Dungeons06Boss.png,70,,0
7,4060,4061,4062,4063,达纳托斯之战,章节·七,75,2007,Themearround\UI_ThemeArround_Img_Fuben_danatuosizhizhan.png,　　借由死亡之塔的神秘石板力量，我得以窥见千年前，那场史诗般的战役……神秘的魔剑士达那托斯和魔神梦罗克的世纪大战……\n　　在达那托斯击败梦罗克后，魔神居然对达那托斯释放了恶毒的诅咒，妄图用魔神的意志污染魔剑士，从魔剑士的体内分裂出了三个强大的负面情绪，在场的印记刺客们都奄奄一息，眼看场面就要失控，我脑中浮现了古卢恩文字的形状，用这个一定能帮得上忙。可是我是利用神秘石板穿越位面到这里的，如果我干预了这边的过去，那会形成强烈的时空波，后果是无法估量的……\n　　魔剑士已经开始发出失控的怒吼，在这千钧一发的时机，我顾不得不能插手干预次元事宜的规定，在地上画出了解除负面情绪的古卢恩文字……\n　　　　　　　　　摘自《大贤者回忆录》卷八：“上古之战”,5456,　　传说中魔剑士达那托斯和梦罗克大战七天七夜，最终击败梦罗克。\n　　但自己也受到诅咒，被魔神的意志侵入，放大了所有负面情绪。\n　　魔剑士为了不被魔神的意志控制，将受污染的部分切割出来…\n　　没想到却形成了三个强大的负面情绪化身……,　　由于负面情绪和魔剑士的联系并未切断，所以要在负面情绪侵占魔剑士前将其击溃，否则回天乏术。\n　　魔剑士和负面情绪似乎不是这个世界的产物……所有的物理攻击对它们都无法造成实际伤害，难道达那托斯是……神的化身？\n　　负面情绪的分离似乎使得达那托斯本人也变得不稳定起来……\n　　在他癫狂时只有卢恩符文的力量才能镇压。,　　相传现在的达那托斯之塔在上古时期实际上是魔神梦罗克用于跨越位面的信标。\n　　而魔神塔内盘踞着大量魔神的信徒和影子，人类被梦罗克的魔神大军打的溃不成军。\n　　直到达那托斯和印记刺客的出现，人类才得以打入魔神塔的内部。\n　　而达那托斯在被污染后要求人类把他封印在魔神塔，拥有如此强大力量的存在就此戛然而止……,达纳托斯的负面人格,ThemearroundKing\Dungeons07Boss.png,75,,0
8,4070,4071,4072,4073,混沌的枷锁,章节·八,80,2008,Themearround\UI_ThemeArround_Img_Fuben_fengyinmengluoke.png,　　卢恩大陆，曾经出现过两次有记载的魔神入侵事件。\n　　一次是通过魔神之塔直接入侵，当时的所罗门王受到魔神的蛊惑而为其打开了通往中庭的大门。第二次则是看守封印的梦罗克城主受到魔神的蛊惑，献祭了无数生命，促成了魔神的初生。\n　　魔神永远无法在物质位面被杀死，也许是对所有人类的一种警示……然而，更令我惊讶的是：似乎只要魔神苏醒，就会有携带斩破魔神之力的神秘人物出现……\n　　据我调查，这帮人就是刺客的始祖。即是说，魔剑士达纳托斯，也许只是一个掩人耳目的称号。其真实身份，就掩藏在这段尘封的，珍贵的，第二次魔神复活的记忆中……\n　　魔神可以被封印，但是封印不住人心，邪恶的魔神就在暗处，等待下一次的归来\n　　　　　　　　　摘自《米德加兹大陆史》卷十：“魔神之塔”,8902,　　魔神梦罗克，在上古时代就存在的恶魔，被奥丁划分到赫尔海姆，绝对邪恶的存在，绝对混乱的存在。\n　　不允许秩序出现在世界上，世界在他眼里只有毁灭，混沌，无序才是最好的状态。\n　　相传，梦罗克拥有洞悉世界本质的力量……,　　拥有极致毁灭之力的梦罗克掌握了极致的暗。\n　　四元素在其身上化为毁天灭地的力量，生变为了死。\n　　通常来说，常人是无法对其造成致命打击的。\n　　只有“神”的力量才能屠灭“魔”。,"　　也许从魔王的视角来看，世界是不一样的。\n　　魔神梦罗克身上布满具有充沛魔力的瞳，可以穿透次元壁，以各位面来观察事物。\n　　人类理解的“恶”，在恶魔看来是“善”，而恶魔理解的”善“，在人类看来是极致的”恶“。\n　　世间的规则是""神” 所撰写的，但究其源头“神”，不过是我们对造物主的一种尊称罢了。",梦罗克,ThemearroundKing\Dungeons08Boss.png,80,,0
9,4080,4081,4082,4083,夜袭普隆德拉,章节·九,85,2009,Themearround\UI_ThemeArround_Img_Fuben_pulongdelayuxi.png,　　虔诚的信徒啊……你或许见过拥有洁白羽翼的女武神……\n　　但你可曾见过，燃起黑色火焰的，化身为混沌的堕落女武神？\n　　手中巨大的黑色长剑，通体散发着混沌的黑暗能量。\n　　这不是吟游诗人口中，用来博取赏金的唱词。\n　　在普隆德拉的历史里，遭到过巨大不明飞行物体的入侵。\n　　从那飞行物上涌出来自黑暗的生物，残忍的屠杀首都的一切生灵。\n　　那一天，乌云蔽日，万物皆混沌。\n　　就连教堂的圣母像也落下泪水……\n　　事件的作俑者，就是那燃起黑色火焰的堕落女武神……\n　　希莫梅斯。\n　　　　　　　　　摘自《瓦尔基里之羽》卷四：“黑翼瓦尔基里”,8701,　　毕尤，堕落女武神希莫梅斯的心腹。\n　　通体散发着死亡的气息，其最明显的特征就是巨大的黑色骨爪。\n　　在她身边就能感受到巨大的压迫力，这是一种生物本能的，对于死亡的恐惧……\n　　头戴造型奇怪的尖顶帽，在她身上能看到一种奇怪的对立。\n　　从回忆水晶中来看，似乎她身上有明显的接缝，是魔法的造物。\n　　这是生与死的，严肃与戏谑的融合造物。\n　　想必她的造物主——堕落女武神，内心也是如此纠葛的吧。,　　其巨大魔爪召唤的混沌之力非常具有破坏性。\n　　记得利用障碍物躲开致命的冲锋。\n　　毕尤虽然是拼装体，但似乎是不死气息浓郁的魔物。\n　　可以利用圣光的力量对其造成大量伤害。\n　　最后——虽然是在回忆水晶的世界中，但是也要记得拯救平民！,　　关于造物毕尤的历史，更多的可以追溯到她的造物主：希莫梅斯身上。\n　　这名堕落的瓦尔基里，似乎在卢恩大陆的历史上活跃过一段时间。\n　　不光袭击了普隆德拉，就连要塞一样的克雷斯特汉姆也遭到其毒手。\n　　而她的目的似乎不单纯是屠城，更多的似乎是在寻找她想找到的东西……,毕尤,ThemearroundKing\Dungeons09Boss.png,85,,11
