MajorID,AwardID,GiftPackageName,,PackageShow,GiftPackageAtlas,GiftPackageIcon,Value,Cost,Tab,BuyLimitCondition,BuyLimitNum,PackageType
主键(1开头月卡特权礼包，3为累充礼包，4为节日活动礼包；5为日本节日礼包）,礼包ID,礼包名字,备注（策划QA用）,展示显示方式（0为显示图片，1为显示头饰，2为显示载具，3为依次显示礼包中的物品，4为时装，5为不同部位时装均显示）,礼包图片图集,礼包图片名,礼包价值（仅用于显示，不配有问题）,货币消耗，包含价格消耗和货币类型（103喵喵果实，102Zeny币，101铜币），配置方式举例：103=100，不配置则默认为免费礼包,礼包区分\r\n(11204:月卡特权限购礼包；11208为首充送礼包）,购买条件限制\r\n（不配置为没有显示，有限制则新增类型）（1为购买月卡后才能购买；2为首充领取礼包）,限购数量，用于控制限购的数量，-1代表无限次。限购方式配置：限购方式=限购次数；1为每日限购；2为每周限购；3为每月限购。配置示意：1=2为每日限购两次\n与CountTable表action46的逻辑一样，格式：刷新类型1=上限1|刷新类型2=上限2,登陆礼=0|装备制作=1|扫荡=2|卡片=3|佣兵=4|抽奖券=5|精炼=6|战斗=7|饰品=8|齿轮=9|载具=10|附魔=11|强化=12
100002,7503000,卡普拉贵宾礼包1,,0,Icon_ItemConsumables01,UI_icon_item_zhuangbeicailiaobao.png,103=450,103=228,11204,1,5=1,
200001,6260000,首充送好礼,首充赠送礼包,3,,,,,11208,2,0=1,
300001,6270010,喵喵储蓄罐Ⅰ型礼包,常驻累充,0,Icon_ItemConsumables02,UI_icon_item_miaochucunguan1.png,,,,,,
300002,6270020,喵喵储蓄罐Ⅱ型礼包,常驻累充,0,Icon_ItemConsumables02,UI_icon_item_miaochucunguan2.png,,,,,,
300003,6270030,喵喵储蓄罐Ⅲ型礼包,常驻累充,0,Icon_ItemConsumables02,UI_icon_item_miaochucunguan3.png,,,,,,
300004,6270040,喵喵储蓄罐Ⅳ型礼包,常驻累充,0,Icon_ItemConsumables02,UI_icon_item_miaochucunguan4.png,,,,,,
300005,6270050,喵喵储蓄罐Ⅴ型礼包,常驻累充,0,Icon_ItemConsumables02,UI_icon_item_miaochucunguan5.png,,,,,,
300006,6270060,喵喵储蓄罐Ⅵ型礼包,常驻累充,0,Icon_ItemConsumables02,UI_icon_item_miaochucunguan6.png,,,,,,
300007,6270070,喵喵储蓄罐Ⅶ型礼包,常驻累充,0,Icon_ItemConsumables02,UI_icon_item_miaochucunguan7.png,,,,,,
300008,6271101,冬日储蓄罐福利礼盒预览礼盒,第一期限时累充,0,Icon_ItemConsumables02,UI_icon_item_newmiaochucunguan_09.png,,,,,,
300009,6271111,冬日储蓄罐Ⅰ型预览礼盒,第一期限时累充,0,Icon_ItemConsumables02,UI_icon_item_newmiaochucunguan_01.png,,,,,,
300010,6271121,冬日储蓄罐Ⅱ型预览礼盒,第一期限时累充,0,Icon_ItemConsumables02,UI_icon_item_newmiaochucunguan_02.png,,,,,,
