TypeId,Name,ShowName,AtlasName,IconName,SceneID,FUp,FDown,FLeft,FRight,ResurrectionPoint,ControllerId,VictoryCondition1,VictoryCondition2,LoseCondition,StartCountDown,StartOperation,EndOperation,DungeonTarget,StopAI,IsShowSuccessUI,SuccessNpcID,SuccessTips
编号,名字（按照从下往上，从左往右排序为1~8，躲避球房为8号，boss房为6号沙漠）,游戏展示名称,图集名,图标名,所属场景ID,上入口坐标,下入口坐标,左入口坐标,右入口坐标,复活点坐标,控制器id,"胜利条件1[和胜利条件2是或的关系]（1.[1=time=0]，时间到；2.[2=monster_id=1]，特定ID怪物被击杀只数；3,达成双人烹饪过关要求单子数；4.[4=wall_id=0]，激活触发器；5.[5=npc_id=0]，副本结束时NPC存活；6.[6=item_id=item_count]，获得道具数量；可配置多个，与的关系）","胜利条件2[和胜利条件1是或的关系]（1.[1=time=0]，时间到；2.[2=monster_id=1]，特定ID怪物被击杀只数；3,达成双人烹饪过关要求单子数；4.[4=wall_id=0]，激活触发器；5.[5=npc_id=0]，副本结束时NPC存活；6.[6=item_id=item_count]，获得道具数量；可配置多个，与的关系）","失败条件（1,1=time,时间到，单位秒；2，团灭；3，副本有人退出；4，任意玩家死亡；5.收到sceneai事件，事件名-dungeonsfailed）",通用开始倒计时,房间开始前操作,房间结束后操作,副本目标,房间开始之前是否需要停止怪物ai,是否需要显示成功UI（0不显示，1显示）,成功时显示的npc半身像,成功文字
1,出生点,出生点7,PreyMap,UI_PreyMap_Img_Born.png,7500,47.7=6.6=204.1,51.2=6.6=180.4,39.1=6.6=189.8,61.8=6.6=192.3,51.2=6.6=180.4,7,,,,,,,,0,0,,
2,MVP房,MVP房6,Map,UI_map_Boss.png,7500,212=6.6=139,215.1=6.6=108.1,195=6.6=120.5,224.6=6.6=118.8,215.1=6.6=108.1,6,,,,,,,,0,0,,
3,怪物房,怪物房4,,,7500,49.4=6.6=132.1,55.4=6.6=109.2,38.71=6.6=120.4,64=6.6=124.4,55.4=6.6=109.2,4,,,,,,,,0,0,,
4,事件房,驱赶波利房5,,,7500,132.4=6.6=134.5,134.6=6.6=110.8,112.7=6.6=123.1,141.9=6.6=121,134.6=6.6=110.8,5,,,,,,,,0,1,20016,干的不错，继续你们的征程吧！|恭喜，但这里距离结束还有很远的距离|很好，希望你们能再接再厉
5,钥匙房,钥匙房3,Map,UI_map_Juqing.png,7500,214.4=8.2=67.2,207=8.2=33.9,200.82=8.2=45.8,225.17=8.2=46.3,207=8.2=33.9,3,,,,,,,,0,0,,
6,精英房,精英房2,,,7500,132.9=6.5=62.4,119.8=8.5=35.9,113.6=8.5=44.4,147.6=6.5=40.2,119.8=8.5=35.9,2,,,,,,,,0,1,20016,干的不错，继续你们的征程吧！|恭喜，但这里距离结束还有很远的距离|很好，希望你们能再接再厉
7,彩蛋房,彩蛋房1,,,7500,51.4=6.7=65.56,49.9=6.7=28.31,37.4=6.7=46.1,69.9=6.7=45,49.9=6.7=28.31,1,,,,,,,,0,1,20016,干的不错，继续你们的征程吧！|恭喜，但这里距离结束还有很远的距离|很好，希望你们能再接再厉
8,躲避球房,躲避球房8,,,7500,128.2=6.97=194.4,128.4=6.97=185.96,123.97=6.97=189.3,132.89=6.97=189.42,128.4=6.97=183.2,8,1=45=0,,,5,1|2|3,,,1,1,20016,干的不错，继续你们的征程吧！|恭喜，但这里距离结束还有很远的距离|很好，希望你们能再接再厉
9,驱赶波利房,驱赶波利房5,,,7500,132.4=6.6=133.14,134.6=6.6=110.8,112.7=6.6=123.1,141.9=6.6=121,134.6=6.6=110.8,5,2=5357=1,,5,,,,8,0,0,,
