JobLv,Exp
职业等级,升级曲线
1,696
2,720
3,760
4,992
5,1040
6,1336
7,1832
8,1992
9,3032
10,973
11,1127
12,1352
13,1690
14,2028
15,2592
16,2929
17,3042
18,3605
19,4056
20,12393
21,14459
22,15147
23,15836
24,16524
25,16800
26,25608
27,29876
28,31300
29,32722
30,34144
31,34714
32,35931
33,41920
34,43916
35,45912
36,47908
37,48707
38,165998
39,193664
40,202886
41,212108
42,221330
43,225019
44,359198
45,419065
46,439020
47,458976
48,478931
49,486913
50,116664
51,157653
52,189184
53,236480
54,283776
55,362602
56,409898
57,425663
58,504489
59,567551
60,1171600
61,1366868
62,1431956
63,1497045
64,1562134
65,1588169
66,2106886
67,2458034
68,2575083
69,2692132
70,2809181
71,2856001
72,3320061
73,3873404
74,4057852
75,4242300
76,4426748
77,4500527
78,6606546
79,7707637
80,8074667
81,8441698
82,8808728
83,8955540
84,12111780
85,14130409
86,14803285
87,15476162
88,16149039
89,16418189
90,2387181
91,3225920
92,3871104
93,4838880
94,6742173
95,6892985
96,7045410
97,7199447
98,7355098
99,7512362
100,7671238
101,7831728
102,7993830
103,8157546
104,8322874
105,8503848
106,8686758
107,8871603
108,9058384
109,9247100
110,16846915
111,21339425
112,25831936
113,30324446
114,31447573
115,33079914
116,33815023
117,34550132
118,38999477
119,39811967
120,43002900
121,43480710
122,43958520
123,44436330
124,44914140
125,45391950
126,48283958
127,51497300
128,52028200
129,52559100
130,90505716
