BattleCardSeason,BuyPerCount,BuyPerCost,BuyPerExp,JuniorAward,JuniorMail,SeniorAward,SeniorMail,MallID,ItemID,ActivityID,Name,Atlas,Icon,SuperName,SuperAtlas,SuperIcon,DisplayPic,PassCheckFashionName,FreePreviewAwardid,FreePreviewAwardidF,ConsPreviewAwardid,ConsPreviewAwardidF,JuniorAwardDescription,SeniorAwardDescription,DisplayModel,MaxLv,Prefab,Des,BattleCardLevel
通行证赛季,购买上限次数（最小单位的次数）,单次购买消耗,单次购买经验值,普通激活奖励，支持itemid=数量(支持多个竖线隔开)和award=-1配置(只支持一个awardid),普通激活邮件,高级激活奖励，支持itemid=数量(支持多个竖线隔开)和award=-1配置(只支持一个awardid),高级激活邮件,商店ID,代币ID,活动ID,普通通行证名字,普通通行证图集,普通通行证图标,高级通行证名字,高级通行证图集,高级通行证图标,图片展示（如果有性别 用|隔开，前为男，后为女）,大奖的名签,免费通行证预览奖励男,免费通行证预览奖励女,付费通行证预览奖励男,付费通行证预览奖励女,普通激活奖励文字描述,高级激活奖励文字描述,道具id，先男后女,最大等级,prefab路径,废弃，支付描述,废弃，显示购买通行证时的可到等级
1,200,103=40,2000,8530010=-1,7020,8530020=-1,7021,701,2040018,5001,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man|UI_Festival_pass_woman,lv80领取,1070182=1|2091301=1|2091302=3,1070182=1|2091301=1|2091302=3,2091306=1|1100012=1|1080045=1|3024024=1|1057001=1|1080046=1|2091304=4|2091301=5|2091302=4,2091306=1|1100012=1|1080045=1|3024024=1|1057001=1|1080046=1|2091304=4|2091301=5|2091302=4,万圣节齿轮扭蛋*3|嘉年华纪念币*50,提升25级通行证等级|飞行员头像框|万圣节齿轮扭蛋*10|嘉年华纪念币*200,1010041=1010042,315,,,110|135
2,400,103=40,2000,8523196=-1,7020,8523197=-1,7021,702,2040020,5002,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man|UI_Festival_pass_woman,lv95领取,1100017=1|2091301=1|2091302=1|2035007=2,1100017=1|2091301=1|2091302=1|2035007=2,2091502=1|1090053=1|1080058=1|1070210=1|3024024=1|2091501=1|3020023=3|3020024=2,2091502=1|1090053=1|1080058=1|1070210=1|3024024=1|2091501=1|3020023=3|3020024=2,冰雪狂欢币*50|超级齿轮扭蛋*3,提升25级通行证等级|雪花贴纸|超级齿轮扭蛋*5|高级钛钢碎片*1|冰雪狂欢币*200,1010051=1010052,533,,,110|135
3,400,103=40,2000,8523500=-1,7020,8523501=-1,7021,703,2040021,5003,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man|UI_Festival_pass_woman,lv100领取,1070211=1|2091422=3|2091421=2|2091302=1,1070211=1|2091422=3|2091421=2|2091302=1,2091423=1|3010135=1|3024024=2|2091421=8|60660030=3|2091422=8,2091423=1|3010135=1|3024024=2|2091421=8|60660030=3|2091422=8,木槿花纪念币*50|超级齿轮扭蛋*3,提升25级通行证等级|艺术家头像框|木槿花纪念币*200|崩裂迪齿轮*1|珍贵的卡片碎片*1,1010055=1010056,536,PassCheck,特别版\n艺术家呢绒帽\n艺术家羊绒大衣|王牌特别版\n艺术家呢绒帽\n艺术家羊绒大衣\n艺术家头像框,110|135
4,400,103=40,2000,8525350=-1,7020,8525351=-1,7021,704,2040022,5004,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man3|UI_Festival_pass_woman3,lv100领取,1070252=1|2091428=4|3024024=1|3020022=1|2091426=6,1070252=1|2091428=4|3024024=1|3020022=1|2091426=6,2091429=1|1080085=1|2050017=2|3024028=2|2091427=2|3010133=4,2091429=1|1080085=1|2050017=2|3024028=2|2091427=2|3010133=4,超级齿轮扭蛋*3|珍贵的卡片碎片*1,提升25级通行证等级|莓果奇缘头像框|称号-草莓可爱|春日踏青纪念币*200|紫色卡片宝石*1|珍贵的卡片碎片*4,1010064=1010065,536,PassCheck,特别版\n草莓果冻帽\n草莓贴纸|王牌特别版\n草莓果冻帽\n莓果奇缘头像框\n草莓贴纸\n专属“草莓可爱”称号,110|135
5,400,103=40,2000,8525750=-1,7020,8525751=-1,7021,705,2040023,5005,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man4|UI_Festival_pass_woman4,lv100领取,1090065=1|2091428=4|3024024=1|3020022=1|2091426=6,1090065=1|2091428=4|3024024=1|3020022=1|2091426=6,1070256=1|2091438=1|2050017=2|3024028=2|2091427=2|3010133=4,1070256=1|2091438=1|2050017=2|3024028=2|2091427=2|3010133=4,超级齿轮扭蛋*3|珍贵的卡片碎片*1,提升25级通行证等级|缤纷夏日头像框|称号-西瓜缤纷|夏日缤纷纪念币*200|紫色卡片宝石*1|珍贵的卡片碎片*4,1010070=1010071,532,PassCheck4,特别版\n西瓜帽|王牌特别版\n西瓜帽\n缤纷夏日头像框\n专属“西瓜缤纷”称号,110|135
6,400,103=40,2000,8526050=-1,7020,8526051=-1,7021,706,2040024,5006,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man5|UI_Festival_pass_woman5,lv100领取,1090068=1|2091428=4|3024024=1|3020022=1|2091426=6,1090068=1|2091428=4|3024024=1|3020022=1|2091426=6,2080118=1|1070271=1|1100034=1|60660040=2|2091427=3,2080118=1|1070271=1|1100034=1|60660040=2|2091427=3,超级齿轮扭蛋*3|珍贵的卡片碎片*1,提升25级通行证等级|称号-热带迷人|菠萝贴纸|菠萝纪念币*200|紫色卡片宝石*1|神秘的齿轮扭蛋*1,1010076=1010077,532,PassCheck5,特别版\n菠萝耳机|王牌特别版\n菠萝耳机\n菠萝贴纸\n专属“热带迷人”称号,110|135
7,400,103=40,2000,8526350=-1,7020,8526351=-1,7021,707,2040025,13005007,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man6|UI_Festival_pass_woman6,lv100领取,1070292=1|91050=4|3020022=1|2091428=4|2091426=4,1070292=1|91050=4|3020022=1|2091428=4|2091426=4,2080128=1|60660040=2|60660030=2|3024028=4|1070291=1|2091427=3|3020022=2,2080128=1|60660040=2|60660030=2|3024028=4|1070291=1|2091427=3|3020022=2,超级齿轮扭蛋*3|珍贵的卡片碎片*1,提升25级通行证等级|称号-热血棒球|棒球贴纸|棒球纪念币*200|紫色卡片宝石*1|神秘的齿轮扭蛋*1,1010082=1010083,532,PassCheck6,特别版\n运动遮阳帽|王牌特别版\n运动遮阳帽\n棒球贴纸\n专属“热血棒球”称号\n帅气棒球帽\n棒球服时装礼盒,110|135
8,400,103=40,2000,8526650=-1,7020,8526651=-1,7021,708,2040026,13005008,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man8|UI_Festival_pass_woman8,lv100领取,1080101=1|91050=4|3020022=1|2091428=4|2091426=4,1080101=1|91050=4|3020022=1|2091428=4|2091426=4,91070=2|1010097=1|60660040=3|60660030=1|3024028=3|2050017=1|1070305=1|2091427=3|3020022=3,91070=2|1010098=1|60660040=3|60660030=1|3024028=3|2050017=1|1070305=1|2091427=3|3020022=3,神秘的齿轮扭蛋*1|珍贵的卡片碎片*1,提升25级通行证等级|称号-摇滚之心|万圣节纪念币*200|紫色卡片宝石*1|神秘的齿轮扭蛋*1|传说宠物装备随机箱*1,1010097=1010098,532,PassCheck8,特别版\n舞台墨镜|王牌特别版\n舞台墨镜\n专属“摇滚之心”称号\n舞台小礼帽\n摇滚之魂时装礼盒,110|135
9,400,103=40,2000,8526950=-1,7020,8526951=-1,7021,709,2040028,5010,特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,王牌特别通行证,Icon_ItemConsumables02,UI_icon_item_tongxingzheng2.png,UI_Festival_pass_man10|UI_Festival_pass_woman10,lv95领取,1070318=1,1070318=1,2091556=1|1080110=1|1010113=1|1100060=1,2091556=1|1080110=1|1010114=1|1100060=1,神秘的齿轮扭蛋*1|珍贵的卡片碎片*1,提升25级通行证等级|冰雪恋人纪念币*200|神秘的齿轮扭蛋*1|紫色卡片宝石*1|传说宠物装备随机箱*1|称号-时空之心*1,1010113=1010114,532,PassCheck10,,
