ColorationID,Model,ItemCost,RgbValue,IsNew,ItemAtlas,ItemIcon,RgbLevel,备注,,,,
"染色ID,可以不连续，要给同一载具预留",染色贴图名称,激活所需材料,染色方案对应的色值,是否新增，新增配1，其他填0或者不填,道具图集,道具图标,染色等级（用于计算典藏值）,,,资源情况,,颜色
10200031,Mount_MaChe01,3024014=4|3024017=4|3024012=1,4E4B4D,1,Icon_Vehicles01,UI_icon_item_emoche02.png,3,橙色载具普通染色,,,,
10200032,Mount_MaChe02,3024021=8|3024012=1,E2DDDE,1,Icon_Vehicles01,UI_icon_item_emoche03.png,3,橙色载具普通染色,,,,
10200033,Mount_MaChe03,3024015=2|3024013=2,905d1d,1,Icon_Vehicles01,UI_icon_item_emoche04.png,4,橙色高级染色（新增新增）,,已有,,
10200071,Mount_BaoBaoXiong01,3024014=8|3024012=1,993333,1,Icon_Vehicles01,UI_icon_item_baobaoxiong02.png,3,橙色载具普通染色,,,,
10200072,Mount_BaoBaoXiong02,3024021=8|3024012=1,E2DDDE,1,Icon_Vehicles01,UI_icon_item_baobaoxiong03.png,3,橙色载具普通染色,,,,
10200073,Mount_BaoBaoXiong03,3024018=1|3024021=1|3024013=2,224b8f,1,Icon_Vehicles01,UI_icon_item_baobaoxiong04.png,4,橙色高级染色（新增新增）,,已有,,
10200211,Mount_YouLing03,3024018=3,99CCFF,1,Icon_Vehicles01,UI_icon_item_youlingshu02.png,1,紫色载具普通染色,,,,
10200212,Mount_YouLing04,3024014=1|3024016=2,FF9933,1,Icon_Vehicles01,UI_icon_item_youlingshu03.png,1,紫色载具普通染色,,,,
10200251,Mount_BoLiHanBao01,3024021=1|3024014=2,FF66CC,1,Icon_Vehicles01,UI_icon_item_hanbao03.png,1,紫色载具普通染色,,,,
10200252,Mount_BoLiHanBao02,3024014=1|3024017=2,4E4B4D,1,Icon_Vehicles01,UI_icon_item_hanbao02.png,1,紫色载具普通染色,,,,
10200253,Mount_BoLiHanBao03,3024015=3,845538,1,Icon_Vehicles01,UI_icon_item_hanbao04.png,2,紫色高级染色（新增新增）,,已有,,
10200221,Mount_YouLing05,3024016=1|3024021=1,84bf96,1,Icon_Vehicles01,UI_icon_item_youlingqiuqian02.png,1,紫色普通（新增新增）,,已有,,
10200222,Mount_YouLing06,3024015=1|3024021=1,fab27b,1,Icon_Vehicles01,UI_icon_item_youlingqiuqian03.png,1,紫色普通（新增新增）,,已有,,
10200231,Mount_MuNaiYi01,3024016=3,73b9a2,1,Icon_Vehicles01,UI_icon_item_munaiyi02.png,3,橙色普通（新增新增）,,已有,,
10200232,Mount_MuNaiYi02,3024018=3,FF9933,1,Icon_Vehicles01,UI_icon_item_munaiyi03.png,3,橙色普通（新增新增）,,已有,,
10200233,Mount_MuNaiYi03,3024015=2|3024013=2,2b4490,1,Icon_Vehicles01,UI_icon_item_munaiyi04.png,4,橙色高级染色（新增新增）,,,,
10200241,Mount_ShaYu01,3024014=3,f58f98,1,Icon_Vehicles01,UI_icon_item_shayu01_ranse.png,3,橙色普通（新增新增）,,已有,,
10200242,Mount_ShaYu02,3024018=2|3024020=1,E2DDDE,1,Icon_Vehicles01,UI_icon_item_shayu02_ranse.png,3,橙色普通（新增新增）,,已有,,
10200243,Mount_ShaYu03,3024018=1|3024017=1|3024013=2,33a3dc,1,Icon_Vehicles01,UI_icon_item_shayu03_ranse.png,4,橙色高级染色（新增新增）,,已有,,
10200244,Mount_ShaYu04,3024020=1|3024021=1|3024013=2,999d9c,1,Icon_Vehicles01,UI_icon_item_shayu04_ranse.png,4,橙色高级染色（新增新增）,,已有,,
10200301,Mount_QianShuiYa01,,ffd400,1,Icon_Vehicles01,UI_icon_item_xiaoya03.png,3,,,,,黄色
10200302,Mount_QianShuiYa02,,1e2224,1,Icon_Vehicles01,UI_icon_item_xiaoya02.png,3,,,,,黑色
10200303,Mount_QianShuiYa03,,003a6c,1,Icon_Vehicles01,UI_icon_item_xiaoya04.png,4,,,,,蓝色高级
10200311,Mount_YueLiangXzmm01,,1e2224,1,Icon_Vehicles01,UI_icon_item_festivalmuma02.png,4,,,,,黑色高级
10210451,Mount_MiLuMoTuo01,3024037=1|3024012=2,7fb80e,1,Icon_Vehicles01,UI_icon_item_milu02.png,4,绿色麋鹿,,,,绿色
10210452,Mount_MiLuMoTuo02,3024021=4|3024012=1,f7acbc,1,Icon_Vehicles01,UI_icon_item_milu03.png,3,粉色麋鹿,,,,粉色
10210453,Mount_MiLuMoTuo03,3024018=4|3024012=1,426ab3,1,Icon_Vehicles01,UI_icon_item_milu04.png,3,蓝色麋鹿,,,,蓝色
10210521,Mount_WanJiaoYang01,3024037=1|3024012=2,f7acbc,1,Icon_Vehicles02,UI_icon_item_wanjiaoyang.png,3,,,,,
10210522,Mount_WanJiaoYang02,3024021=4|3024012=1,1e2224,1,Icon_Vehicles02,UI_icon_item_wanjiaoyang.png,3,,,,,
10210661,Mount_HaiMa01,3024016=4|3024012=1,ffef6a,1,Icon_Vehicles02,UI_icon_item_haima01.png,3,黄色海马,,,,
10210662,Mount_HaiMa02,3024021=8|3024012=2,ff9fd7,1,Icon_Vehicles02,UI_icon_item_haima02.png,3,粉色海马,,,,
