Day,Lv,AddRatio
开服天数                  注意：开服天数必须从小到大递增，不能中间乱插。并且初始一定要填1，不然找不到会报错,勋章期望等级,"加成系数（A=B=加成系数万分位|）当玩家勋章培养等级在[A,B)时，加成系数"
1,0,0=41=0
4,1,0=41=0
6,2,0=41=0
9,3,0=41=0
13,4,0=41=0
18,5,0=41=0
24,6,0=41=0
32,7,0=41=0
40,8,0=41=0
51,9,0=41=0
62,10,0=41=0
75,11,0=41=0
90,12,0=41=0
106,13,0=41=0
124,14,0=41=0
144,15,0=41=0
165,16,0=41=0
188,17,0=41=0
214,18,0=41=0
241,19,0=41=0
270,20,0=41=0
302,21,0=41=0
335,22,0=41=0
371,23,0=41=0
409,24,0=41=0
450,25,0=41=0
493,26,0=41=0
538,27,0=41=0
585,28,0=41=0
635,29,0=41=0
688,30,0=41=0
743,31,0=41=0
800,32,0=41=0
860,33,0=41=0
922,34,0=41=0
987,35,0=41=0
1055,36,0=41=0
1125,37,0=41=0
1197,38,0=41=0
1272,39,0=41=0
1350,40,0=41=0
